Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-03-29 00:00:56,110.24,20.02,0.0,74.4,95.79,14.33
2018-03-29 01:00:56,111.54,23.31,0.0,90.1,111.35,7.56
2018-03-29 02:00:56,105.04,15.92,0.0,67.88,80.9,7.67
2018-03-29 03:00:56,88.09,15.98,0.0,33.1,37.48,14.53
2018-03-29 04:00:56,69.1,20.91,0.0,25.89,28.94,13.48
2018-03-29 05:00:56,60.14,18.84,0.0,25.66,28.17,15.59
2018-03-29 06:00:56,67.86,11.64,0.0,23.56,24.66,15.07
2018-03-29 07:00:56,53.88,7.43,0.0,35.31,41.25,13.91
2018-03-29 08:00:56,53.76,7.12,0.0,63.47,88.14,11.92
2018-03-29 09:00:56,46.73,22.95,0.0,95.4,145.25,6.81
2018-03-29 10:00:56,52.05,19.74,0.0,62.24,87.83,11.56
2018-03-29 11:00:56,45.18,10.99,0.0,79.56,133.53,9.03
2018-03-29 12:00:56,37.98,17.58,0.0,51.47,74.8,14.46
2018-03-29 13:00:56,65.83,16.53,0.0,0.0,0.0,17.22
2018-03-29 14:00:56,83.08,12.29,0.0,40.9,56.71,22.32
2018-03-29 15:00:56,94.61,12.48,0.0,22.17,29.77,31.51
2018-03-29 16:00:56,82.84,12.47,0.0,18.32,20.96,32.81
2018-03-29 17:00:56,55.95,19.99,0.0,21.71,25.63,32.76
2018-03-29 18:00:56,45.23,17.01,0.0,33.61,39.63,24.52
2018-03-29 19:00:56,39.54,16.9,0.0,44.27,51.46,20.41
2018-03-29 20:00:56,39.95,11.44,0.0,67.43,90.51,21.84
2018-03-29 21:00:56,31.79,6.23,0.0,89.02,120.34,16.36
2018-03-29 22:00:56,32.43,14.87,0.0,82.81,102.87,15.88
2018-03-29 23:00:56,34.07,14.64,0.0,38.0,46.51,21.49
2018-03-30 00:00:56,23.87,8.61,0.0,32.65,42.33,19.64
2018-03-30 01:00:56,14.23,7.94,0.0,24.38,29.23,21.82
2018-03-30 02:00:56,8.84,6.1,0.0,13.98,16.88,25.3
2018-03-30 03:00:56,6.35,4.49,0.0,9.59,10.24,26.56
2018-03-30 04:00:56,4.27,2.97,0.0,10.78,11.68,25.04
2018-03-30 05:00:56,3.06,0.0,0.0,16.22,18.34,22.92
2018-03-30 06:00:56,3.99,0.0,0.0,13.74,14.82,23.96
2018-03-30 07:00:56,5.23,0.0,0.0,27.3,30.64,21.88
2018-03-30 08:00:56,12.58,6.05,0.0,51.18,63.69,15.99
2018-03-30 09:00:56,12.95,4.57,0.0,62.03,78.51,15.06
2018-03-30 10:00:56,24.08,9.61,0.0,75.78,116.74,12.57
2018-03-30 11:00:56,21.5,10.16,0.0,48.42,60.38,20.17
2018-03-30 12:00:56,16.22,6.2,0.0,38.51,47.7,23.32
2018-03-30 13:00:56,31.58,3.88,0.0,38.94,48.0,23.9
2018-03-30 14:00:56,27.04,12.02,0.0,40.76,52.48,22.69
2018-03-30 15:00:56,28.98,10.72,0.0,75.29,110.74,15.0
2018-03-30 16:00:56,39.33,5.88,0.0,80.07,123.29,14.05
2018-03-30 17:00:56,41.77,18.24,0.0,32.76,42.57,23.1
2018-03-30 18:00:56,31.0,15.06,0.0,32.6,40.38,22.89
2018-03-30 19:00:56,28.1,8.19,0.0,44.96,60.06,19.34
2018-03-30 20:00:56,31.83,12.38,0.0,79.0,124.74,11.44
2018-03-30 21:00:56,48.18,9.37,0.0,100.0,167.77,8.8
2018-03-30 22:00:56,48.62,13.13,0.0,90.45,113.98,6.2
2018-03-30 23:00:56,48.8,26.55,0.0,83.83,112.87,6.3
2018-03-31 00:00:56,47.65,23.54,0.0,81.83,113.72,6.04
2018-03-31 01:00:56,41.81,24.95,0.0,88.23,127.21,3.7
2018-03-31 02:00:56,56.96,23.99,0.0,73.3,88.49,3.9
2018-03-31 03:00:56,62.41,19.35,0.0,78.34,111.93,2.96
2018-03-31 04:00:56,71.77,19.85,0.0,67.09,124.59,2.26
2018-03-31 05:00:56,74.73,35.19,0.0,61.49,103.73,2.58
2018-03-31 06:00:56,67.22,30.74,0.0,56.92,84.94,2.8
2018-03-31 07:00:56,63.04,24.65,0.0,60.1,102.33,2.6
2018-03-31 08:00:56,52.46,28.19,0.0,66.44,115.74,3.58
2018-03-31 09:00:56,50.23,39.14,0.0,71.52,118.43,5.38
2018-03-31 10:00:56,61.47,37.58,0.0,63.6,89.18,10.15
2018-03-31 11:00:56,65.82,29.34,0.0,47.66,63.88,15.25
2018-03-31 12:00:56,50.25,31.16,0.0,44.01,66.25,18.75
2018-03-31 13:00:56,51.11,26.21,0.0,29.04,39.79,25.45
2018-03-31 14:00:56,40.98,15.7,0.0,28.89,36.16,26.65
2018-03-31 15:00:56,28.94,8.86,0.0,41.22,54.66,24.02
2018-03-31 16:00:56,25.51,8.82,0.0,32.12,42.14,26.2
2018-03-31 17:00:56,23.03,6.56,0.0,31.19,36.72,27.08
2018-03-31 18:00:56,23.54,13.83,0.0,49.25,57.77,23.5
2018-03-31 19:00:56,37.19,11.91,0.0,66.87,74.86,19.89
2018-03-31 20:00:56,35.04,8.45,0.0,102.75,121.94,12.56
2018-03-31 21:00:56,59.4,19.88,0.0,160.57,304.1,3.43
2018-03-31 22:00:56,93.56,33.59,0.0,143.28,308.34,2.54
2018-03-31 23:00:56,143.43,47.43,0.0,129.39,300.34,2.26
2018-04-01 00:00:56,153.93,58.88,0.0,123.47,318.63,2.21
2018-04-01 01:00:56,158.19,61.68,0.0,105.26,309.44,2.31
2018-04-01 02:00:56,156.27,67.65,0.0,93.25,271.37,2.67
2018-04-01 03:00:56,149.56,59.55,0.0,85.39,201.84,2.38
2018-04-01 04:00:56,120.5,53.88,0.0,81.6,175.25,2.33
2018-04-01 05:00:56,99.58,47.51,0.0,74.87,147.84,2.17
2018-04-01 06:00:56,88.02,29.41,0.0,67.07,115.36,2.24
2018-04-01 07:00:56,72.02,16.37,0.0,72.44,114.74,2.14
2018-04-01 08:00:56,74.71,8.88,0.0,77.3,144.46,2.67
2018-04-01 09:00:56,78.25,4.49,0.0,92.46,182.17,2.87
2018-04-01 10:00:56,87.17,2.24,0.0,59.16,77.37,11.13
2018-04-01 11:00:56,74.2,1.12,0.0,30.52,37.42,21.77
2018-04-01 12:00:56,45.18,0.56,0.0,23.61,29.68,28.32
2018-04-01 13:00:56,30.99,1.79,0.0,19.96,23.69,32.55
2018-04-01 14:00:56,19.42,1.44,0.0,30.56,39.41,31.54
2018-04-01 15:00:56,11.09,0.73,0.0,24.22,29.08,32.03
2018-04-01 16:00:56,18.16,0.37,0.0,16.11,18.63,33.82
2018-04-01 17:00:56,16.17,0.18,0.0,19.16,21.35,32.32
2018-04-01 18:00:56,17.89,0.09,0.0,29.21,32.19,29.5
2018-04-01 19:00:56,22.3,0.05,0.0,79.81,93.0,16.89
2018-04-01 20:00:56,34.09,0.02,0.0,130.57,221.85,7.61
2018-04-01 21:00:56,73.54,0.01,0.0,163.32,374.39,2.56
2018-04-01 22:00:56,113.15,0.01,0.0,153.28,341.52,2.26
2018-04-01 23:00:56,126.8,0.0,0.0,129.33,207.92,2.2
2018-04-02 00:00:56,114.71,0.0,0.0,130.16,296.38,2.53
2018-04-02 01:00:56,117.9,11.34,0.0,111.59,273.72,2.57
2018-04-02 02:00:56,116.16,10.92,0.0,105.07,290.67,2.29
2018-04-02 03:00:56,130.44,6.39,0.0,95.71,219.11,2.28
2018-04-02 04:00:56,125.21,3.38,0.0,90.43,178.85,2.24
2018-04-02 05:00:56,89.94,1.67,0.0,85.62,146.27,2.28
2018-04-02 06:00:56,74.49,0.85,0.0,67.56,89.47,3.75
2018-04-02 07:00:56,60.4,0.42,0.0,90.27,157.29,3.13
2018-04-02 08:00:56,64.03,0.21,0.0,144.14,369.99,2.4
2018-04-02 09:00:56,73.88,0.1,0.0,59.57,85.84,10.88
2018-04-02 10:00:56,60.8,0.05,0.0,26.1,34.05,22.77
2018-04-02 11:00:56,45.1,0.03,0.0,22.12,26.63,27.43
2018-04-02 12:00:56,36.21,0.01,0.0,25.44,30.26,27.69
2018-04-02 13:00:56,56.15,0.54,0.0,25.05,29.32,28.97
2018-04-02 14:00:56,50.44,0.46,0.0,26.18,28.88,35.13
2018-04-02 15:00:56,42.46,0.19,0.0,32.0,37.07,34.48
2018-04-02 16:00:56,28.95,0.12,0.0,29.76,33.99,35.16
2018-04-02 17:00:56,16.26,0.06,0.0,25.06,28.06,35.16
2018-04-02 18:00:56,23.95,0.03,0.0,28.22,32.8,32.1
2018-04-02 19:00:56,23.18,0.01,0.0,38.9,44.83,27.55
2018-04-02 20:00:56,25.16,0.01,0.0,74.12,88.07,19.33
2018-04-02 21:00:56,22.65,0.0,0.0,97.99,136.12,14.61
2018-04-02 22:00:56,31.9,0.0,0.0,83.83,99.23,15.05
2018-04-02 23:00:56,35.38,0.0,0.0,79.88,101.53,11.39
2018-04-03 00:00:56,30.89,0.0,0.0,71.64,86.0,12.29
2018-04-03 01:00:56,33.61,0.94,0.0,91.19,120.77,5.1
2018-04-03 02:00:56,29.76,12.28,0.0,67.03,87.08,10.68
2018-04-03 03:00:56,37.33,10.7,0.0,50.38,57.16,11.47
2018-04-03 04:00:56,38.12,5.3,0.0,41.47,46.08,13.52
2018-04-03 05:00:56,33.72,2.67,0.0,54.73,59.44,9.76
2018-04-03 06:00:56,34.9,1.34,0.0,74.84,85.83,7.01
2018-04-03 07:00:56,36.54,0.67,0.0,82.41,139.58,2.6
2018-04-03 08:00:56,50.46,0.33,0.0,87.49,138.1,4.69
2018-04-03 09:00:56,56.73,0.17,0.0,87.16,129.07,8.62
2018-04-03 10:00:56,58.6,0.08,0.0,44.32,59.21,20.82
2018-04-03 11:00:56,44.59,0.04,0.0,47.72,62.38,24.42
2018-04-03 12:00:56,29.06,0.02,0.0,32.73,39.34,31.83
2018-04-03 13:00:56,17.86,0.01,0.0,36.24,46.79,29.97
2018-04-03 14:00:56,13.47,0.01,0.0,36.31,48.26,28.93
2018-04-03 15:00:56,13.32,0.0,0.0,29.6,37.24,30.4
2018-04-03 16:00:56,9.85,0.0,0.0,36.46,51.26,29.06
2018-04-03 17:00:56,5.45,0.0,0.0,31.11,37.44,30.18
2018-04-03 18:00:56,10.45,0.0,0.0,41.51,47.57,28.57
2018-04-03 19:00:56,18.34,0.0,0.0,52.11,61.55,24.72
2018-04-03 20:00:56,26.26,0.0,0.0,110.09,159.98,13.48
2018-04-03 21:00:56,27.88,0.0,0.0,115.42,163.21,8.07
2018-04-03 22:00:56,39.82,0.0,0.0,118.09,169.96,2.61
2018-04-03 23:00:56,70.75,0.0,0.0,106.28,155.46,2.48
2018-04-04 00:00:56,73.04,0.0,0.0,106.56,152.88,2.38
