Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2019-01-01 01:00:56,53.3,26.2,1.8,303.8,57.8,75.4,3.8
2019-01-01 02:00:56,53.8,25.0,2.8,356.2,56.5,67.6,10.8
2019-01-01 03:00:56,48.4,20.2,2.5,198.0,55.7,65.1,14.3
2019-01-01 04:00:56,44.7,17.2,2.2,115.9,55.1,65.4,13.8
2019-01-01 05:00:56,40.1,14.2,3.2,317.9,45.6,50.8,18.6
2019-01-01 06:00:56,34.9,13.0,4.5,0.0,31.3,33.0,29.4
2019-01-01 07:00:56,28.1,12.0,4.4,0.0,33.2,35.2,19.1
2019-01-01 08:00:56,22.8,12.0,5.2,0.0,33.4,35.6,19.1
2019-01-01 09:00:56,22.3,13.9,5.1,141.4,42.3,46.6,18.2
2019-01-01 10:00:56,27.9,15.9,5.8,70.8,42.2,49.0,23.6
2019-01-01 11:00:56,28.6,15.0,7.2,0.0,36.3,44.0,22.7
2019-01-01 12:00:56,24.1,18.8,7.8,0.0,28.2,36.2,24.5
2019-01-01 13:00:56,24.9,19.0,7.0,0.0,29.8,38.9,22.2
2019-01-01 14:00:56,27.2,19.0,4.4,0.0,22.7,29.2,34.0
2019-01-01 15:00:56,27.7,12.4,3.4,0.0,17.5,21.6,42.0
2019-01-01 16:00:56,23.1,9.1,3.2,0.0,24.2,30.2,37.5
2019-01-01 17:00:56,23.4,9.0,2.9,0.0,31.3,35.2,32.4
2019-01-01 18:00:56,25.8,8.0,3.1,0.0,32.7,35.8,31.9
2019-01-01 19:00:56,22.3,10.9,2.8,0.0,36.4,38.9,24.7
2019-01-01 20:00:56,23.8,14.8,2.6,0.0,36.4,39.1,26.1
2019-01-01 21:00:56,22.8,12.1,2.2,0.0,34.6,37.0,29.5
2019-01-01 22:00:56,21.1,10.1,1.8,0.0,34.3,36.4,28.8
2019-01-01 23:00:56,19.9,10.0,1.4,0.0,31.5,33.6,32.0
2019-01-02 00:00:56,21.5,7.2,1.1,0.0,28.8,30.4,30.5
2019-01-02 01:00:56,23.0,3.2,1.0,190.7,29.8,31.0,21.9
2019-01-02 02:00:56,19.9,6.8,1.1,176.6,23.2,24.4,24.5
2019-01-02 03:00:56,15.9,5.1,0.8,189.3,23.7,25.2,10.8
2019-01-02 04:00:56,12.4,5.0,0.7,194.6,23.5,25.2,10.2
2019-01-02 05:00:56,14.6,6.0,0.9,201.2,23.6,25.1,9.0
2019-01-02 06:00:56,17.7,7.9,0.8,229.8,24.3,26.3,8.0
2019-01-02 07:00:56,15.4,7.0,0.8,139.4,35.9,40.3,4.8
2019-01-02 08:00:56,26.8,6.0,1.1,339.0,53.5,66.0,5.5
2019-01-02 09:00:56,28.4,45.0,1.1,356.8,62.4,112.2,1.4
2019-01-02 10:00:56,26.8,11.0,1.0,436.6,63.6,126.4,1.3
2019-01-02 11:00:56,29.0,23.4,1.4,648.0,61.7,99.4,2.1
2019-01-02 12:00:56,28.1,15.4,1.4,482.1,56.8,77.5,6.9
2019-01-02 13:00:56,28.8,15.0,1.2,247.7,54.6,65.0,18.1
2019-01-02 14:00:56,28.2,11.2,1.4,286.4,55.0,64.1,9.5
2019-01-02 15:00:56,24.0,13.9,1.1,287.9,51.2,58.8,7.4
2019-01-02 16:00:56,28.8,21.6,0.9,378.7,50.3,56.9,9.4
2019-01-02 17:00:56,30.1,28.7,1.2,288.9,53.8,62.5,8.4
2019-01-02 18:00:56,28.0,10.9,1.0,387.3,51.5,57.3,4.4
2019-01-02 19:00:56,42.4,43.0,1.2,518.2,60.7,77.0,1.7
2019-01-02 20:00:56,50.6,36.3,1.2,494.6,61.0,90.2,3.1
2019-01-02 21:00:56,52.5,42.6,1.0,533.8,59.6,98.6,1.9
2019-01-02 22:00:56,51.1,28.8,1.6,509.2,58.8,101.2,2.1
2019-01-02 23:00:56,56.0,20.4,1.5,418.8,56.4,91.6,0.8
2019-01-03 00:00:56,53.8,14.3,1.4,341.8,55.9,97.0,1.3
2019-01-03 01:00:56,53.7,15.9,1.1,284.7,51.9,78.2,1.8
2019-01-03 02:00:56,50.8,11.2,0.9,483.3,52.8,72.4,1.0
2019-01-03 03:00:56,40.3,14.8,1.1,374.1,49.1,65.8,1.4
2019-01-03 04:00:56,41.2,10.2,1.2,342.8,49.1,72.6,0.4
2019-01-03 05:00:56,41.5,12.8,1.4,312.2,44.9,75.1,0.9
2019-01-03 06:00:56,38.2,11.1,1.2,224.1,42.5,56.7,1.7
2019-01-03 07:00:56,31.9,10.0,1.1,209.2,36.7,40.9,7.4
2019-01-03 08:00:56,26.0,9.0,1.2,414.0,44.1,50.4,4.8
2019-01-03 09:00:56,37.7,56.0,1.5,422.3,59.6,126.1,3.1
2019-01-03 10:00:56,36.1,25.0,2.2,400.3,67.8,192.0,1.4
2019-01-03 11:00:56,39.4,19.3,1.5,360.4,61.9,142.2,2.4
2019-01-03 12:00:56,39.0,19.0,2.1,294.2,53.0,102.3,8.5
