Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,26.2,0.0,3.6,199.4,17.8,0.0,63.2
2022-03-23 17:00:56,23.1,0.0,4.9,232.4,17.8,0.0,62.4
2022-03-23 18:00:56,27.8,0.0,3.6,198.4,15.9,0.0,63.4
2022-03-23 19:00:56,25.1,0.0,3.6,226.2,19.2,0.0,58.9
2022-03-23 20:00:56,31.7,0.0,3.9,243.2,20.8,0.0,57.6
2022-03-23 21:00:56,30.1,0.0,4.0,292.9,16.5,0.0,61.2
2022-03-23 22:00:56,21.3,0.0,4.5,281.0,19.3,0.0,60.2
2022-03-23 23:00:56,29.6,0.0,4.7,255.0,20.5,0.0,59.6
2022-03-24 00:00:56,28.1,0.0,4.2,209.6,17.0,0.0,60.8
2022-03-24 01:00:56,22.2,0.0,4.5,197.5,16.5,0.0,61.6
2022-03-24 02:00:56,23.0,0.0,4.3,212.2,16.0,0.0,61.2
2022-03-24 03:00:56,29.7,0.0,4.0,186.2,6.3,0.0,67.4
2022-03-24 04:00:56,27.1,0.0,3.4,166.0,4.8,0.0,68.3
2022-03-24 05:00:56,24.1,0.0,4.2,187.1,4.3,0.0,68.9
2022-03-24 06:00:56,30.7,0.0,4.0,201.3,14.5,0.0,64.0
2022-03-24 07:00:56,27.2,0.0,4.2,288.3,33.1,0.0,49.9
2022-03-24 08:00:56,31.8,0.0,4.4,265.7,24.0,0.0,51.2
2022-03-24 09:00:56,18.6,0.0,4.3,199.4,15.3,0.0,53.4
2022-03-24 10:00:56,19.0,0.0,3.7,196.3,11.1,0.0,61.2
2022-03-24 11:00:56,27.6,0.0,2.5,210.2,12.6,0.0,63.4
2022-03-24 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
