Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2019-01-01 01:00:56,24.3,23.5,2.3,49.2,51.6,56.9,0.0
2019-01-01 02:00:56,18.4,0.0,2.0,72.5,47.4,53.7,0.0
2019-01-01 03:00:56,19.3,0.0,1.8,61.4,46.7,51.7,0.0
2019-01-01 04:00:56,18.6,0.0,1.7,108.1,53.4,61.4,0.0
2019-01-01 05:00:56,15.5,0.0,2.9,64.0,52.2,56.0,0.0
2019-01-01 06:00:56,15.5,24.1,2.8,103.4,40.4,43.0,0.0
2019-01-01 07:00:56,13.6,20.6,4.8,84.0,40.3,44.6,0.0
2019-01-01 08:00:56,16.5,17.7,13.4,181.2,42.6,47.5,0.0
2019-01-01 09:00:56,18.0,14.5,12.5,70.4,44.0,47.8,0.0
2019-01-01 10:00:56,19.5,17.0,10.4,37.4,42.2,46.9,0.0
2019-01-01 11:00:56,20.2,14.6,5.8,295.8,40.0,45.8,0.0
2019-01-01 12:00:56,26.2,13.4,6.6,62.8,35.8,41.2,0.0
2019-01-01 13:00:56,27.6,14.2,6.4,12.7,33.2,37.9,0.0
2019-01-01 14:00:56,20.8,22.8,5.5,6.4,31.3,34.8,0.0
2019-01-01 15:00:56,15.2,25.3,3.9,6.4,27.0,29.3,0.0
2019-01-01 16:00:56,13.2,19.6,3.2,5.8,26.6,28.6,0.0
2019-01-01 17:00:56,13.1,14.0,3.0,33.8,29.4,31.0,0.0
2019-01-01 18:00:56,17.2,14.0,2.8,29.5,29.9,31.5,0.0
2019-01-01 19:00:56,17.4,13.0,2.8,120.6,29.9,31.5,0.0
2019-01-01 20:00:56,13.0,9.8,2.8,120.6,31.6,33.0,0.0
2019-01-01 21:00:56,10.4,12.1,3.2,132.6,33.4,35.2,0.0
2019-01-01 22:00:56,10.1,15.0,2.6,116.6,33.9,35.8,0.0
2019-01-01 23:00:56,11.4,12.7,1.9,104.8,29.0,31.0,0.0
2019-01-02 00:00:56,13.7,10.0,3.0,104.4,28.7,30.7,0.0
2019-01-02 01:00:56,16.6,7.6,2.6,102.2,29.0,31.2,0.0
2019-01-02 02:00:56,16.1,12.3,2.6,79.2,27.3,29.3,0.0
2019-01-02 03:00:56,12.4,14.9,2.8,85.3,27.8,30.3,0.0
2019-01-02 04:00:56,10.6,13.0,2.7,98.8,26.0,29.2,0.0
2019-01-02 05:00:56,10.2,9.8,2.8,192.4,25.6,29.0,0.0
2019-01-02 06:00:56,12.9,8.4,2.6,55.0,24.4,27.6,0.0
2019-01-02 07:00:56,13.2,6.7,2.4,84.7,26.4,29.7,0.0
2019-01-02 08:00:56,10.2,5.6,2.4,91.1,31.8,35.2,0.0
2019-01-02 09:00:56,12.5,9.8,2.3,93.0,36.0,39.9,0.0
2019-01-02 10:00:56,13.0,10.1,2.2,96.8,36.6,40.4,0.0
2019-01-02 11:00:56,10.1,7.7,1.9,233.4,31.9,35.4,0.0
2019-01-02 12:00:56,0.0,0.0,0.0,222.7,20.3,156.1,0.0
2019-01-02 13:00:56,0.0,0.0,2.7,80.1,20.9,24.2,0.0
2019-01-02 14:00:56,6.1,0.5,2.1,152.8,24.1,27.7,0.0
2019-01-02 15:00:56,6.1,1.6,2.0,100.0,24.6,29.3,0.0
2019-01-02 16:00:56,5.6,1.9,1.9,100.0,25.8,31.5,0.0
2019-01-02 17:00:56,4.3,2.0,2.0,100.0,30.6,37.8,0.0
2019-01-02 18:00:56,3.4,3.3,2.2,100.0,32.1,38.6,0.0
2019-01-02 19:00:56,10.5,4.0,2.7,100.0,36.2,41.0,0.0
2019-01-02 20:00:56,18.0,9.0,2.6,100.0,37.0,43.8,0.0
2019-01-02 21:00:56,22.4,10.2,3.0,100.0,51.4,57.5,0.0
2019-01-02 22:00:56,28.2,22.2,3.7,100.0,50.2,56.6,0.0
2019-01-02 23:00:56,34.0,31.3,3.8,100.0,57.6,67.4,0.0
2019-01-03 00:00:56,36.1,34.8,3.8,100.0,54.6,66.0,0.0
2019-01-03 01:00:56,42.9,44.8,3.3,109.8,52.6,63.7,0.0
2019-01-03 02:00:56,39.9,42.2,3.5,118.0,48.0,51.2,0.0
2019-01-03 03:00:56,32.6,35.4,2.8,146.2,42.4,49.0,0.0
2019-01-03 04:00:56,29.1,35.3,2.4,167.8,27.8,33.1,0.0
2019-01-03 05:00:56,27.0,29.9,2.2,103.1,22.2,26.0,0.0
2019-01-03 06:00:56,21.4,23.5,2.2,113.6,21.1,25.3,0.0
2019-01-03 07:00:56,18.0,23.4,2.2,113.8,22.0,25.8,0.0
2019-01-03 08:00:56,20.0,20.1,2.2,112.0,28.1,33.0,0.0
2019-01-03 09:00:56,17.1,17.6,2.2,132.4,27.7,31.7,0.0
2019-01-03 10:00:56,13.3,15.3,2.4,107.6,31.9,37.9,0.0
2019-01-03 11:00:56,10.0,11.6,2.3,123.4,30.0,36.9,0.0
2019-01-03 12:00:56,18.6,9.4,3.0,156.4,24.4,28.2,0.0
2019-01-03 13:00:56,19.0,23.1,3.2,78.2,28.0,31.7,0.0
2019-01-03 14:00:56,14.0,25.3,3.4,155.6,30.6,35.4,0.0
2019-01-03 15:00:56,10.3,20.9,3.0,94.0,31.8,36.5,0.0
2019-01-03 16:00:56,12.7,17.2,3.6,65.5,36.4,42.2,0.0
2019-01-03 17:00:56,13.6,13.8,3.6,84.7,41.9,47.0,0.0
2019-01-03 18:00:56,11.3,10.7,3.5,83.6,44.5,50.0,0.0
2019-01-03 19:00:56,15.5,12.2,3.5,57.5,44.7,47.6,0.0
2019-01-03 20:00:56,19.4,11.4,3.4,81.8,47.2,50.4,0.0
2019-01-03 21:00:56,18.5,12.9,3.0,107.2,36.9,39.0,0.0
2019-01-03 22:00:56,20.3,11.6,3.0,64.8,32.0,34.3,0.0
2019-01-03 23:00:56,18.0,8.5,2.8,70.7,31.2,33.4,0.0
2019-01-04 00:00:56,13.8,7.0,2.4,81.9,31.1,33.8,0.0
2019-01-04 01:00:56,11.1,12.0,2.4,223.4,27.2,30.6,0.0
2019-01-04 02:00:56,8.6,11.8,2.5,134.1,21.9,25.1,0.0
2019-01-04 03:00:56,6.7,8.8,2.3,190.5,18.6,20.6,0.0
2019-01-04 04:00:56,5.7,7.4,1.8,176.8,14.6,15.4,0.0
2019-01-04 05:00:56,4.6,6.1,1.9,156.8,12.7,13.8,0.0
2019-01-04 06:00:56,3.8,4.6,1.9,242.4,12.0,13.1,0.0
2019-01-04 07:00:56,3.2,5.4,1.8,165.2,10.5,11.3,0.0
2019-01-04 08:00:56,2.4,4.8,2.0,205.6,11.4,12.5,0.0
2019-01-04 09:00:56,2.4,6.4,2.0,130.6,14.7,17.4,0.0
2019-01-04 10:00:56,2.0,11.2,2.1,129.2,18.1,21.2,0.0
2019-01-04 11:00:56,1.4,14.6,2.3,139.1,20.7,24.0,0.0
2019-01-04 12:00:56,1.3,12.2,1.6,184.5,23.3,28.0,0.0
2019-01-04 13:00:56,1.9,20.3,1.8,97.3,23.4,27.7,0.0
2019-01-04 14:00:56,3.0,19.8,1.8,78.9,19.9,23.6,0.0
2019-01-04 15:00:56,4.6,14.3,1.8,114.1,18.9,22.2,0.0
2019-01-04 16:00:56,5.6,15.1,1.8,196.0,18.4,21.4,0.0
2019-01-04 17:00:56,5.5,12.4,3.0,129.3,21.6,24.4,0.0
