Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2019-01-01 01:00:56,28.0,34.0,2.0,884.0,69.8,98.6,7.1
2019-01-01 02:00:56,37.0,48.0,1.5,768.6,60.2,74.2,9.6
2019-01-01 03:00:56,25.0,24.0,1.3,673.6,55.4,65.2,15.0
2019-01-01 04:00:56,17.0,23.0,0.9,677.0,58.9,68.8,11.6
2019-01-01 05:00:56,13.0,20.0,1.0,645.2,56.6,64.9,14.0
2019-01-01 06:00:56,16.0,15.1,1.5,571.0,44.0,52.0,21.2
2019-01-01 07:00:56,14.0,13.0,2.8,530.4,38.9,45.8,25.0
2019-01-01 08:00:56,14.0,14.0,4.5,549.6,51.2,62.7,14.0
2019-01-01 09:00:56,12.0,16.0,5.0,596.8,55.5,73.4,13.4
2019-01-01 10:00:56,25.0,19.9,4.3,683.4,56.1,81.7,11.6
2019-01-01 11:00:56,25.0,24.9,5.6,632.8,43.5,65.3,19.1
2019-01-01 12:00:56,31.0,27.0,7.2,663.9,39.6,60.8,24.1
2019-01-01 13:00:56,23.0,30.9,8.7,670.1,36.0,54.2,31.2
2019-01-01 14:00:56,28.0,25.1,8.8,659.8,33.2,49.9,37.5
2019-01-01 15:00:56,23.0,17.1,6.4,586.6,34.0,49.2,40.8
2019-01-01 16:00:56,24.0,14.0,4.7,571.7,36.6,51.3,40.2
2019-01-01 17:00:56,17.0,18.0,4.5,608.4,40.1,52.3,38.6
2019-01-01 18:00:56,21.0,21.0,5.0,628.8,45.0,58.6,34.0
2019-01-01 19:00:56,21.0,20.0,5.1,643.0,47.8,62.1,31.5
2019-01-01 20:00:56,24.0,25.9,4.3,664.6,53.0,69.3,25.4
2019-01-01 21:00:56,24.0,25.0,4.2,650.6,56.3,74.0,23.0
2019-01-01 22:00:56,23.0,25.0,3.4,615.6,48.6,60.5,26.8
2019-01-01 23:00:56,0.0,23.0,2.8,616.5,46.4,57.4,28.9
2019-01-02 00:00:56,15.0,18.1,2.0,562.2,44.9,53.6,30.0
2019-01-02 01:00:56,0.0,13.1,1.6,506.9,38.4,44.8,34.4
2019-01-02 02:00:56,11.0,9.0,1.0,446.0,27.2,31.7,43.4
2019-01-02 03:00:56,10.0,6.0,1.1,420.5,26.4,30.8,43.9
2019-01-02 04:00:56,8.0,6.0,1.1,416.9,18.6,21.7,43.1
2019-01-02 05:00:56,7.0,7.0,0.9,434.8,22.9,26.3,42.9
2019-01-02 06:00:56,9.0,8.0,0.8,443.8,27.4,32.6,37.8
2019-01-02 07:00:56,6.0,6.0,0.8,501.0,48.9,64.4,19.7
2019-01-02 08:00:56,6.0,6.0,0.8,563.2,68.1,112.2,6.6
2019-01-02 09:00:56,8.0,13.9,0.9,692.3,75.2,135.1,5.1
2019-01-02 10:00:56,7.0,14.0,0.5,628.4,69.2,103.2,9.4
2019-01-02 11:00:56,14.0,19.9,0.6,582.0,58.3,80.7,17.8
2019-01-02 12:00:56,17.0,23.9,1.3,582.2,53.2,72.3,23.0
2019-01-02 13:00:56,11.0,18.0,1.3,624.0,60.8,86.6,16.2
2019-01-02 14:00:56,22.0,20.0,1.5,690.2,56.8,79.9,19.5
2019-01-02 15:00:56,0.0,0.0,3.1,728.6,22.0,489.9,13.5
2019-01-02 16:00:56,0.0,0.0,4.3,542.8,56.7,81.9,20.8
2019-01-02 17:00:56,26.0,23.0,4.9,599.1,58.9,82.9,21.8
2019-01-02 18:00:56,14.1,22.0,4.2,650.8,70.2,107.0,15.1
