Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-03-29 00:00:56,13.18,0.0,1.98,421.31,11.65,11.82,80.55
2018-03-29 01:00:56,19.55,0.0,2.04,434.43,11.51,11.21,81.76
2018-03-29 02:00:56,21.63,0.0,2.11,419.39,0.0,9.07,85.81
2018-03-29 03:00:56,21.89,0.0,2.15,372.38,6.94,6.74,87.92
2018-03-29 04:00:56,25.46,0.0,2.41,364.45,5.51,5.03,91.87
2018-03-29 05:00:56,25.96,0.0,2.42,351.06,5.61,4.67,93.3
2018-03-29 06:00:56,21.25,0.0,2.41,361.99,8.67,8.37,85.06
2018-03-29 07:00:56,25.76,0.0,2.04,353.79,9.48,9.3,82.32
2018-03-29 08:00:56,21.18,0.0,2.44,396.43,13.47,14.27,81.91
2018-03-29 09:00:56,20.93,0.0,2.57,425.41,26.91,31.77,66.0
2018-03-29 10:00:56,24.59,0.0,2.14,439.89,35.3,43.98,60.04
2018-03-29 11:00:56,31.69,0.0,1.96,448.09,39.0,50.79,52.29
2018-03-29 12:00:56,31.6,0.0,2.01,519.16,18.59,22.43,67.69
2018-03-29 13:00:56,37.2,0.0,1.89,538.84,17.59,21.18,62.17
2018-03-29 14:00:56,41.9,0.0,1.8,515.88,15.35,18.07,64.51
2018-03-29 15:00:56,41.86,0.0,1.87,512.6,14.27,16.43,69.62
2018-03-29 16:00:56,42.66,0.0,1.36,474.88,14.71,17.02,73.83
2018-03-29 17:00:56,44.13,0.0,1.25,468.32,15.69,19.07,74.61
2018-03-29 18:00:56,42.65,0.0,1.06,450.55,17.66,20.73,71.89
2018-03-29 19:00:56,47.26,0.0,1.04,474.88,21.14,26.1,68.48
2018-03-29 20:00:56,51.36,0.0,0.87,510.69,17.93,19.59,74.1
2018-03-29 21:00:56,55.98,0.0,1.21,543.21,49.69,63.71,39.11
2018-03-29 22:00:56,70.92,0.0,0.72,589.25,57.61,72.94,30.5
2018-03-29 23:00:56,84.75,0.0,1.51,789.03,64.37,98.35,22.57
2018-03-30 00:00:56,92.6,0.0,1.68,507.41,48.57,71.15,46.24
2018-03-30 01:00:56,83.8,0.0,1.14,537.2,46.49,61.12,38.17
2018-03-30 02:00:56,83.59,0.0,0.91,738.37,71.28,102.57,8.87
2018-03-30 03:00:56,82.67,0.0,1.09,875.31,71.3,92.32,7.29
2018-03-30 04:00:56,76.17,0.0,0.91,832.95,67.58,98.23,4.52
2018-03-30 05:00:56,79.36,0.0,0.72,1051.34,66.43,101.02,5.07
2018-03-30 06:00:56,88.52,0.0,1.2,1121.86,68.14,102.56,4.46
2018-03-30 07:00:56,97.37,0.0,1.36,1102.45,64.79,111.38,4.37
2018-03-30 08:00:56,93.35,0.0,1.9,1192.65,74.92,244.73,4.25
2018-03-30 09:00:56,111.95,0.0,2.14,1412.96,79.28,276.99,4.66
2018-03-30 10:00:56,146.39,0.0,3.32,1695.86,92.3,399.95,7.0
2018-03-30 11:00:56,157.57,0.0,2.84,1141.27,64.13,154.97,24.22
2018-03-30 12:00:56,119.99,0.0,1.88,734.55,34.73,61.52,47.13
2018-03-30 13:00:56,94.85,0.0,2.55,760.24,38.7,71.07,51.77
2018-03-30 14:00:56,99.47,0.0,3.24,765.98,32.22,51.65,66.49
2018-03-30 15:00:56,86.03,0.0,3.42,884.88,25.03,35.84,77.41
2018-03-30 16:00:56,87.93,0.0,3.62,610.73,27.59,39.24,81.03
2018-03-30 17:00:56,94.97,0.0,3.05,645.44,24.89,33.86,86.13
2018-03-30 18:00:56,96.47,0.0,3.65,744.39,39.95,56.75,73.73
2018-03-30 19:00:56,95.92,0.0,3.41,671.68,49.75,72.4,65.79
2018-03-30 20:00:56,125.16,0.0,2.51,882.15,64.69,91.96,48.68
2018-03-30 21:00:56,143.6,0.0,2.9,802.33,99.81,160.1,17.53
2018-03-30 22:00:56,181.57,0.0,3.6,1139.01,105.61,204.9,8.65
2018-03-30 23:00:56,230.12,0.0,12.05,2021.58,130.84,416.72,6.23
2018-03-31 00:00:56,277.96,0.0,17.57,1304.99,115.73,261.93,4.01
2018-03-31 01:00:56,230.91,0.0,10.18,1542.52,115.76,242.04,4.75
2018-03-31 02:00:56,179.66,0.0,10.31,1447.4,117.57,239.02,4.61
2018-03-31 03:00:56,164.18,0.0,7.35,1301.17,111.29,192.88,4.57
2018-03-31 04:00:56,153.57,0.0,6.71,1603.75,112.88,247.74,5.12
2018-03-31 05:00:56,216.79,0.0,11.39,1331.78,107.34,225.5,3.31
2018-03-31 06:00:56,288.62,0.0,21.49,1480.75,103.95,241.27,3.31
2018-03-31 07:00:56,224.96,0.0,31.4,1402.3,98.84,267.68,4.14
2018-03-31 08:00:56,175.46,0.0,25.82,1345.99,102.09,308.63,4.75
2018-03-31 09:00:56,172.88,0.0,20.3,1525.3,107.74,378.57,5.07
2018-03-31 10:00:56,186.23,0.0,35.97,1393.55,92.55,304.16,7.93
2018-03-31 11:00:56,181.15,0.0,22.44,746.85,67.34,145.73,22.67
2018-03-31 12:00:56,167.38,0.0,17.68,1078.95,58.58,106.09,35.22
2018-03-31 13:00:56,149.44,0.0,14.89,1034.12,51.8,80.37,49.51
2018-03-31 14:00:56,113.95,0.0,15.83,936.27,48.79,75.21,54.37
2018-03-31 15:00:56,89.85,0.0,21.93,423.77,40.41,62.0,63.26
2018-03-31 16:00:56,119.76,0.0,20.58,713.77,45.48,70.92,61.84
2018-03-31 17:00:56,136.61,0.0,15.11,440.99,38.84,57.19,69.62
2018-03-31 18:00:56,118.3,0.0,12.46,382.49,42.08,57.94,63.03
2018-03-31 19:00:56,112.66,0.0,9.39,501.67,56.56,77.48,50.09
2018-03-31 20:00:56,138.46,0.0,11.05,641.34,71.63,102.01,38.11
2018-03-31 21:00:56,147.0,0.0,13.99,1007.61,112.56,228.39,5.97
2018-03-31 22:00:56,157.84,0.0,18.96,1174.66,109.79,186.89,5.26
2018-03-31 23:00:56,139.39,0.0,17.29,997.86,108.1,200.87,5.72
2018-04-01 00:00:56,136.2,0.0,16.51,740.56,80.21,121.73,23.28
2018-04-01 01:00:56,134.38,0.0,14.28,1322.49,74.7,98.1,28.2
2018-04-01 02:00:56,102.31,0.0,12.14,1035.21,84.24,116.89,15.66
2018-04-01 03:00:56,104.1,0.0,12.31,890.62,91.84,131.63,6.51
2018-04-01 04:00:56,111.78,0.0,12.71,1173.79,68.77,85.46,26.43
2018-04-01 05:00:56,118.03,0.0,13.09,618.65,49.59,56.83,39.77
2018-04-01 06:00:56,49.89,0.0,10.98,743.57,27.92,30.48,56.77
2018-04-01 07:00:56,46.95,0.0,10.23,609.09,34.86,39.7,48.38
2018-04-01 08:00:56,52.08,0.0,11.5,629.04,26.13,29.44,59.04
2018-04-01 09:00:56,52.23,0.0,11.12,424.31,25.85,31.18,57.14
2018-04-01 10:00:56,66.53,0.0,18.75,342.04,22.29,27.79,59.29
2018-04-01 11:00:56,109.83,0.0,18.46,366.64,24.58,33.51,55.86
2018-04-01 12:00:56,111.97,0.0,17.69,323.73,33.83,54.4,52.0
2018-04-01 13:00:56,118.04,0.0,15.51,299.67,21.79,32.81,68.97
2018-04-01 14:00:56,152.91,0.0,13.73,288.19,19.82,28.56,74.67
2018-04-01 15:00:56,227.24,0.0,8.81,291.2,15.03,20.79,82.5
2018-04-01 16:00:56,317.86,0.0,8.05,352.97,21.16,28.41,77.7
2018-04-01 17:00:56,214.52,0.0,7.9,328.92,19.7,24.63,81.14
2018-04-01 18:00:56,141.18,0.0,8.2,362.27,16.23,19.23,87.43
2018-04-01 19:00:56,91.76,0.0,8.03,314.43,13.72,15.03,83.41
2018-04-01 20:00:56,70.02,0.0,7.62,298.31,13.89,15.32,80.41
2018-04-01 21:00:56,62.7,0.0,7.42,362.54,22.96,24.37,71.99
2018-04-01 22:00:56,63.22,0.0,7.14,350.38,22.89,24.73,67.27
2018-04-01 23:00:56,58.54,0.0,5.24,242.0,9.36,9.69,92.47
2018-04-02 00:00:56,52.59,0.0,4.1,287.65,10.26,10.98,105.01
2018-04-02 01:00:56,41.67,0.0,3.32,282.18,5.69,5.35,100.76
2018-04-02 02:00:56,21.22,0.0,3.19,395.07,30.59,34.9,72.44
2018-04-02 03:00:56,22.87,0.0,3.1,439.89,27.99,30.69,74.53
2018-04-02 04:00:56,19.76,0.0,2.16,456.84,8.9,8.95,100.21
2018-04-02 05:00:56,11.91,0.0,2.68,409.83,6.42,5.89,101.69
2018-04-02 06:00:56,12.65,0.0,2.63,588.86,7.51,7.28,94.66
2018-04-02 07:00:56,15.28,0.0,2.21,499.48,6.46,5.85,94.81
2018-04-02 08:00:56,12.65,0.0,2.25,708.58,54.42,68.88,40.32
2018-04-02 09:00:56,12.83,0.0,2.21,1479.65,66.28,103.1,32.95
2018-04-02 10:00:56,19.86,0.0,2.31,1248.69,77.15,147.63,25.31
2018-04-02 11:00:56,28.8,0.0,2.26,612.09,61.25,109.54,36.4
2018-04-02 12:00:56,31.13,0.0,2.5,332.2,22.08,32.41,66.62
2018-04-02 13:00:56,29.23,0.0,3.57,309.51,15.17,20.64,70.85
2018-04-02 14:00:56,27.5,0.0,3.76,313.34,13.13,18.28,74.11
2018-04-02 15:00:56,37.47,0.0,3.73,401.9,17.66,24.95,75.12
2018-04-02 16:00:56,48.17,0.0,3.51,412.56,15.4,20.15,83.3
2018-04-02 17:00:56,43.28,0.0,3.35,385.5,16.48,20.98,86.21
2018-04-02 18:00:56,56.96,0.0,2.53,391.51,17.71,21.87,88.1
2018-04-02 19:00:56,65.84,0.0,2.52,295.57,19.76,22.77,83.71
2018-04-02 20:00:56,51.91,0.0,2.55,342.04,23.19,26.03,80.56
2018-04-02 21:00:56,61.74,0.0,1.54,339.31,23.94,25.61,78.99
2018-04-02 22:00:56,73.55,0.0,1.97,487.29,32.67,34.85,62.68
2018-04-02 23:00:56,68.23,0.0,2.93,1303.26,66.29,75.28,28.45
2018-04-03 00:00:56,58.41,0.0,3.07,1178.99,77.36,90.86,16.91
2018-04-03 01:00:56,53.36,0.0,3.3,598.7,58.02,63.4,39.22
2018-04-03 02:00:56,41.63,0.0,1.96,377.3,38.04,41.84,41.6
2018-04-03 03:00:56,34.1,0.0,1.48,436.07,46.32,51.74,27.59
2018-04-03 04:00:56,30.6,0.0,1.47,449.46,45.55,57.31,23.72
2018-04-03 05:00:56,31.67,0.0,1.42,417.75,32.03,38.21,48.63
2018-04-03 06:00:56,29.41,0.0,2.13,404.36,29.63,32.2,49.99
2018-04-03 07:00:56,34.41,0.0,1.99,399.44,40.93,46.5,39.0
2018-04-03 08:00:56,37.84,0.0,1.49,554.42,25.14,27.19,60.46
2018-04-03 09:00:56,24.44,0.0,1.02,410.65,34.44,41.59,51.65
2018-04-03 10:00:56,37.43,0.0,2.32,440.99,44.84,67.67,42.37
2018-04-03 11:00:56,62.73,0.0,1.72,349.15,37.43,60.63,54.8
2018-04-03 12:00:56,58.55,0.0,1.88,337.67,35.27,60.23,60.73
2018-04-03 13:00:56,54.04,0.0,1.71,290.65,27.15,45.3,76.15
2018-04-03 14:00:56,33.97,0.0,1.53,318.01,20.07,32.64,83.37
2018-04-03 15:00:56,29.57,0.0,1.07,263.05,18.75,27.44,90.28
2018-04-03 16:00:56,30.59,0.0,1.55,303.23,30.79,48.71,83.94
2018-04-03 17:00:56,42.96,0.0,1.08,282.73,26.13,37.55,86.83
2018-04-03 18:00:56,43.81,0.0,1.25,257.03,18.28,23.94,95.78
2018-04-03 19:00:56,40.72,0.0,1.52,267.97,25.75,37.01,89.35
2018-04-03 20:00:56,41.15,0.0,1.73,368.83,45.11,66.37,67.2
2018-04-03 21:00:56,56.88,0.0,2.04,392.06,64.0,94.52,47.03
2018-04-03 22:00:56,84.22,0.0,1.6,442.01,75.45,106.46,22.52
2018-04-03 23:00:56,103.44,0.0,1.96,548.13,81.74,112.35,15.53
2018-04-04 00:00:56,93.6,0.0,2.92,679.06,92.35,158.06,6.16
2018-04-04 01:00:56,113.06,0.0,1.17,1006.79,102.58,266.76,4.7
2018-04-04 02:00:56,139.86,0.0,1.05,1405.58,102.71,264.63,3.31
2018-04-04 03:00:56,166.88,0.0,4.38,1534.59,100.33,258.78,5.41
2018-04-04 04:00:56,163.5,0.0,3.39,1726.2,101.01,0.0,0.0
2018-04-04 05:00:56,0.0,0.0,24.34,0.0,0.0,0.0,0.0
2018-04-04 06:00:56,133.1,0.0,28.42,0.0,0.0,0.0,0.0
2018-04-04 07:00:56,130.32,0.0,16.95,0.0,0.0,0.0,0.0
2018-04-04 08:00:56,145.87,0.0,24.06,1609.04,88.3,359.5,3.42
2018-04-04 09:00:56,172.66,0.0,19.5,1493.32,93.52,383.43,3.72
2018-04-04 10:00:56,169.11,0.0,21.93,1288.87,97.5,343.29,6.31
2018-04-04 11:00:56,194.87,0.0,24.72,1720.73,101.78,322.24,10.38
2018-04-04 12:00:56,169.95,0.0,16.32,766.29,76.5,155.92,25.06
2018-04-04 13:00:56,139.22,0.0,18.87,710.53,76.32,146.57,32.83
2018-04-04 14:00:56,138.14,0.0,14.3,561.8,59.33,93.94,53.68
2018-04-04 15:00:56,108.64,0.0,11.38,626.85,50.07,73.66,67.63
2018-04-04 16:00:56,83.64,0.0,4.05,386.05,46.8,67.08,76.82
2018-04-04 17:00:56,80.49,0.0,1.73,359.26,29.77,38.64,93.36
2018-04-04 18:00:56,71.57,0.0,1.71,293.62,30.4,39.89,98.47
2018-04-04 19:00:56,61.61,0.0,1.78,279.41,29.72,34.91,96.97
2018-04-04 20:00:56,56.67,0.0,1.63,211.07,46.51,51.86,81.41
2018-04-04 21:00:56,66.85,0.0,2.65,299.09,56.38,60.01,63.27
2018-04-04 22:00:56,87.05,0.0,6.36,596.38,104.23,201.4,20.43
2018-04-04 23:00:56,148.36,0.0,11.7,628.9,117.75,255.7,7.19
2018-04-05 00:00:56,199.48,0.0,8.18,847.47,121.03,300.48,7.05
2018-04-05 01:00:56,184.21,0.0,9.27,1641.19,138.9,462.37,7.22
2018-04-05 02:00:56,238.01,0.0,11.41,2005.55,0.0,0.0,5.96
2018-04-05 03:00:56,277.32,0.0,12.02,2058.57,0.0,0.0,6.27
2018-04-05 04:00:56,241.96,0.0,9.19,1961.81,0.0,0.0,6.38
2018-04-05 05:00:56,177.99,0.0,12.36,2028.51,124.61,395.13,5.7
2018-04-05 06:00:56,157.68,0.0,17.6,1377.7,121.71,307.8,5.07
2018-04-05 07:00:56,136.53,0.0,23.85,1033.3,121.02,224.35,3.64
2018-04-05 08:00:56,156.09,0.0,19.73,1044.23,135.49,355.15,4.18
2018-04-05 09:00:56,200.89,0.0,31.16,1655.13,145.36,373.26,7.07
2018-04-05 10:00:56,238.2,0.0,48.49,1632.45,149.13,408.31,8.89
2018-04-05 11:00:56,228.35,0.0,37.64,1202.22,133.57,322.45,15.61
2018-04-05 12:00:56,214.1,0.0,28.96,665.94,91.33,171.39,31.56
2018-04-05 13:00:56,0.0,0.0,42.92,560.98,70.85,113.22,47.97
2018-04-05 14:00:56,117.5,0.0,52.74,262.77,43.39,60.53,87.58
2018-04-05 15:00:56,91.31,0.0,42.62,296.39,52.45,72.19,83.47
2018-04-05 16:00:56,108.59,0.0,28.26,268.79,53.07,68.72,95.89
2018-04-05 17:00:56,103.92,0.0,42.53,231.89,37.08,46.41,107.6
2018-04-05 18:00:56,81.99,0.0,34.94,340.95,47.99,59.9,97.79
2018-04-05 19:00:56,103.48,0.0,26.48,418.3,60.19,72.53,85.71
2018-04-05 20:00:56,112.7,0.0,29.19,274.25,82.13,93.63,66.93
2018-04-05 21:00:56,147.11,0.0,29.26,440.99,130.19,180.31,6.54
2018-04-05 22:00:56,226.84,0.0,39.14,868.05,141.16,272.82,5.5
2018-04-05 23:00:56,0.0,0.0,26.11,794.13,142.19,254.12,4.86
2018-04-06 00:00:56,208.3,0.0,17.63,948.29,144.94,300.65,4.53
2018-04-06 01:00:56,246.22,0.0,14.21,1708.98,139.65,323.65,3.98
2018-04-06 02:00:56,431.97,0.0,17.15,2020.31,170.79,617.59,5.18
2018-04-06 03:00:56,0.0,0.0,14.56,1930.38,156.0,528.97,3.43
2018-04-06 04:00:56,320.32,0.0,11.96,2199.34,145.29,480.86,3.29
2018-04-06 05:00:56,206.93,0.0,17.97,1984.23,163.71,485.14,3.86
2018-04-06 06:00:56,176.21,0.0,21.74,1763.1,163.88,448.91,4.22
2018-04-06 07:00:56,165.35,0.0,24.33,1756.81,154.35,414.81,4.34
2018-04-06 08:00:56,160.22,0.0,25.93,1433.73,135.43,367.86,4.07
2018-04-06 09:00:56,157.29,0.0,19.28,1555.64,115.87,315.0,4.57
2018-04-06 10:00:56,195.02,0.0,20.31,816.55,88.99,260.21,8.13
2018-04-06 11:00:56,296.9,0.0,16.07,419.67,53.47,86.57,36.37
2018-04-06 12:00:56,165.42,0.0,11.93,296.12,37.03,56.66,54.3
2018-04-06 13:00:56,128.52,0.0,11.32,272.85,27.57,40.47,63.86
2018-04-06 14:00:56,81.06,0.0,9.29,279.68,26.42,41.37,63.87
2018-04-06 15:00:56,91.63,0.0,7.51,290.89,25.55,38.78,71.6
2018-04-06 16:00:56,80.05,0.0,6.54,270.93,16.93,22.91,81.31
2018-04-06 17:00:56,69.74,0.0,6.49,271.21,19.9,27.52,76.47
2018-04-06 18:00:56,80.77,0.0,5.72,256.17,16.32,20.69,79.02
2018-04-06 19:00:56,72.75,0.0,4.39,275.58,22.84,29.6,66.41
2018-04-06 20:00:56,64.84,0.0,3.73,272.3,21.28,24.9,67.1
2018-04-06 21:00:56,50.71,0.0,2.89,269.29,15.29,16.96,80.44
2018-04-06 22:00:56,37.69,0.0,2.82,290.3,15.09,16.4,79.04
2018-04-06 23:00:56,30.49,0.0,2.55,292.8,15.99,17.18,76.83
2018-04-07 00:00:56,28.45,0.0,2.8,271.75,15.41,16.43,78.38
2018-04-07 01:00:56,35.13,0.0,2.52,268.79,10.74,11.12,85.53
2018-04-07 02:00:56,37.37,0.0,2.27,262.78,7.06,7.53,91.6
2018-04-07 03:00:56,31.25,0.0,2.16,255.06,4.65,4.64,96.3
2018-04-07 04:00:56,24.52,0.0,2.15,261.07,4.99,4.57,96.91
2018-04-07 05:00:56,23.12,0.0,2.34,214.06,4.95,4.26,97.29
2018-04-07 06:00:56,22.55,0.0,1.96,222.26,5.69,5.17,96.07
2018-04-07 07:00:56,26.03,0.0,2.02,220.89,10.1,10.3,89.37
2018-04-07 08:00:56,22.04,0.0,2.15,236.75,21.15,22.09,78.02
2018-04-07 09:00:56,24.81,0.0,2.4,291.48,28.54,33.35,76.95
2018-04-07 10:00:56,36.97,0.0,3.05,255.95,31.38,41.05,76.36
2018-04-07 11:00:56,60.97,0.0,3.1,253.76,29.68,40.91,75.12
2018-04-07 12:00:56,71.08,0.0,3.03,263.33,29.01,44.05,79.86
2018-04-07 13:00:56,99.2,0.0,3.2,239.27,21.02,27.98,89.67
2018-04-07 14:00:56,67.86,0.0,3.06,265.51,19.45,25.88,92.91
2018-04-07 15:00:56,71.61,0.0,2.83,269.34,21.17,28.78,94.56
2018-04-07 16:00:56,67.31,0.0,2.56,275.63,23.49,31.98,91.14
2018-04-07 17:00:56,80.77,0.0,2.98,289.02,24.75,34.4,92.78
2018-04-07 18:00:56,102.54,0.0,2.42,303.19,24.68,31.62,91.77
2018-04-07 19:00:56,98.14,0.0,2.25,331.89,28.46,36.53,83.68
2018-04-07 20:00:56,88.11,0.0,1.58,340.63,28.39,34.23,81.49
2018-04-07 21:00:56,67.21,0.0,1.2,334.89,31.62,36.28,67.04
2018-04-07 22:00:56,48.89,0.0,1.64,371.59,27.44,29.94,70.31
2018-04-07 23:00:56,45.46,0.0,1.79,335.08,25.03,27.97,71.28
2018-04-08 00:00:56,50.57,0.0,2.18,359.22,23.69,25.91,70.72
2018-04-08 01:00:56,47.6,0.0,2.0,345.55,19.97,22.73,75.08
2018-04-08 02:00:56,33.82,0.0,1.49,273.67,10.09,10.4,80.25
2018-04-08 03:00:56,34.12,0.0,1.47,281.05,7.64,7.59,81.37
2018-04-08 04:00:56,27.95,0.0,1.82,268.47,6.83,6.17,83.46
2018-04-08 05:00:56,25.77,0.0,1.5,278.86,10.21,10.1,81.82
2018-04-08 06:00:56,39.96,0.0,1.44,277.49,13.86,13.85,78.91
2018-04-08 07:00:56,47.65,0.0,1.6,284.05,10.64,10.57,84.0
2018-04-08 08:00:56,44.04,0.0,1.34,273.67,10.34,10.0,83.21
2018-04-08 09:00:56,40.65,0.0,1.55,246.33,16.94,18.39,74.6
2018-04-08 10:00:56,41.21,0.0,1.46,245.51,17.62,21.11,74.91
2018-04-08 11:00:56,46.55,0.0,1.26,255.63,21.09,25.47,73.75
2018-04-08 12:00:56,52.01,0.0,1.05,262.46,19.26,23.09,76.46
2018-04-08 13:00:56,50.44,0.0,1.13,273.67,22.54,26.31,71.1
2018-04-08 14:00:56,41.48,0.0,1.27,270.11,24.19,29.9,73.04
2018-04-08 15:00:56,50.82,0.0,1.44,256.99,22.71,26.68,79.53
