Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,1.9,0.0,0.0,0.0,0.0,0.0,22.9
2022-03-23 17:00:56,1.9,0.0,0.0,0.0,0.0,0.0,17.8
2022-03-23 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0,15.5
2022-03-23 19:00:56,0.0,0.0,0.0,0.0,0.0,0.0,14.2
2022-03-23 20:00:56,0.0,0.0,0.0,0.0,0.0,0.0,17.5
2022-03-23 21:00:56,0.0,0.0,0.0,0.0,0.0,0.0,19.4
2022-03-23 22:00:56,0.0,0.0,0.0,0.0,0.0,0.0,16.6
2022-03-23 23:00:56,0.0,0.0,0.0,0.0,0.0,0.0,12.8
2022-03-24 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0,11.6
2022-03-24 01:00:56,8.8,0.0,0.0,0.0,0.0,0.0,9.6
2022-03-24 02:00:56,8.6,0.0,0.0,0.0,0.0,0.0,8.6
2022-03-24 03:00:56,10.3,0.0,0.0,0.0,0.0,0.0,8.8
2022-03-24 04:00:56,11.2,0.0,0.0,0.0,0.0,0.0,11.1
2022-03-24 05:00:56,11.2,0.0,0.0,0.0,0.0,0.0,8.4
2022-03-24 06:00:56,10.1,0.0,0.0,0.0,0.0,0.0,7.2
2022-03-24 07:00:56,15.1,0.0,0.0,0.0,0.0,0.0,6.7
2022-03-24 08:00:56,21.7,0.0,0.0,0.0,0.0,0.0,7.6
2022-03-24 09:00:56,18.2,0.0,0.0,0.0,0.0,0.0,7.4
2022-03-24 10:00:56,11.6,0.0,0.0,0.0,0.0,0.0,4.3
2022-03-24 11:00:56,20.6,0.0,0.0,0.0,0.0,0.0,3.4
2022-03-24 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
