Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,26.6,0.0,1.2,1026.8,46.4,0.0,0.0
2022-03-23 17:00:56,26.8,0.0,1.2,907.2,51.1,0.0,0.0
2022-03-23 18:00:56,21.1,0.0,1.3,875.6,52.0,0.0,0.0
2022-03-23 19:00:56,23.6,0.0,1.4,675.1,60.4,0.0,0.0
2022-03-23 20:00:56,29.5,0.0,1.6,517.1,58.6,0.0,0.0
2022-03-23 21:00:56,27.6,0.0,1.6,499.1,66.6,0.0,0.0
2022-03-23 22:00:56,22.8,0.0,1.5,378.0,69.9,0.0,0.0
2022-03-23 23:00:56,25.1,0.0,1.6,400.6,64.6,0.0,0.0
2022-03-24 00:00:56,30.7,0.0,1.4,686.7,89.4,0.0,0.0
2022-03-24 01:00:56,34.8,0.0,2.7,811.2,84.9,0.0,0.0
2022-03-24 02:00:56,36.6,0.0,2.8,793.3,79.8,0.0,0.0
2022-03-24 03:00:56,38.8,0.0,2.4,768.8,73.0,0.0,0.0
2022-03-24 04:00:56,38.6,0.0,2.2,762.7,59.2,0.0,0.0
2022-03-24 05:00:56,36.4,0.0,2.3,750.2,55.6,0.0,0.0
2022-03-24 06:00:56,35.2,0.0,2.3,769.9,69.7,0.0,0.0
2022-03-24 07:00:56,30.9,0.0,2.5,685.1,90.5,0.0,0.0
2022-03-24 08:00:56,38.8,0.0,2.9,741.4,123.6,0.0,0.0
2022-03-24 09:00:56,47.9,0.0,2.8,857.6,108.7,0.0,0.0
2022-03-24 10:00:56,48.2,0.0,2.7,788.3,66.8,0.0,0.0
2022-03-24 11:00:56,49.0,0.0,3.0,577.9,54.2,0.0,0.0
2022-03-24 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
