Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,54.3,0.0,37.07,0.0,14.8,30.85,70.0
2022-03-23 17:00:56,60.96,0.0,37.19,0.0,26.55,49.8,65.88
2022-03-23 18:00:56,67.02,0.0,36.71,0.0,31.32,60.2,65.74
2022-03-23 19:00:56,58.55,0.0,35.92,0.0,0.0,0.0,56.54
2022-03-23 20:00:56,59.38,0.0,35.14,0.0,0.0,0.0,35.67
2022-03-23 21:00:56,68.55,0.0,184.88,0.0,53.9,100.77,47.05
2022-03-23 22:00:56,57.19,0.0,37.21,0.0,63.91,110.74,45.91
2022-03-23 23:00:56,66.41,0.0,53.15,0.0,69.18,110.56,39.07
2022-03-24 00:00:56,51.96,0.0,36.91,0.0,35.52,58.36,31.81
2022-03-24 01:00:56,57.32,0.0,36.66,0.0,53.48,86.73,27.05
2022-03-24 02:00:56,54.78,0.0,36.04,0.0,37.09,55.16,41.23
2022-03-24 03:00:56,44.99,0.0,36.11,0.0,24.56,33.55,49.67
2022-03-24 04:00:56,37.08,0.0,34.7,0.0,28.5,49.33,62.54
2022-03-24 05:00:56,29.85,0.0,35.33,0.0,44.95,53.45,64.19
2022-03-24 06:00:56,35.26,0.0,39.22,0.0,50.68,91.74,55.47
2022-03-24 07:00:56,49.34,0.0,36.49,0.0,87.13,188.25,29.03
2022-03-24 08:00:56,50.05,0.0,37.01,0.0,76.2,201.17,18.33
2022-03-24 09:00:56,59.01,0.0,36.27,0.0,89.98,184.24,20.58
2022-03-24 10:00:56,69.03,0.0,37.22,0.0,58.65,109.19,29.92
2022-03-24 11:00:56,83.19,0.0,38.56,0.0,39.8,75.08,57.25
2022-03-24 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
