Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2019-01-01 01:00:56,43.0,0.0,0.0,663.6,54.1,99.5,12.2
2019-01-01 02:00:56,44.4,0.0,0.0,668.1,57.2,102.4,12.8
2019-01-01 03:00:56,45.0,0.0,0.0,991.6,87.2,275.5,3.7
2019-01-01 04:00:56,52.0,0.0,0.0,638.0,52.6,124.8,16.2
2019-01-01 05:00:56,43.7,0.0,0.0,822.2,63.6,189.2,8.1
2019-01-01 06:00:56,45.2,0.0,0.0,578.8,58.7,151.0,16.2
2019-01-01 07:00:56,40.7,0.0,0.0,457.9,51.4,120.5,13.5
2019-01-01 08:00:56,29.4,0.0,0.0,470.8,47.7,98.0,10.5
2019-01-01 09:00:56,34.7,0.0,0.0,396.4,41.8,79.8,17.2
2019-01-01 10:00:56,32.5,0.0,0.0,520.9,54.1,127.7,12.0
2019-01-01 11:00:56,37.0,0.0,0.0,497.0,43.4,86.7,24.6
2019-01-01 12:00:56,34.6,0.0,0.0,484.7,31.2,62.5,36.0
2019-01-01 13:00:56,30.7,0.0,0.0,500.0,27.3,55.5,37.8
2019-01-01 14:00:56,40.0,0.0,0.0,483.1,25.0,54.9,45.6
2019-01-01 15:00:56,23.3,0.0,0.0,455.9,26.0,59.0,47.2
2019-01-01 16:00:56,19.5,0.0,0.0,454.8,26.5,54.0,49.1
2019-01-01 17:00:56,28.0,0.0,0.0,486.0,37.8,71.2,38.6
2019-01-01 18:00:56,36.2,0.0,0.0,496.3,36.7,68.6,39.9
2019-01-01 19:00:56,28.0,0.0,0.0,473.1,35.8,64.8,43.4
2019-01-01 20:00:56,17.7,0.0,0.0,504.6,37.6,67.6,38.7
2019-01-01 21:00:56,21.4,0.0,0.0,526.6,39.2,73.1,36.5
2019-01-01 22:00:56,22.7,0.0,0.0,501.0,37.5,72.9,37.2
2019-01-01 23:00:56,18.1,0.0,0.0,534.1,41.4,80.0,35.2
2019-01-02 00:00:56,23.2,0.0,0.0,476.0,40.7,80.0,35.8
2019-01-02 01:00:56,20.8,0.0,0.0,492.0,39.0,79.7,37.4
2019-01-02 02:00:56,16.2,0.0,0.0,414.6,28.5,67.9,48.8
2019-01-02 03:00:56,16.5,0.0,0.0,391.3,22.4,64.1,53.7
