Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,19.69,0.0,22.5,1060.0,0.0,0.0,0.0
2022-03-23 17:00:56,20.02,0.0,22.14,1065.02,4.7,41.52,0.0
2022-03-23 18:00:56,23.09,0.0,22.94,1071.04,7.52,44.75,0.0
2022-03-23 19:00:56,26.46,0.0,21.52,1083.27,6.35,41.18,0.0
2022-03-23 20:00:56,28.62,0.0,20.4,1094.46,12.65,50.11,0.0
2022-03-23 21:00:56,31.5,0.0,22.08,1105.04,24.02,64.29,0.0
2022-03-23 22:00:56,25.72,0.0,21.84,1142.17,13.2,46.73,0.0
2022-03-23 23:00:56,24.31,0.0,22.28,1146.07,12.59,47.07,0.0
2022-03-24 00:00:56,24.41,0.0,23.06,1160.38,33.34,72.68,0.0
2022-03-24 01:00:56,29.21,0.0,23.63,1107.61,35.19,86.32,0.0
2022-03-24 02:00:56,22.26,0.0,24.93,1136.51,31.79,73.41,0.0
2022-03-24 03:00:56,23.54,0.0,24.47,1162.43,25.46,60.24,0.0
2022-03-24 04:00:56,25.19,0.0,24.68,1132.68,13.77,47.8,0.0
2022-03-24 05:00:56,28.03,0.0,22.54,1136.43,6.73,40.87,0.0
2022-03-24 06:00:56,25.0,0.0,22.04,1195.25,16.59,54.97,0.0
2022-03-24 07:00:56,22.8,0.0,22.62,1308.11,34.05,100.77,0.0
2022-03-24 08:00:56,21.91,0.0,23.29,1459.99,39.6,205.87,0.0
2022-03-24 09:00:56,31.2,0.0,22.74,2161.97,26.13,342.47,0.0
2022-03-24 10:00:56,54.87,0.0,27.87,1870.28,41.16,304.7,0.0
2022-03-24 11:00:56,47.71,0.0,25.2,1182.72,25.52,73.75,0.0
2022-03-24 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
