Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2019-01-01 01:00:56,44.3,29.0,1.1,425.4,49.9,62.2,34.9
2019-01-01 02:00:56,36.2,29.0,0.9,395.0,50.8,61.7,36.0
2019-01-01 03:00:56,39.3,29.8,0.8,332.8,43.8,49.6,32.3
2019-01-01 04:00:56,39.6,20.9,0.7,256.9,35.3,36.9,24.0
2019-01-01 05:00:56,27.2,15.0,0.7,238.6,39.7,44.4,23.2
2019-01-01 06:00:56,16.6,16.0,0.7,217.9,29.1,31.4,18.2
2019-01-01 07:00:56,18.1,16.0,0.9,218.2,35.0,38.7,24.7
2019-01-01 08:00:56,21.9,15.0,1.0,234.6,42.5,53.8,30.6
2019-01-01 09:00:56,17.0,12.0,1.2,252.4,43.9,58.8,31.5
2019-01-01 10:00:56,19.9,15.1,1.2,271.3,44.5,68.2,32.2
2019-01-01 11:00:56,35.7,23.0,1.3,272.0,42.2,65.4,29.5
2019-01-01 12:00:56,44.8,23.0,1.4,318.5,40.8,69.5,27.4
2019-01-01 13:00:56,41.5,26.0,1.4,276.8,30.8,48.2,18.2
2019-01-01 14:00:56,30.2,21.2,1.2,260.0,28.7,44.0,12.8
2019-01-01 15:00:56,36.2,16.2,1.1,214.2,25.7,37.4,6.9
2019-01-01 16:00:56,61.2,11.2,1.0,246.1,32.4,47.1,11.5
2019-01-01 17:00:56,61.6,12.0,0.9,244.4,39.0,56.8,15.8
2019-01-01 18:00:56,51.4,10.0,1.0,278.6,41.8,56.8,18.1
2019-01-01 19:00:56,45.6,13.9,0.9,308.4,45.0,64.5,21.5
2019-01-01 20:00:56,39.0,14.0,0.9,320.0,42.8,57.2,21.7
2019-01-01 21:00:56,33.9,17.9,0.9,313.2,46.6,64.2,24.2
2019-01-01 22:00:56,25.9,13.2,1.1,324.8,52.1,80.2,26.9
2019-01-01 23:00:56,26.0,14.9,0.9,265.0,43.1,67.8,20.8
2019-01-02 00:00:56,29.4,13.0,0.8,217.2,26.6,30.0,15.8
2019-01-02 01:00:56,24.5,9.1,0.8,205.1,24.2,25.2,15.3
2019-01-02 02:00:56,27.2,7.1,0.6,181.9,0.0,0.0,8.4
2019-01-02 03:00:56,15.2,7.0,0.6,176.8,0.0,0.0,11.1
2019-01-02 04:00:56,10.0,8.0,0.6,185.2,0.0,0.0,15.0
2019-01-02 05:00:56,8.9,8.0,0.6,203.1,0.0,0.0,16.7
2019-01-02 06:00:56,7.8,8.0,0.7,207.1,37.8,59.8,26.4
2019-01-02 07:00:56,4.6,8.0,0.8,235.6,47.4,73.9,33.1
2019-01-02 08:00:56,6.7,9.0,1.4,351.5,68.2,152.0,38.3
2019-01-02 09:00:56,16.7,13.8,2.2,461.7,79.9,210.9,38.2
2019-01-02 10:00:56,17.6,11.1,1.1,329.6,46.8,70.5,29.6
2019-01-02 11:00:56,19.8,13.0,0.8,283.0,32.2,40.7,20.3
2019-01-02 12:00:56,12.3,13.0,1.0,270.6,31.8,41.4,19.4
2019-01-02 13:00:56,14.7,11.0,1.0,358.0,47.9,75.9,28.2
2019-01-02 14:00:56,20.2,10.0,1.0,389.9,47.8,69.8,28.8
2019-01-02 15:00:56,14.0,11.0,0.9,306.8,34.4,46.6,18.4
2019-01-02 16:00:56,15.2,12.0,1.0,368.5,47.2,62.5,23.7
2019-01-02 17:00:56,19.2,14.0,1.0,407.6,58.3,86.1,27.2
2019-01-02 18:00:56,20.8,10.1,1.3,387.7,65.0,104.0,32.0
2019-01-02 19:00:56,16.3,12.9,1.7,463.3,71.6,126.9,36.1
2019-01-02 20:00:56,28.2,19.8,1.5,504.4,73.4,121.9,38.6
2019-01-02 21:00:56,30.2,22.9,1.1,433.6,67.3,92.4,37.4
2019-01-02 22:00:56,26.1,23.0,1.3,430.1,70.1,104.1,38.3
2019-01-02 23:00:56,29.8,21.0,1.6,482.2,67.3,138.6,39.4
2019-01-03 00:00:56,39.2,22.0,1.5,480.5,64.2,116.7,39.7
2019-01-03 01:00:56,26.0,25.9,0.9,302.9,47.1,61.9,21.1
2019-01-03 02:00:56,30.9,9.5,0.8,309.2,50.8,58.0,33.6
2019-01-03 03:00:56,28.8,14.8,1.0,321.0,48.7,78.8,39.0
2019-01-03 04:00:56,33.4,15.0,1.0,306.9,45.9,73.7,39.5
2019-01-03 05:00:56,18.8,14.0,0.7,226.6,28.2,31.9,26.1
2019-01-03 06:00:56,19.7,10.1,0.8,212.6,31.0,42.5,28.2
2019-01-03 07:00:56,23.1,8.0,0.7,221.0,28.8,43.7,23.6
2019-01-03 08:00:56,21.1,11.9,1.0,269.4,51.1,93.4,33.2
2019-01-03 09:00:56,22.1,10.0,1.4,385.9,60.2,135.3,36.2
2019-01-03 10:00:56,14.8,14.8,1.4,350.6,57.7,126.3,36.4
2019-01-03 11:00:56,22.4,17.9,1.4,334.3,54.6,106.9,33.6
2019-01-03 12:00:56,23.6,15.1,1.2,377.6,54.0,93.5,28.4
2019-01-03 13:00:56,21.8,14.0,1.1,347.1,46.2,70.2,23.6
2019-01-03 14:00:56,20.4,11.1,1.1,372.4,51.0,82.5,27.2
2019-01-03 15:00:56,18.0,13.0,1.0,323.7,43.4,64.3,23.0
2019-01-03 16:00:56,27.5,12.0,0.7,411.5,46.2,70.4,29.4
2019-01-03 17:00:56,25.6,17.8,1.2,474.9,61.1,114.2,35.6
2019-01-03 18:00:56,28.9,20.0,1.4,504.2,62.1,114.6,35.6
2019-01-03 19:00:56,31.9,19.0,1.6,464.5,57.6,114.6,37.6
2019-01-03 20:00:56,27.2,24.8,1.0,365.9,42.0,70.4,29.5
2019-01-03 21:00:56,17.4,16.3,0.9,299.7,34.9,51.3,22.8
2019-01-03 22:00:56,18.8,14.0,0.8,309.7,33.1,46.0,21.3
2019-01-03 23:00:56,11.8,10.1,0.7,320.7,34.8,50.2,21.8
2019-01-04 00:00:56,9.4,8.1,0.6,282.7,27.0,33.0,17.3
2019-01-04 01:00:56,6.9,7.0,0.5,264.9,20.6,22.2,18.4
2019-01-04 02:00:56,7.8,4.1,0.6,244.8,0.0,0.0,19.9
2019-01-04 03:00:56,4.3,3.0,0.4,188.5,0.0,0.0,9.3
2019-01-04 04:00:56,3.9,4.0,0.4,146.6,0.0,0.0,2.9
2019-01-04 05:00:56,5.3,3.0,0.5,158.5,0.0,0.0,7.4
2019-01-04 06:00:56,4.8,1.0,0.3,161.1,0.0,0.0,10.4
2019-01-04 07:00:56,6.8,1.0,0.5,156.9,0.0,0.0,10.0
2019-01-04 08:00:56,10.9,0.0,0.5,164.3,9.8,12.1,14.3
2019-01-04 09:00:56,17.7,1.0,1.6,181.6,17.3,23.8,18.0
2019-01-04 10:00:56,12.2,5.0,0.5,204.5,17.2,22.0,19.5
2019-01-04 11:00:56,15.9,4.0,0.6,221.3,18.5,24.2,21.7
2019-01-04 12:00:56,18.0,5.0,0.9,246.0,23.7,32.0,22.8
2019-01-04 13:00:56,19.8,8.9,0.8,302.4,37.5,63.8,32.0
2019-01-04 14:00:56,19.0,8.0,1.0,348.0,41.7,80.0,36.1
2019-01-04 15:00:56,11.1,9.0,1.2,334.7,47.6,94.4,39.1
2019-01-04 16:00:56,9.6,9.0,1.0,345.8,43.9,74.1,34.0
2019-01-04 17:00:56,17.7,7.0,1.1,318.8,44.0,66.9,33.5
2019-01-04 18:00:56,16.0,10.9,1.2,261.6,44.1,61.7,33.8
2019-01-04 19:00:56,23.5,9.0,0.9,321.0,48.8,68.1,36.6
2019-01-04 20:00:56,16.6,13.8,1.1,338.2,56.2,82.8,40.9
2019-01-04 21:00:56,24.7,16.9,0.8,317.0,46.8,61.1,35.2
2019-01-04 22:00:56,22.0,12.2,0.9,395.6,39.0,47.8,29.0
2019-01-04 23:00:56,20.3,10.0,0.8,296.4,35.4,41.4,26.0
2019-01-05 00:00:56,17.2,7.1,0.6,244.0,31.9,35.1,24.2
2019-01-05 01:00:56,14.6,6.0,0.7,204.1,21.9,23.9,16.7
2019-01-05 02:00:56,12.3,8.0,0.7,178.5,18.2,19.3,13.0
2019-01-05 03:00:56,9.5,6.0,0.6,158.7,0.0,0.0,9.1
2019-01-05 04:00:56,7.9,3.0,0.5,152.4,0.0,0.0,5.6
2019-01-05 05:00:56,13.5,0.0,0.6,156.8,0.0,0.0,9.3
2019-01-05 06:00:56,11.0,3.0,0.6,164.3,11.9,13.3,14.9
2019-01-05 07:00:56,7.8,6.0,0.6,174.5,18.8,24.1,20.9
2019-01-05 08:00:56,6.4,6.0,0.8,213.0,28.4,38.9,29.8
2019-01-05 09:00:56,10.1,7.0,0.8,259.0,37.2,57.3,35.1
2019-01-05 10:00:56,9.2,6.0,1.0,302.1,44.1,71.8,39.2
2019-01-05 11:00:56,8.4,11.8,1.0,311.9,46.9,75.1,38.8
2019-01-05 12:00:56,15.9,11.0,1.0,300.0,35.3,52.4,33.4
2019-01-05 13:00:56,10.0,12.0,0.8,358.7,41.9,66.4,37.7
2019-01-05 14:00:56,9.9,11.0,1.0,395.1,43.4,69.5,38.1
2019-01-05 15:00:56,7.4,12.0,0.9,399.1,43.3,66.2,37.0
2019-01-05 16:00:56,15.0,8.1,0.9,490.8,37.4,52.6,35.5
2019-01-05 17:00:56,44.7,92.0,0.8,435.4,37.2,49.7,35.8
2019-01-05 18:00:56,37.3,44.0,0.9,342.3,29.5,37.3,31.9
2019-01-05 19:00:56,39.2,9.0,0.7,308.3,27.6,33.8,29.5
2019-01-05 20:00:56,30.8,10.9,0.7,312.2,27.6,34.2,30.0
2019-01-05 21:00:56,18.5,13.9,0.8,303.0,28.7,37.8,31.0
2019-01-05 22:00:56,18.2,14.0,0.7,302.5,27.4,33.5,31.4
2019-01-05 23:00:56,20.2,12.0,0.7,317.8,25.3,29.8,30.5
2019-01-06 00:00:56,15.5,12.0,0.6,280.8,23.1,26.6,28.5
2019-01-06 01:00:56,21.1,9.1,0.8,282.6,17.1,17.9,23.2
2019-01-06 02:00:56,11.4,11.0,0.6,248.2,16.3,17.2,21.4
2019-01-06 03:00:56,7.4,10.0,0.4,231.9,0.0,0.0,19.0
