Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-03-29 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-29 12:00:56,0.0,21.67,0.0,0.0,33.77,0.0,37.29
2018-03-29 13:00:56,0.0,23.5,0.0,0.0,33.26,70.09,38.99
2018-03-29 14:00:56,0.0,29.07,0.0,0.0,28.54,54.06,47.04
2018-03-29 15:00:56,0.0,35.87,0.0,0.0,25.65,49.26,54.33
2018-03-29 16:00:56,0.0,41.04,1.39,0.0,30.02,59.73,58.06
2018-03-29 17:00:56,0.0,38.99,3.51,0.0,34.11,66.12,62.17
2018-03-29 18:00:56,0.0,35.65,3.43,0.0,35.69,69.53,60.96
2018-03-29 19:00:56,0.0,33.43,3.89,0.0,34.55,63.53,63.4
2018-03-29 20:00:56,0.0,36.55,4.25,0.0,61.49,125.72,49.57
2018-03-29 21:00:56,0.0,43.93,3.97,0.0,56.14,93.69,41.08
2018-03-29 22:00:56,0.0,42.73,1.09,0.0,59.49,103.5,42.12
2018-03-29 23:00:56,0.0,44.48,2.75,0.0,45.45,71.63,53.25
2018-03-30 00:00:56,0.0,42.05,4.28,0.0,60.14,93.7,32.23
2018-03-30 01:00:56,0.0,43.72,3.78,0.0,68.66,147.94,20.45
2018-03-30 02:00:56,0.0,57.9,3.42,0.0,71.92,202.46,6.43
2018-03-30 03:00:56,0.0,68.09,3.83,0.0,64.61,251.09,6.0
2018-03-30 04:00:56,0.0,61.22,3.45,0.0,42.91,181.07,5.49
2018-03-30 05:00:56,0.0,51.14,3.31,0.0,35.04,147.6,5.91
2018-03-30 06:00:56,0.0,46.45,2.88,0.0,37.98,162.73,5.49
2018-03-30 07:00:56,0.0,54.99,3.08,0.0,39.24,192.36,4.73
2018-03-30 08:00:56,0.0,41.03,3.78,0.0,54.4,409.51,6.45
2018-03-30 09:00:56,0.0,48.83,3.54,0.0,76.27,421.21,5.55
2018-03-30 10:00:56,0.0,64.07,4.6,0.0,94.55,515.8,6.5
2018-03-30 11:00:56,0.0,70.45,2.89,0.0,66.02,162.74,19.69
2018-03-30 12:00:56,0.0,62.74,2.89,0.0,48.72,94.8,35.43
2018-03-30 13:00:56,0.0,47.49,4.01,0.0,43.45,75.87,47.28
2018-03-30 14:00:56,0.0,43.77,4.54,0.0,47.06,77.29,58.65
2018-03-30 15:00:56,0.0,39.41,4.73,0.0,41.95,71.07,67.15
2018-03-30 16:00:56,0.0,28.96,6.72,0.0,46.4,75.79,70.14
2018-03-30 17:00:56,0.0,26.52,8.67,0.0,49.16,79.15,65.48
2018-03-30 18:00:56,0.0,28.48,5.68,0.0,53.36,80.16,62.58
