Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,14.5,0.0,6.8,0.0,0.0,0.0,24.6
2022-03-23 17:00:56,17.0,0.0,6.7,0.0,0.0,0.0,28.5
2022-03-23 18:00:56,17.4,0.0,6.7,0.0,20.6,0.0,25.4
2022-03-23 19:00:56,19.8,0.0,6.3,0.0,0.0,0.0,30.3
2022-03-23 20:00:56,16.2,0.0,6.5,0.0,0.0,0.0,29.2
2022-03-23 21:00:56,18.3,0.0,6.4,0.0,0.0,0.0,29.0
2022-03-23 22:00:56,21.4,0.0,6.6,0.0,0.0,0.0,31.5
2022-03-23 23:00:56,24.0,0.0,6.2,0.0,8.6,0.0,27.2
2022-03-24 00:00:56,23.2,0.0,6.0,0.0,15.0,0.0,25.0
2022-03-24 01:00:56,15.6,0.0,5.7,0.0,0.0,0.0,25.2
2022-03-24 02:00:56,20.6,0.0,5.7,0.0,0.0,0.0,25.7
2022-03-24 03:00:56,28.2,0.0,6.2,0.0,0.0,0.0,23.9
2022-03-24 04:00:56,30.9,0.0,6.1,0.0,0.0,0.0,23.8
2022-03-24 05:00:56,23.2,0.0,6.2,0.0,0.0,0.0,21.7
2022-03-24 06:00:56,25.8,0.0,6.2,0.0,10.2,0.0,22.6
2022-03-24 07:00:56,26.3,0.0,6.0,0.0,21.5,0.0,15.2
2022-03-24 08:00:56,23.3,0.0,6.1,0.0,36.6,0.0,11.4
2022-03-24 09:00:56,20.7,0.0,6.0,0.0,41.4,0.0,14.2
2022-03-24 10:00:56,29.2,0.0,6.0,0.0,27.3,0.0,21.0
2022-03-24 11:00:56,30.0,0.0,6.4,0.0,20.3,0.0,17.7
2022-03-24 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
