Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,8.4,0.0,3.1,0.0,7.0,0.0,60.6
2022-03-23 17:00:56,9.0,0.0,2.9,0.0,7.2,0.0,63.2
2022-03-23 18:00:56,16.5,0.0,2.3,0.0,7.2,0.0,57.6
2022-03-23 19:00:56,15.5,0.0,3.1,0.0,0.0,0.0,57.0
2022-03-23 20:00:56,9.8,0.0,2.2,0.0,6.8,0.0,63.3
2022-03-23 21:00:56,8.5,0.0,2.4,0.0,0.0,0.0,59.2
2022-03-23 22:00:56,9.0,0.0,2.8,0.0,0.0,0.0,66.9
2022-03-23 23:00:56,17.4,0.0,1.9,0.0,0.0,0.0,65.8
2022-03-24 00:00:56,18.9,0.0,3.2,0.0,0.0,0.0,65.8
2022-03-24 01:00:56,16.2,0.0,2.9,0.0,0.0,0.0,66.6
2022-03-24 02:00:56,10.4,0.0,3.2,0.0,0.0,0.0,69.7
2022-03-24 03:00:56,16.2,0.0,3.1,0.0,0.0,0.0,63.6
2022-03-24 04:00:56,23.3,0.0,3.3,0.0,0.0,0.0,64.6
2022-03-24 05:00:56,16.8,0.0,4.0,0.0,0.0,0.0,58.8
2022-03-24 06:00:56,21.2,0.0,2.8,0.0,0.0,0.0,50.1
2022-03-24 07:00:56,33.3,0.0,3.4,0.0,23.2,0.0,41.3
2022-03-24 08:00:56,25.1,0.0,3.4,0.0,26.6,0.0,30.9
2022-03-24 09:00:56,15.5,0.0,4.3,0.0,18.1,0.0,42.9
2022-03-24 10:00:56,10.0,0.0,3.5,0.0,12.6,0.0,51.6
2022-03-24 11:00:56,18.2,0.0,3.2,0.0,3.2,0.0,67.0
2022-03-24 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
