Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2019-01-01 01:00:56,26.8,0.0,0.0,670.8,62.2,130.9,13.7
2019-01-01 02:00:56,25.8,0.0,0.0,616.3,61.9,112.9,16.0
2019-01-01 03:00:56,26.0,0.0,0.0,706.7,71.0,133.3,7.5
2019-01-01 04:00:56,26.7,0.0,0.0,671.8,57.5,85.8,9.4
2019-01-01 05:00:56,25.2,3.4,0.0,654.4,57.5,112.5,10.2
2019-01-01 06:00:56,22.8,4.4,0.0,530.5,35.2,46.8,24.9
2019-01-01 07:00:56,20.6,6.8,0.0,587.9,47.5,78.9,13.6
2019-01-01 08:00:56,22.4,11.0,0.0,620.9,52.5,104.6,11.8
2019-01-01 09:00:56,27.1,13.8,0.0,565.2,38.8,65.1,20.4
2019-01-01 10:00:56,31.0,16.3,0.0,562.2,49.8,92.6,16.9
2019-01-01 11:00:56,30.8,18.4,0.0,564.4,49.1,101.6,18.7
2019-01-01 12:00:56,31.0,18.1,0.0,561.8,41.7,91.2,23.6
2019-01-01 13:00:56,31.8,15.4,0.0,531.0,35.0,71.2,31.9
2019-01-01 14:00:56,29.0,12.4,0.0,509.4,40.7,79.7,34.0
2019-01-01 15:00:56,25.6,11.3,0.0,520.4,41.0,85.8,34.8
2019-01-01 16:00:56,23.4,10.5,0.0,496.6,39.9,81.7,37.5
2019-01-01 17:00:56,24.0,11.2,0.0,511.5,48.6,102.4,31.4
2019-01-01 18:00:56,24.2,15.2,0.0,534.2,57.8,112.0,29.0
2019-01-01 19:00:56,23.8,18.1,0.0,557.9,57.0,114.8,26.2
2019-01-01 20:00:56,25.5,13.2,0.0,519.6,54.2,116.2,27.2
2019-01-01 21:00:56,24.2,10.8,0.0,545.5,50.2,95.0,29.0
2019-01-01 22:00:56,22.5,9.2,0.0,524.7,49.9,95.8,28.0
2019-01-01 23:00:56,20.6,8.6,0.0,554.0,52.8,91.2,26.6
2019-01-02 00:00:56,21.1,8.9,0.0,504.0,47.4,79.5,28.2
2019-01-02 01:00:56,20.1,12.2,0.0,518.8,45.3,68.6,28.1
2019-01-02 02:00:56,28.7,18.5,0.0,454.0,33.6,46.6,39.7
2019-01-02 03:00:56,37.7,18.0,0.0,461.7,26.6,33.5,41.1
2019-01-02 04:00:56,21.6,15.4,0.0,475.9,24.3,30.8,41.5
2019-01-02 05:00:56,11.8,15.4,0.0,441.2,23.3,28.5,39.6
2019-01-02 06:00:56,6.5,12.4,0.0,439.9,31.8,43.6,32.9
2019-01-02 07:00:56,5.6,8.7,0.0,522.4,61.2,141.7,18.8
2019-01-02 08:00:56,12.4,8.0,0.0,609.7,95.1,244.5,6.9
2019-01-02 09:00:56,19.2,9.4,0.0,616.0,94.4,250.0,7.7
2019-01-02 10:00:56,28.6,13.5,0.0,671.2,100.6,315.3,5.4
2019-01-02 11:00:56,24.8,12.6,0.0,573.1,91.6,270.2,8.8
2019-01-02 12:00:56,16.7,8.5,0.0,505.0,89.4,218.3,13.8
2019-01-02 13:00:56,13.5,9.0,0.0,587.6,71.7,180.9,15.3
2019-01-02 14:00:56,13.7,10.6,0.0,641.7,73.4,179.2,16.1
2019-01-02 15:00:56,14.2,12.5,0.0,520.0,83.6,225.8,13.6
2019-01-02 16:00:56,13.4,10.6,0.0,486.1,82.2,197.2,18.6
2019-01-02 17:00:56,13.4,8.0,0.0,583.0,85.3,220.2,14.4
2019-01-02 18:00:56,16.2,8.7,0.0,581.7,81.4,208.2,13.7
2019-01-02 19:00:56,16.9,12.8,0.0,646.2,90.4,225.7,9.4
2019-01-02 20:00:56,20.8,15.1,0.0,719.4,95.8,260.4,6.2
2019-01-02 21:00:56,26.3,17.0,0.0,684.1,86.8,208.5,8.9
2019-01-02 22:00:56,28.4,17.6,0.0,695.4,83.0,179.9,9.7
2019-01-02 23:00:56,28.8,17.2,0.0,616.6,68.5,150.4,13.9
2019-01-03 00:00:56,25.8,15.0,0.0,588.9,62.3,121.0,16.3
2019-01-03 01:00:56,21.0,14.1,0.0,502.0,49.1,83.6,29.9
2019-01-03 02:00:56,17.7,8.9,0.0,523.7,46.9,71.3,29.5
2019-01-03 03:00:56,14.8,8.6,0.0,523.8,55.4,75.8,16.8
2019-01-03 04:00:56,12.6,12.0,0.0,458.4,47.8,57.3,22.9
2019-01-03 05:00:56,11.9,10.1,0.0,375.3,24.9,29.9,39.2
2019-01-03 06:00:56,10.6,9.5,0.0,401.2,36.4,47.0,26.6
2019-01-03 07:00:56,11.9,11.6,0.0,422.9,55.6,129.0,18.6
2019-01-03 08:00:56,13.8,13.2,0.0,485.9,73.8,217.2,12.4
2019-01-03 09:00:56,18.0,12.2,0.0,582.2,90.0,265.9,8.7
2019-01-03 10:00:56,22.2,8.0,0.0,623.8,98.7,309.7,7.6
2019-01-03 11:00:56,22.8,10.2,0.0,610.0,82.0,240.8,8.9
2019-01-03 12:00:56,20.0,11.0,0.0,611.0,73.4,218.2,14.0
2019-01-03 13:00:56,18.0,13.5,0.0,531.7,61.5,161.5,18.3
2019-01-03 14:00:56,17.3,11.9,0.0,605.3,63.8,169.8,18.5
2019-01-03 15:00:56,15.9,11.6,0.0,593.6,69.0,192.1,17.8
2019-01-03 16:00:56,21.1,13.6,0.0,693.4,83.2,225.8,12.4
2019-01-03 17:00:56,28.1,13.1,0.0,659.4,70.2,186.9,12.8
2019-01-03 18:00:56,30.8,11.6,0.0,627.8,74.9,196.6,10.8
2019-01-03 19:00:56,25.9,12.6,0.0,599.8,73.2,179.6,12.7
2019-01-03 20:00:56,20.6,13.5,0.0,553.7,66.4,150.9,16.8
2019-01-03 21:00:56,13.9,10.6,0.0,481.0,43.5,80.9,31.8
2019-01-03 22:00:56,12.1,5.3,0.0,507.1,44.6,79.2,30.4
2019-01-03 23:00:56,11.6,4.7,0.0,491.5,52.0,82.6,15.8
2019-01-04 00:00:56,8.8,2.9,0.0,517.2,54.4,77.9,7.1
2019-01-04 01:00:56,9.4,2.3,0.0,510.0,51.8,68.9,6.8
2019-01-04 02:00:56,8.0,0.0,0.0,462.0,46.0,57.2,7.9
2019-01-04 03:00:56,3.9,3.4,0.0,454.4,49.0,61.2,6.7
2019-01-04 04:00:56,2.9,4.3,0.0,362.7,41.0,47.9,11.8
2019-01-04 05:00:56,2.4,4.0,0.0,337.7,28.5,33.3,15.6
2019-01-04 06:00:56,2.6,5.1,0.0,351.2,24.0,29.6,14.8
2019-01-04 07:00:56,2.0,5.0,0.0,356.4,33.5,44.0,11.9
2019-01-04 08:00:56,3.3,4.7,0.0,412.6,57.5,105.4,5.2
2019-01-04 09:00:56,18.2,6.8,0.0,432.1,67.1,138.8,4.6
2019-01-04 10:00:56,29.4,12.9,0.0,516.3,76.6,204.7,4.0
2019-01-04 11:00:56,15.8,14.0,0.0,506.3,76.8,216.6,4.0
2019-01-04 12:00:56,10.1,12.0,0.0,499.1,77.8,220.6,4.1
2019-01-04 13:00:56,5.4,10.8,0.0,522.4,71.9,177.8,4.2
2019-01-04 14:00:56,3.4,10.2,0.0,491.0,66.5,164.4,10.4
2019-01-04 15:00:56,5.0,8.8,0.0,512.7,52.7,146.7,22.0
2019-01-04 16:00:56,6.1,8.0,0.0,533.4,59.7,150.4,21.4
2019-01-04 17:00:56,11.8,8.7,0.0,550.2,66.0,165.9,20.9
2019-01-04 18:00:56,18.8,12.4,0.0,506.2,56.8,135.0,22.5
2019-01-04 19:00:56,18.1,11.0,0.0,566.0,59.4,136.9,20.9
2019-01-04 20:00:56,19.0,11.1,0.0,595.2,64.6,138.3,18.3
2019-01-04 21:00:56,19.0,9.0,0.0,578.4,54.6,112.6,22.8
2019-01-04 22:00:56,18.6,6.8,0.0,536.0,40.5,78.0,31.9
2019-01-04 23:00:56,17.2,6.9,0.0,554.9,38.1,74.8,33.7
2019-01-05 00:00:56,18.2,7.8,0.0,528.4,37.1,69.2,35.6
2019-01-05 01:00:56,20.6,8.3,0.0,485.9,30.2,54.8,41.7
2019-01-05 02:00:56,19.5,4.6,0.0,469.6,21.8,35.0,47.3
2019-01-05 03:00:56,16.0,0.0,0.0,458.1,18.8,28.2,49.4
2019-01-05 04:00:56,11.8,2.2,0.0,427.7,14.7,20.6,52.8
2019-01-05 05:00:56,7.6,2.1,0.0,411.0,13.8,20.0,52.2
2019-01-05 06:00:56,7.0,7.1,0.0,418.2,12.2,17.1,51.3
2019-01-05 07:00:56,6.0,6.4,0.0,436.7,23.1,39.8,44.0
2019-01-05 08:00:56,6.8,5.0,0.0,455.8,28.1,48.5,38.4
2019-01-05 09:00:56,7.6,10.3,0.0,460.8,32.6,59.4,35.0
2019-01-05 10:00:56,5.8,0.0,0.0,487.4,42.1,83.6,29.2
2019-01-05 11:00:56,5.3,12.0,0.0,499.4,39.6,78.9,30.2
2019-01-05 12:00:56,7.3,10.6,0.0,517.7,41.4,80.7,30.6
2019-01-05 13:00:56,7.9,8.5,0.0,551.1,46.1,95.8,27.5
2019-01-05 14:00:56,9.6,7.9,0.0,596.3,57.2,127.7,11.5
2019-01-05 15:00:56,10.3,9.3,0.0,588.6,65.7,155.2,5.6
2019-01-05 16:00:56,9.0,10.2,0.0,623.4,68.0,171.6,5.6
2019-01-05 17:00:56,9.7,13.5,0.0,677.5,71.4,186.4,4.6
2019-01-05 18:00:56,9.0,18.0,0.0,612.8,75.6,201.6,4.0
2019-01-05 19:00:56,9.3,16.1,0.0,606.0,72.8,180.0,4.2
2019-01-05 20:00:56,9.7,12.6,0.0,577.4,69.7,161.6,4.2
2019-01-05 21:00:56,8.8,8.8,0.0,546.4,61.5,119.3,4.8
2019-01-05 22:00:56,9.4,7.0,0.0,572.5,59.8,111.0,4.7
2019-01-05 23:00:56,10.8,7.7,0.0,645.2,60.8,121.0,4.5
2019-01-06 00:00:56,11.0,7.6,0.0,622.0,59.3,115.0,4.5
2019-01-06 01:00:56,9.2,10.0,0.0,559.3,40.6,73.9,24.6
2019-01-06 02:00:56,0.0,11.8,0.0,559.7,32.8,57.2,33.8
2019-01-06 03:00:56,0.0,9.4,0.0,559.6,31.2,47.8,32.3
2019-01-06 04:00:56,0.0,8.0,0.0,556.9,25.7,37.6,36.8
2019-01-06 05:00:56,0.0,7.6,0.0,498.5,18.4,27.5,43.6
2019-01-06 06:00:56,2.1,7.3,0.0,489.0,21.6,27.8,39.6
2019-01-06 07:00:56,3.9,4.9,0.0,496.6,25.1,37.8,40.8
2019-01-06 08:00:56,5.2,3.4,0.0,538.1,39.3,69.7,31.1
2019-01-06 09:00:56,5.9,6.7,0.0,573.4,44.3,79.1,29.2
2019-01-06 10:00:56,6.2,12.3,0.0,588.6,40.8,80.8,31.6
2019-01-06 11:00:56,8.6,0.0,0.0,581.2,41.2,79.9,32.2
2019-01-06 12:00:56,8.2,16.6,0.0,643.0,47.0,96.8,28.6
2019-01-06 13:00:56,10.3,12.0,0.0,648.6,47.8,104.1,30.1
2019-01-06 14:00:56,12.8,9.4,0.0,663.9,48.8,109.4,27.1
2019-01-06 15:00:56,15.4,9.8,0.0,743.4,66.9,180.9,18.7
2019-01-06 16:00:56,18.2,14.0,0.0,732.7,71.8,162.8,16.4
2019-01-06 17:00:56,23.0,14.6,0.0,822.9,79.4,203.4,11.7
2019-01-06 18:00:56,29.1,18.5,0.0,811.8,75.6,168.1,11.9
2019-01-06 19:00:56,29.6,24.1,0.0,862.0,88.1,222.8,8.9
2019-01-06 20:00:56,30.1,25.7,0.0,882.5,88.7,224.5,9.2
2019-01-06 21:00:56,29.7,20.8,0.0,970.8,98.5,287.2,5.8
2019-01-06 22:00:56,32.0,15.8,0.0,887.6,84.7,220.0,8.5
2019-01-06 23:00:56,30.7,13.7,0.0,840.9,69.4,149.6,10.4
2019-01-07 00:00:56,25.8,13.6,0.0,761.0,59.2,112.9,13.0
2019-01-07 01:00:56,24.0,14.3,0.0,701.3,40.0,66.9,21.4
2019-01-07 02:00:56,23.3,21.3,0.0,673.7,31.8,47.8,25.5
2019-01-07 03:00:56,18.7,15.8,0.0,690.1,34.4,45.1,22.7
2019-01-07 04:00:56,14.4,12.1,0.0,686.4,36.9,48.2,21.6
2019-01-07 05:00:56,12.0,11.1,0.0,677.6,39.2,53.8,17.0
2019-01-07 06:00:56,9.7,8.4,0.0,563.0,29.7,41.0,10.0
2019-01-07 07:00:56,8.1,5.6,0.0,595.8,48.4,91.1,4.6
2019-01-07 08:00:56,10.6,5.6,0.0,705.8,68.2,202.6,3.9
2019-01-07 09:00:56,10.8,7.0,0.0,715.2,68.5,197.4,10.2
2019-01-07 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-07 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
