Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,30.97,10.42,6.75,0.0,9.77,15.71,89.04
2022-03-23 17:00:56,31.04,16.86,6.81,0.0,10.41,16.75,86.54
2022-03-23 18:00:56,23.85,11.21,7.39,0.0,8.97,14.76,89.98
2022-03-23 19:00:56,26.37,10.73,6.87,0.0,9.29,14.61,87.42
2022-03-23 20:00:56,30.78,8.35,7.19,0.0,10.48,15.02,83.6
2022-03-23 21:00:56,32.1,8.76,7.1,0.0,10.76,15.18,81.93
2022-03-23 22:00:56,23.93,7.0,6.85,0.0,10.5,15.11,83.03
2022-03-23 23:00:56,26.74,6.73,6.75,0.0,12.7,17.3,80.79
2022-03-24 00:00:56,25.59,6.69,6.85,0.0,12.89,17.1,78.36
2022-03-24 01:00:56,27.05,5.93,6.07,0.0,10.74,15.2,79.6
2022-03-24 02:00:56,29.54,12.83,7.05,0.0,8.71,12.89,82.64
2022-03-24 03:00:56,27.2,7.82,7.29,0.0,8.2,12.51,81.86
2022-03-24 04:00:56,26.53,8.04,6.88,0.0,8.45,12.61,82.31
2022-03-24 05:00:56,19.68,8.67,5.98,0.0,10.14,14.6,75.7
2022-03-24 06:00:56,22.7,7.8,7.14,0.0,11.5,16.01,72.65
2022-03-24 07:00:56,22.46,12.71,7.3,0.0,14.78,19.31,69.73
2022-03-24 08:00:56,23.15,11.72,7.55,0.0,32.57,42.65,49.51
2022-03-24 09:00:56,33.25,11.67,7.77,0.0,52.12,92.36,30.25
2022-03-24 10:00:56,58.79,13.03,7.94,0.0,32.64,51.64,55.09
2022-03-24 11:00:56,44.97,13.99,7.83,0.0,13.99,22.37,79.72
2022-03-24 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
