Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-03-29 00:00:56,0.0,0.0,2.07,0.0,5.39,17.73,77.4
2018-03-29 01:00:56,0.0,0.0,1.69,0.0,3.93,15.3,78.13
2018-03-29 02:00:56,0.0,0.0,2.03,0.0,1.45,11.97,83.46
2018-03-29 03:00:56,0.0,0.0,2.63,0.0,0.3,10.4,83.89
2018-03-29 04:00:56,0.0,0.0,2.54,0.0,0.0,10.32,83.5
2018-03-29 05:00:56,0.0,0.0,2.52,0.0,3.5,14.29,80.65
2018-03-29 06:00:56,0.0,0.0,2.77,0.0,1.33,11.89,87.94
2018-03-29 07:00:56,0.0,0.0,2.74,0.0,8.01,19.33,81.21
2018-03-29 08:00:56,0.0,0.0,2.67,0.0,11.33,23.63,76.16
2018-03-29 09:00:56,0.0,0.0,2.7,0.0,11.96,24.4,80.48
2018-03-29 10:00:56,0.0,0.0,2.65,0.0,11.92,25.33,77.03
2018-03-29 11:00:56,0.0,0.0,2.61,0.0,18.94,34.13,67.33
2018-03-29 12:00:56,0.0,0.0,2.59,0.0,14.03,28.86,70.23
2018-03-29 13:00:56,0.0,0.0,2.17,0.0,12.91,26.32,68.96
2018-03-29 14:00:56,0.0,0.0,2.39,0.0,9.93,23.95,64.15
2018-03-29 15:00:56,0.0,0.0,2.26,0.0,8.73,22.65,66.06
2018-03-29 16:00:56,0.0,0.0,2.69,0.0,8.44,22.35,70.43
2018-03-29 17:00:56,0.0,0.0,2.25,0.0,8.63,21.71,73.06
2018-03-29 18:00:56,0.0,0.0,2.17,0.0,10.76,27.64,71.96
2018-03-29 19:00:56,0.0,0.0,1.85,0.0,17.07,32.66,65.5
2018-03-29 20:00:56,0.0,0.0,1.86,0.0,10.1,24.79,76.06
2018-03-29 21:00:56,0.0,0.0,1.77,0.0,15.66,29.38,66.52
2018-03-29 22:00:56,0.0,0.0,1.42,0.0,21.98,36.71,59.52
2018-03-29 23:00:56,0.0,0.0,1.71,0.0,27.65,44.49,50.57
2018-03-30 00:00:56,0.0,0.0,1.16,0.0,36.91,56.16,42.67
2018-03-30 01:00:56,0.0,0.0,1.51,0.0,59.14,135.38,16.81
2018-03-30 02:00:56,0.0,0.0,2.49,0.0,59.62,112.08,6.52
2018-03-30 03:00:56,0.0,0.0,2.55,0.0,53.54,202.33,3.89
2018-03-30 04:00:56,0.0,0.0,2.6,0.0,50.26,196.51,0.75
2018-03-30 05:00:56,0.0,0.0,1.88,0.0,45.34,159.46,0.82
2018-03-30 06:00:56,0.0,0.0,1.74,0.0,48.42,115.12,2.65
2018-03-30 07:00:56,0.0,0.0,1.64,0.0,44.94,113.28,3.02
2018-03-30 08:00:56,0.0,0.0,0.95,0.0,51.29,141.22,1.45
2018-03-30 09:00:56,0.0,0.0,1.54,0.0,58.59,181.39,3.33
2018-03-30 10:00:56,0.0,0.0,2.1,0.0,51.7,137.28,12.67
2018-03-30 11:00:56,0.0,0.0,2.66,0.0,43.66,103.09,25.28
2018-03-30 12:00:56,0.0,0.0,3.7,0.0,29.95,66.22,45.31
2018-03-30 13:00:56,0.0,0.0,3.92,0.0,20.8,44.82,63.43
2018-03-30 14:00:56,0.0,0.0,2.13,0.0,13.38,31.4,83.51
2018-03-30 15:00:56,0.0,0.0,8.29,0.0,11.78,28.26,92.23
2018-03-30 16:00:56,0.0,0.0,14.15,0.0,13.87,30.06,91.85
2018-03-30 17:00:56,0.0,0.0,8.12,0.0,10.54,25.57,98.63
2018-03-30 18:00:56,0.0,0.0,4.21,0.0,10.82,25.35,99.39
2018-03-30 19:00:56,0.0,0.0,4.22,0.0,16.9,34.3,93.31
2018-03-30 20:00:56,0.0,0.0,3.46,0.0,29.05,47.08,78.3
2018-03-30 21:00:56,0.0,0.0,3.31,0.0,66.52,103.59,34.34
2018-03-30 22:00:56,0.0,0.0,8.67,0.0,89.35,274.83,10.01
2018-03-30 23:00:56,0.0,0.0,5.16,0.0,80.38,212.08,3.85
2018-03-31 00:00:56,0.0,0.0,5.04,0.0,74.25,315.57,7.74
2018-03-31 01:00:56,0.0,0.0,4.28,0.0,66.0,398.46,6.99
2018-03-31 02:00:56,0.0,0.0,3.85,0.0,62.72,413.75,5.42
2018-03-31 03:00:56,0.0,0.0,3.83,0.0,59.67,349.38,1.68
2018-03-31 04:00:56,0.0,0.0,3.47,0.0,59.24,359.46,1.26
2018-03-31 05:00:56,0.0,0.0,2.56,0.0,59.52,0.0,0.0
2018-03-31 06:00:56,0.0,0.0,3.14,0.0,55.99,336.24,0.0
2018-03-31 07:00:56,0.0,0.0,2.36,0.0,55.73,329.07,1.87
2018-03-31 08:00:56,0.0,0.0,3.18,0.0,49.44,370.98,0.82
2018-03-31 09:00:56,0.0,0.0,3.77,0.0,55.48,417.01,1.57
2018-03-31 10:00:56,0.0,0.0,5.9,0.0,68.23,407.39,2.16
2018-03-31 11:00:56,0.0,0.0,8.96,0.0,66.4,212.5,13.2
2018-03-31 12:00:56,0.0,0.0,13.68,0.0,47.79,93.93,42.19
2018-03-31 13:00:56,0.0,0.0,9.92,0.0,35.39,66.25,68.15
2018-03-31 14:00:56,0.0,0.0,4.97,0.0,19.98,39.84,84.15
2018-03-31 15:00:56,0.0,0.0,3.77,0.0,12.65,29.53,90.07
2018-03-31 16:00:56,0.0,0.0,4.36,0.0,13.86,29.34,87.94
2018-03-31 17:00:56,0.0,0.0,8.4,0.0,15.11,31.47,86.3
2018-03-31 18:00:56,0.0,0.0,6.05,0.0,18.26,35.62,83.18
2018-03-31 19:00:56,0.0,0.0,9.01,0.0,25.92,44.22,71.18
2018-03-31 20:00:56,0.0,0.0,8.42,0.0,56.11,84.95,39.03
2018-03-31 21:00:56,0.0,0.0,6.41,0.0,54.78,80.52,39.32
2018-03-31 22:00:56,0.0,0.0,6.38,0.0,25.97,41.98,72.54
2018-03-31 23:00:56,0.0,0.0,8.57,0.0,56.96,91.34,25.88
2018-04-01 00:00:56,0.0,0.0,9.29,0.0,77.73,137.16,3.65
2018-04-01 01:00:56,0.0,0.0,9.59,0.0,79.84,155.67,2.81
2018-04-01 02:00:56,0.0,0.0,9.03,0.0,66.03,98.56,12.59
2018-04-01 03:00:56,0.0,0.0,8.75,0.0,44.72,65.43,28.72
2018-04-01 04:00:56,0.0,0.0,7.15,0.0,49.75,74.22,19.25
2018-04-01 05:00:56,0.0,0.0,6.86,0.0,39.32,58.39,27.79
2018-04-01 06:00:56,0.0,0.0,8.78,0.0,24.58,41.38,44.61
2018-04-01 07:00:56,0.0,0.0,9.05,0.0,18.41,32.91,47.84
2018-04-01 08:00:56,0.0,0.0,9.94,0.0,26.23,42.42,39.51
2018-04-01 09:00:56,0.0,0.0,9.76,0.0,22.78,39.18,39.97
2018-04-01 10:00:56,0.0,0.0,10.0,0.0,32.95,59.32,26.14
2018-04-01 11:00:56,0.0,0.0,12.64,0.0,23.97,47.99,49.21
2018-04-01 12:00:56,0.0,0.0,13.58,0.0,26.49,52.95,52.02
2018-04-01 13:00:56,0.0,0.0,12.1,0.0,18.06,40.41,67.65
2018-04-01 14:00:56,0.0,0.0,9.47,0.0,10.15,26.37,81.25
2018-04-01 15:00:56,0.0,0.0,8.87,0.0,12.49,29.74,80.66
2018-04-01 16:00:56,0.0,0.0,6.75,0.0,12.31,29.94,77.0
2018-04-01 17:00:56,0.0,0.0,6.32,0.0,10.77,26.2,77.17
2018-04-01 18:00:56,0.0,0.0,6.8,0.0,13.29,29.06,77.22
2018-04-01 19:00:56,0.0,0.0,7.64,0.0,17.32,33.59,78.45
2018-04-01 20:00:56,0.0,0.0,8.11,0.0,26.08,42.65,65.48
2018-04-01 21:00:56,0.0,0.0,7.23,0.0,28.4,45.48,58.6
2018-04-01 22:00:56,0.0,0.0,7.53,0.0,31.89,48.54,52.44
2018-04-01 23:00:56,0.0,0.0,6.46,0.0,25.03,40.7,56.66
2018-04-02 00:00:56,0.0,0.0,4.85,0.0,14.38,27.64,78.03
2018-04-02 01:00:56,0.0,0.0,3.66,0.0,7.76,19.83,101.52
2018-04-02 02:00:56,0.0,0.0,2.79,0.0,11.4,24.51,88.96
2018-04-02 03:00:56,0.0,0.0,2.25,0.0,6.17,18.11,85.87
2018-04-02 04:00:56,0.0,0.0,1.67,0.0,6.05,18.06,86.2
2018-04-02 05:00:56,0.0,0.0,2.01,0.0,2.43,13.83,95.59
2018-04-02 06:00:56,0.0,0.0,2.31,0.0,3.45,14.36,92.86
2018-04-02 07:00:56,0.0,0.0,1.91,0.0,8.83,20.99,78.81
2018-04-02 08:00:56,0.0,0.0,1.82,0.0,11.33,24.16,81.5
2018-04-02 09:00:56,0.0,0.0,1.54,0.0,57.97,103.97,30.93
2018-04-02 10:00:56,0.0,0.0,1.39,0.0,71.15,165.5,18.91
2018-04-02 11:00:56,0.0,0.0,1.94,0.0,27.13,53.78,61.46
2018-04-02 12:00:56,0.0,0.0,1.98,0.0,20.79,44.53,63.25
2018-04-02 13:00:56,0.0,0.0,3.17,0.0,18.0,41.32,62.57
2018-04-02 14:00:56,0.0,0.0,4.47,0.0,13.63,34.84,63.63
2018-04-02 15:00:56,0.0,0.0,3.99,0.0,13.44,33.75,70.57
