Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-03-29 00:00:56,0.0,0.0,2.75,0.0,19.56,35.35,73.72
2018-03-29 01:00:56,0.0,0.0,2.35,0.0,16.53,25.32,73.77
2018-03-29 02:00:56,0.0,0.0,2.24,0.0,17.21,27.4,75.18
2018-03-29 03:00:56,0.0,0.0,2.31,0.0,10.4,14.58,80.78
2018-03-29 04:00:56,0.0,0.0,2.45,0.0,6.63,8.05,84.78
2018-03-29 05:00:56,0.0,0.0,2.18,0.0,7.2,8.8,86.91
2018-03-29 06:00:56,0.0,0.0,2.02,0.0,6.1,8.67,84.29
2018-03-29 07:00:56,0.0,0.0,1.78,0.0,8.31,13.28,82.59
2018-03-29 08:00:56,0.0,0.0,1.59,0.0,16.47,25.73,78.35
2018-03-29 09:00:56,0.0,0.0,1.75,0.0,32.92,61.81,60.46
2018-03-29 10:00:56,0.0,0.0,1.39,0.0,39.48,71.99,53.56
2018-03-29 11:00:56,0.0,0.0,1.66,0.0,36.19,63.83,58.41
2018-03-29 12:00:56,0.0,0.0,1.7,0.0,38.31,72.07,42.63
2018-03-29 13:00:56,0.0,0.0,1.73,0.0,37.6,80.05,34.16
2018-03-29 14:00:56,0.0,0.0,1.61,0.0,37.29,75.81,40.35
2018-03-29 15:00:56,0.0,0.0,1.67,0.0,32.81,66.75,47.92
2018-03-29 16:00:56,0.0,0.0,1.61,0.0,40.35,80.83,46.78
2018-03-29 17:00:56,0.0,0.0,1.78,0.0,38.53,78.23,49.58
2018-03-29 18:00:56,0.0,0.0,2.03,0.0,34.29,71.68,53.0
2018-03-29 19:00:56,0.0,0.0,2.63,0.0,35.9,69.37,51.78
2018-03-29 20:00:56,0.0,0.0,2.52,0.0,40.68,70.38,49.13
2018-03-29 21:00:56,0.0,0.0,2.62,0.0,60.83,120.61,33.22
2018-03-29 22:00:56,0.0,0.0,2.31,0.0,52.31,92.86,32.46
2018-03-29 23:00:56,0.0,0.0,1.7,0.0,46.1,70.83,38.29
2018-03-30 00:00:56,0.0,0.0,2.06,0.0,41.13,62.01,42.24
2018-03-30 01:00:56,0.0,0.0,2.13,0.0,41.26,54.63,33.71
2018-03-30 02:00:56,0.0,0.0,1.46,0.0,56.42,77.28,12.3
2018-03-30 03:00:56,0.0,0.0,1.45,0.0,62.59,94.5,5.01
2018-03-30 04:00:56,0.0,0.0,1.22,0.0,70.48,143.92,1.69
2018-03-30 05:00:56,0.0,0.0,1.47,0.0,71.71,144.93,1.16
2018-03-30 06:00:56,0.0,0.0,1.09,0.0,69.8,136.28,1.26
2018-03-30 07:00:56,0.0,0.0,3.13,0.0,66.18,138.03,1.15
2018-03-30 08:00:56,0.0,0.0,4.94,0.0,61.28,138.62,1.38
2018-03-30 09:00:56,0.0,0.0,5.09,0.0,74.84,317.02,1.91
2018-03-30 10:00:56,0.0,0.0,4.85,0.0,81.25,310.62,5.03
2018-03-30 11:00:56,0.0,0.0,3.89,0.0,58.39,132.17,23.11
2018-03-30 12:00:56,0.0,0.0,4.71,0.0,43.03,89.88,37.56
2018-03-30 13:00:56,0.0,0.0,5.35,0.0,37.72,71.02,50.4
2018-03-30 14:00:56,0.0,0.0,1.89,0.0,35.96,61.36,61.5
2018-03-30 15:00:56,0.0,0.0,3.04,0.0,35.79,62.37,67.68
2018-03-30 16:00:56,0.0,0.0,2.99,0.0,32.47,56.7,76.02
2018-03-30 17:00:56,0.0,0.0,3.63,0.0,34.05,56.9,72.79
2018-03-30 18:00:56,0.0,0.0,3.88,0.0,37.4,59.16,69.57
2018-03-30 19:00:56,0.0,0.0,3.89,0.0,36.69,52.46,70.23
2018-03-30 20:00:56,0.0,0.0,3.07,0.0,45.34,59.93,61.42
2018-03-30 21:00:56,0.0,0.0,2.86,0.0,79.97,111.76,19.61
2018-03-30 22:00:56,0.0,0.0,3.45,0.0,103.09,183.49,4.72
2018-03-30 23:00:56,0.0,0.0,4.32,0.0,112.98,318.49,2.84
2018-03-31 00:00:56,0.0,0.0,4.91,0.0,118.12,376.92,2.43
2018-03-31 01:00:56,0.0,0.0,4.53,0.0,114.66,379.29,1.97
2018-03-31 02:00:56,0.0,0.0,4.22,0.0,110.74,328.35,1.94
2018-03-31 03:00:56,0.0,0.0,4.09,0.0,106.85,306.21,1.74
2018-03-31 04:00:56,0.0,0.0,3.92,0.0,104.65,286.2,1.73
2018-03-31 05:00:56,0.0,0.0,3.84,0.0,98.77,275.29,1.85
2018-03-31 06:00:56,0.0,0.0,4.03,0.0,96.63,287.98,1.81
2018-03-31 07:00:56,0.0,0.0,4.75,0.0,89.52,246.89,1.29
2018-03-31 08:00:56,0.0,0.0,5.39,0.0,88.22,208.73,1.06
2018-03-31 09:00:56,0.0,0.0,5.57,0.0,86.7,246.69,1.79
2018-03-31 10:00:56,0.0,0.0,8.9,0.0,82.52,229.17,6.14
2018-03-31 11:00:56,0.0,0.0,12.31,0.0,75.94,184.58,13.71
2018-03-31 12:00:56,0.0,0.0,13.63,0.0,66.15,138.53,27.44
2018-03-31 13:00:56,0.0,0.0,12.25,0.0,55.16,94.69,42.18
2018-03-31 14:00:56,0.0,0.0,11.81,0.0,44.47,70.75,55.98
2018-03-31 15:00:56,0.0,0.0,14.84,0.0,38.88,60.74,60.98
2018-03-31 16:00:56,0.0,0.0,13.69,0.0,38.25,59.67,61.37
2018-03-31 17:00:56,0.0,0.0,13.11,0.0,38.09,61.47,67.5
2018-03-31 18:00:56,0.0,0.0,10.28,0.0,36.96,55.11,64.86
2018-03-31 19:00:56,0.0,0.0,9.57,0.0,47.2,67.25,46.96
2018-03-31 20:00:56,0.0,0.0,10.06,0.0,82.37,133.33,21.49
2018-03-31 21:00:56,0.0,0.0,12.11,0.0,101.45,196.89,2.8
2018-03-31 22:00:56,0.0,0.0,12.74,0.0,102.71,187.8,2.88
2018-03-31 23:00:56,0.0,0.0,13.26,0.0,101.09,200.82,2.55
2018-04-01 00:00:56,0.0,0.0,11.64,0.0,84.15,131.86,3.65
2018-04-01 01:00:56,0.0,0.0,12.44,0.0,81.26,108.01,12.1
2018-04-01 02:00:56,0.0,0.0,13.85,0.0,69.64,91.56,16.62
2018-04-01 03:00:56,0.0,0.0,11.99,0.0,82.22,127.91,5.13
2018-04-01 04:00:56,0.0,0.0,10.96,0.0,63.86,86.51,14.98
2018-04-01 05:00:56,0.0,0.0,12.99,0.0,64.47,87.0,14.39
2018-04-01 06:00:56,0.0,0.0,11.47,0.0,59.64,79.88,15.27
2018-04-01 07:00:56,0.0,0.0,9.63,0.0,25.82,33.03,47.07
2018-04-01 08:00:56,0.0,0.0,10.68,0.0,19.93,24.97,56.49
2018-04-01 09:00:56,0.0,0.0,11.7,0.0,24.1,29.63,53.52
2018-04-01 10:00:56,0.0,0.0,16.39,0.0,28.74,40.13,42.17
2018-04-01 11:00:56,0.0,0.0,18.39,0.0,31.92,51.6,37.75
2018-04-01 12:00:56,0.0,0.0,17.12,0.0,33.39,60.43,42.93
2018-04-01 13:00:56,0.0,0.0,15.03,0.0,21.24,34.63,63.88
2018-04-01 14:00:56,0.0,0.0,14.97,0.0,18.08,29.84,71.82
2018-04-01 15:00:56,0.0,0.0,11.16,0.0,17.94,29.07,75.02
2018-04-01 16:00:56,0.0,0.0,9.52,0.0,14.96,22.74,78.36
2018-04-01 17:00:56,0.0,0.0,9.48,0.0,25.12,37.91,69.86
2018-04-01 18:00:56,0.0,0.0,9.75,0.0,29.39,45.26,70.41
2018-04-01 19:00:56,0.0,0.0,9.44,0.0,50.75,82.27,48.16
2018-04-01 20:00:56,0.0,0.0,8.92,0.0,44.37,71.32,40.45
2018-04-01 21:00:56,0.0,0.0,8.27,0.0,57.06,93.18,36.38
2018-04-01 22:00:56,0.0,0.0,7.52,0.0,51.88,96.9,34.25
2018-04-01 23:00:56,0.0,0.0,6.27,0.0,25.69,46.17,67.18
2018-04-02 00:00:56,0.0,0.0,5.7,0.0,24.94,37.66,87.45
2018-04-02 01:00:56,0.0,0.0,4.61,0.0,23.71,36.12,76.26
2018-04-02 02:00:56,0.0,0.0,4.64,0.0,24.78,31.23,59.88
2018-04-02 03:00:56,0.0,0.0,4.19,0.0,31.2,38.06,55.05
2018-04-02 04:00:56,0.0,0.0,3.86,0.0,16.57,20.53,76.7
2018-04-02 05:00:56,0.0,0.0,3.76,0.0,12.98,14.75,79.96
2018-04-02 06:00:56,0.0,0.0,3.63,0.0,9.02,11.67,81.11
2018-04-02 07:00:56,0.0,0.0,3.35,0.0,13.77,19.93,78.29
2018-04-02 08:00:56,0.0,0.0,3.25,0.0,32.08,38.71,50.61
2018-04-02 09:00:56,0.0,0.0,3.73,0.0,74.66,125.94,9.77
2018-04-02 10:00:56,0.0,0.0,4.09,0.0,84.42,214.59,9.86
