Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-03-29 00:00:56,9.99,13.02,4.55,1251.05,71.32,221.31,0.0
2018-03-29 01:00:56,12.95,14.9,3.98,1074.2,62.6,178.62,0.0
2018-03-29 02:00:56,11.05,14.28,3.87,859.91,50.81,121.94,0.0
2018-03-29 03:00:56,12.28,16.85,4.55,763.42,30.01,62.57,0.0
2018-03-29 04:00:56,14.07,17.23,4.41,468.77,16.66,31.37,0.0
2018-03-29 05:00:56,8.81,14.45,4.5,411.91,8.54,17.43,0.0
2018-03-29 06:00:56,7.88,16.49,4.12,414.37,6.87,14.83,0.0
2018-03-29 07:00:56,9.33,20.04,4.88,413.83,20.54,40.64,0.0
2018-03-29 08:00:56,16.63,23.65,4.85,503.75,60.08,163.27,0.0
2018-03-29 09:00:56,18.83,25.17,5.78,853.89,105.22,392.38,0.0
2018-03-29 10:00:56,22.98,27.32,4.89,982.91,97.01,301.27,0.0
2018-03-29 11:00:56,25.23,30.65,5.16,1054.52,104.56,364.9,0.0
2018-03-29 12:00:56,30.95,39.0,4.84,1380.06,106.82,401.51,0.0
2018-03-29 13:00:56,34.89,36.63,4.93,1268.27,94.46,382.0,0.0
2018-03-29 14:00:56,33.26,36.41,4.32,1427.16,82.86,328.7,0.0
2018-03-29 15:00:56,26.0,32.23,4.0,1190.64,82.32,298.86,0.0
2018-03-29 16:00:56,36.58,48.3,4.57,1383.61,95.93,332.4,0.0
2018-03-29 17:00:56,42.77,51.21,4.09,1328.13,86.56,354.49,0.0
2018-03-29 18:00:56,44.42,46.79,4.29,1308.45,92.33,386.93,0.0
2018-03-29 19:00:56,48.16,43.74,4.19,1273.46,94.25,361.81,0.0
2018-03-29 20:00:56,113.62,50.65,3.41,1389.35,104.57,382.14,0.0
2018-03-29 21:00:56,122.13,53.23,3.9,1562.37,93.69,333.98,0.0
2018-03-29 22:00:56,92.45,57.32,2.7,1629.61,87.9,298.67,0.0
2018-03-29 23:00:56,85.73,61.15,3.04,1681.82,86.4,273.86,0.0
2018-03-30 00:00:56,85.63,69.62,3.59,2454.81,97.29,351.97,0.0
2018-03-30 01:00:56,84.62,68.48,3.86,2139.65,90.81,294.68,0.0
2018-03-30 02:00:56,94.1,84.74,2.4,1117.66,74.1,198.2,0.0
2018-03-30 03:00:56,50.88,40.1,3.24,1710.52,83.38,267.6,0.0
2018-03-30 04:00:56,64.43,53.96,1.6,1036.75,73.12,129.71,0.0
2018-03-30 05:00:56,43.29,43.64,1.48,1418.33,81.96,169.29,0.0
2018-03-30 06:00:56,47.41,49.14,1.16,1487.21,81.88,170.45,0.0
2018-03-30 07:00:56,48.41,50.69,1.8,1751.79,83.48,226.73,0.0
2018-03-30 08:00:56,57.66,56.14,2.6,1620.59,93.74,352.4,0.0
2018-03-30 09:00:56,70.98,57.22,2.78,1660.5,85.54,327.48,0.0
2018-03-30 10:00:56,67.19,60.85,1.86,1072.56,60.81,181.04,0.0
2018-03-30 11:00:56,63.02,56.44,2.73,640.69,35.08,76.92,0.0
2018-03-30 12:00:56,47.09,45.5,4.06,724.33,37.64,94.82,0.0
2018-03-30 13:00:56,47.44,44.34,5.14,658.73,43.53,100.7,0.0
2018-03-30 14:00:56,41.35,33.09,5.51,572.36,41.6,93.3,0.0
2018-03-30 15:00:56,28.05,23.03,12.49,523.73,39.23,83.29,0.0
2018-03-30 16:00:56,33.67,20.38,16.28,599.88,45.57,98.02,0.0
2018-03-30 17:00:56,35.0,20.7,16.43,581.11,51.46,107.29,0.0
2018-03-30 18:00:56,28.49,19.91,9.29,584.39,51.91,112.92,0.0
2018-03-30 19:00:56,33.98,21.83,3.94,675.13,53.0,111.18,0.0
2018-03-30 20:00:56,45.21,27.68,5.37,848.43,63.48,118.95,0.0
2018-03-30 21:00:56,45.14,31.41,3.98,878.77,79.87,147.68,0.0
2018-03-30 22:00:56,49.88,39.03,5.12,1760.81,105.45,278.67,0.0
2018-03-30 23:00:56,78.3,64.04,7.18,1828.33,113.68,314.34,0.0
2018-03-31 00:00:56,86.55,66.5,6.79,2323.61,125.39,418.89,0.0
2018-03-31 01:00:56,89.13,54.0,7.79,3157.27,137.9,548.3,0.0
2018-03-31 02:00:56,142.31,83.83,8.29,3933.27,154.58,852.64,0.0
2018-03-31 03:00:56,254.33,103.27,7.52,3936.0,151.2,732.82,0.0
2018-03-31 04:00:56,270.81,102.76,5.05,1875.07,104.08,250.07,0.0
2018-03-31 05:00:56,93.74,60.78,6.14,2556.76,106.72,433.0,0.0
2018-03-31 06:00:56,160.14,63.42,4.62,1633.44,95.43,275.6,0.0
2018-03-31 07:00:56,236.57,65.49,6.02,1133.24,83.86,132.89,0.0
2018-03-31 08:00:56,51.06,34.16,6.86,990.56,84.51,150.51,0.0
2018-03-31 09:00:56,46.48,32.15,8.12,777.09,74.57,153.19,0.0
2018-03-31 10:00:56,49.62,41.07,12.29,1023.63,82.49,222.1,0.0
2018-03-31 11:00:56,53.39,35.63,10.97,800.32,67.28,150.01,0.0
2018-03-31 12:00:56,50.99,28.91,10.13,562.25,55.19,104.43,0.0
2018-03-31 13:00:56,44.11,23.54,8.59,554.59,51.97,105.41,0.0
2018-03-31 14:00:56,32.79,21.08,7.19,467.95,36.73,76.31,0.0
2018-03-31 15:00:56,24.19,11.91,9.99,384.85,28.17,56.78,0.0
2018-03-31 16:00:56,24.49,13.1,13.01,487.01,44.57,91.62,0.0
2018-03-31 17:00:56,28.16,17.33,12.72,468.68,42.43,86.61,0.0
2018-03-31 18:00:56,26.36,19.99,12.5,484.89,47.16,99.12,0.0
