Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2019-01-01 01:00:56,15.2,8.8,0.0,0.0,41.2,47.5,0.0
2019-01-01 02:00:56,12.8,9.6,0.0,0.0,54.2,70.3,0.0
2019-01-01 03:00:56,12.7,9.4,0.0,0.0,58.6,78.0,0.0
2019-01-01 04:00:56,14.2,8.1,0.0,0.0,66.1,102.0,0.0
2019-01-01 05:00:56,16.9,14.4,0.0,0.0,54.2,67.3,0.0
2019-01-01 06:00:56,19.1,16.0,0.0,0.0,22.0,24.6,0.0
2019-01-01 07:00:56,19.7,12.4,0.0,0.0,33.0,41.9,0.0
2019-01-01 08:00:56,22.4,9.5,0.0,0.0,39.5,51.8,0.0
2019-01-01 09:00:56,19.4,9.3,0.0,0.0,39.1,51.1,0.0
2019-01-01 10:00:56,15.6,8.9,0.0,0.0,39.2,51.8,0.0
2019-01-01 11:00:56,18.4,8.7,0.0,0.0,40.2,56.3,0.0
2019-01-01 12:00:56,26.6,9.1,0.0,0.0,32.7,48.2,0.0
2019-01-01 13:00:56,28.2,10.1,0.0,0.0,28.4,43.4,0.0
2019-01-01 14:00:56,25.3,12.3,0.0,0.0,27.0,39.2,0.0
2019-01-01 15:00:56,23.1,12.4,0.0,0.0,26.2,35.8,0.0
2019-01-01 16:00:56,28.2,12.1,0.0,0.0,32.7,43.2,0.0
2019-01-01 17:00:56,24.4,11.3,0.0,0.0,35.1,44.2,0.0
2019-01-01 18:00:56,19.2,8.7,0.0,0.0,36.0,44.1,0.0
2019-01-01 19:00:56,18.2,11.1,0.0,0.0,36.0,43.0,0.0
2019-01-01 20:00:56,19.4,12.2,0.0,0.0,36.5,43.4,0.0
2019-01-01 21:00:56,18.5,11.3,0.0,0.0,41.8,50.0,0.0
2019-01-01 22:00:56,19.2,9.4,0.0,0.0,41.1,47.2,0.0
2019-01-01 23:00:56,23.2,8.2,0.0,0.0,42.7,50.9,0.0
2019-01-02 00:00:56,18.3,7.4,0.0,0.0,40.8,45.9,0.0
2019-01-02 01:00:56,15.8,6.1,0.0,0.0,46.2,53.4,0.0
2019-01-02 02:00:56,11.3,5.2,0.0,0.0,29.6,32.6,0.0
2019-01-02 03:00:56,13.3,6.1,0.0,0.0,22.4,24.5,0.0
2019-01-02 04:00:56,21.6,7.1,0.0,0.0,23.1,25.2,0.0
2019-01-02 05:00:56,17.0,7.3,0.0,0.0,25.6,28.1,0.0
2019-01-02 06:00:56,17.0,7.9,0.0,0.0,32.4,36.2,0.0
2019-01-02 07:00:56,14.0,6.9,0.0,0.0,43.3,55.5,0.0
2019-01-02 08:00:56,15.4,6.2,0.0,0.0,67.0,99.4,0.0
2019-01-02 09:00:56,20.6,9.3,0.0,0.0,78.2,154.1,0.0
2019-01-02 10:00:56,22.0,11.6,0.0,0.0,76.3,156.6,0.0
2019-01-02 11:00:56,19.6,9.6,0.0,0.0,61.4,105.2,0.0
2019-01-02 12:00:56,18.6,13.4,0.0,0.0,49.2,68.0,0.0
2019-01-02 13:00:56,18.2,15.0,0.0,0.0,52.2,75.3,0.0
2019-01-02 14:00:56,24.0,13.5,0.0,0.0,58.2,87.8,0.0
2019-01-02 15:00:56,17.3,13.5,0.0,0.0,56.4,80.5,0.0
2019-01-02 16:00:56,15.3,16.4,0.0,0.0,49.0,67.1,0.0
2019-01-02 17:00:56,16.0,18.1,0.0,0.0,59.6,81.2,0.0
2019-01-02 18:00:56,12.5,15.6,0.0,0.0,66.7,92.6,0.0
2019-01-02 19:00:56,14.0,19.8,0.0,0.0,76.3,110.1,0.0
2019-01-02 20:00:56,18.4,30.2,0.0,0.0,76.6,106.4,0.0
2019-01-02 21:00:56,20.2,22.8,0.0,0.0,82.3,117.0,0.0
2019-01-02 22:00:56,34.4,18.1,0.0,0.0,73.1,95.6,0.0
2019-01-02 23:00:56,32.6,15.2,0.0,0.0,65.1,80.3,0.0
2019-01-03 00:00:56,29.5,15.1,0.0,0.0,57.5,70.6,0.0
2019-01-03 01:00:56,27.0,14.7,0.0,0.0,42.5,47.3,0.0
2019-01-03 02:00:56,22.9,12.0,0.0,0.0,38.4,41.5,0.0
2019-01-03 03:00:56,16.8,12.5,0.0,0.0,55.5,60.3,0.0
2019-01-03 04:00:56,15.9,13.3,0.0,0.0,45.5,48.7,0.0
2019-01-03 05:00:56,19.8,13.7,0.0,0.0,22.7,24.0,0.0
2019-01-03 06:00:56,17.4,12.0,0.0,0.0,25.6,28.8,0.0
2019-01-03 07:00:56,16.2,11.5,0.0,0.0,29.8,38.5,0.0
2019-01-03 08:00:56,12.9,11.1,0.0,0.0,40.5,53.8,0.0
2019-01-03 09:00:56,11.0,10.2,0.0,0.0,52.4,84.4,0.0
2019-01-03 10:00:56,13.1,8.3,0.0,0.0,54.3,83.4,0.0
2019-01-03 11:00:56,16.9,7.3,0.0,0.0,55.8,87.3,0.0
2019-01-03 12:00:56,14.9,7.8,0.0,0.0,42.5,66.1,0.0
