Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,45.5,0.0,13.66,1576.67,45.99,77.96,0.0
2022-03-23 17:00:56,41.67,0.0,13.25,1599.14,47.67,71.01,0.0
2022-03-23 18:00:56,52.48,0.0,13.35,1574.57,47.25,67.24,0.0
2022-03-23 19:00:56,42.76,0.0,13.66,1672.97,65.2,100.41,0.0
2022-03-23 20:00:56,45.71,0.0,13.77,1722.12,62.55,87.28,0.0
2022-03-23 21:00:56,50.99,0.0,13.57,1674.83,60.17,83.55,0.0
2022-03-23 22:00:56,32.6,0.0,13.92,1780.94,72.66,113.05,0.0
2022-03-23 23:00:56,47.67,0.0,13.41,1814.02,79.24,116.53,0.0
2022-03-24 00:00:56,54.21,0.0,13.67,1738.93,72.85,99.07,0.0
2022-03-24 01:00:56,43.77,0.0,13.96,1620.91,62.87,83.76,0.0
2022-03-24 02:00:56,36.86,0.0,13.02,1561.26,49.6,62.1,0.0
2022-03-24 03:00:56,35.47,0.0,12.57,1530.93,50.05,63.06,0.0
2022-03-24 04:00:56,31.25,0.0,12.92,1518.36,39.23,51.83,0.0
2022-03-24 05:00:56,30.39,0.0,14.87,1560.43,44.16,60.28,0.0
2022-03-24 06:00:56,25.37,0.0,13.49,1595.95,55.52,81.46,0.0
2022-03-24 07:00:56,32.43,0.0,13.57,1618.61,75.74,122.8,0.0
2022-03-24 08:00:56,35.48,0.0,13.82,1745.82,98.25,190.29,0.0
2022-03-24 09:00:56,40.58,0.0,14.1,1835.63,95.2,192.76,0.0
2022-03-24 10:00:56,59.42,0.0,15.03,1826.43,81.74,160.18,0.0
2022-03-24 11:00:56,77.02,0.0,14.02,1644.3,48.22,87.1,0.0
2022-03-24 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
