Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-03-30 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30 19:00:56,0.0,0.0,0.0,0.0,0.0,0.0,123.25
2018-03-30 20:00:56,0.0,0.0,0.0,0.0,0.0,0.0,118.07
2018-03-30 21:00:56,0.0,0.0,0.0,0.0,0.0,0.0,72.01
2018-03-30 22:00:56,0.0,0.0,0.0,0.0,0.0,0.0,37.32
2018-03-30 23:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31 01:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0,20.66
2018-03-31 03:00:56,0.0,0.0,0.0,0.0,27.77,29.18,41.85
2018-03-31 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0,24.15
2018-03-31 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0,12.28
2018-03-31 06:00:56,0.0,0.0,0.0,0.0,35.44,37.25,12.77
2018-03-31 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0,15.86
2018-03-31 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0,13.55
2018-03-31 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0,44.75
2018-03-31 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0,51.28
2018-03-31 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0,56.63
2018-03-31 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0,62.06
2018-03-31 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0,62.75
2018-03-31 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0,55.44
2018-03-31 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0,44.14
2018-03-31 19:00:56,0.0,0.0,0.0,0.0,0.0,0.0,51.94
2018-03-31 20:00:56,0.0,0.0,0.0,0.0,0.0,0.0,51.11
2018-03-31 21:00:56,0.0,0.0,0.0,0.0,0.0,0.0,46.51
2018-03-31 22:00:56,0.0,0.0,0.0,0.0,0.0,0.0,59.48
2018-03-31 23:00:56,0.0,0.0,0.0,0.0,18.71,19.96,63.73
2018-04-01 00:00:56,0.0,0.0,0.0,0.0,13.47,14.5,71.82
2018-04-01 01:00:56,0.0,0.0,0.0,0.0,0.0,0.0,50.5
2018-04-01 02:00:56,0.0,0.0,0.0,0.0,26.08,27.47,56.29
2018-04-01 03:00:56,0.0,0.0,0.0,0.0,22.3,23.43,54.15
2018-04-01 04:00:56,0.0,0.0,0.0,0.0,14.6,15.21,56.86
2018-04-01 05:00:56,0.0,0.0,0.0,0.0,11.14,11.75,61.54
2018-04-01 06:00:56,0.0,0.0,0.0,0.0,9.16,9.8,61.04
2018-04-01 07:00:56,0.0,0.0,0.0,0.0,11.04,11.8,58.3
2018-04-01 08:00:56,0.0,0.0,0.0,0.0,7.96,8.64,61.37
2018-04-01 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0,56.08
2018-04-01 10:00:56,0.0,0.0,0.0,0.0,13.57,15.64,60.6
2018-04-01 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0,62.03
2018-04-01 12:00:56,0.0,0.0,0.0,0.0,8.28,10.58,67.53
2018-04-01 13:00:56,0.0,0.0,0.0,0.0,8.15,10.46,68.25
2018-04-01 14:00:56,0.0,0.0,0.0,0.0,8.39,10.62,69.04
2018-04-01 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0,68.88
2018-04-01 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0,69.91
2018-04-01 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0,66.85
2018-04-01 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0,65.5
2018-04-01 19:00:56,0.0,0.0,0.0,0.0,0.0,0.0,62.74
2018-04-01 20:00:56,0.0,0.0,0.0,0.0,0.0,0.0,62.38
2018-04-01 21:00:56,0.0,0.0,0.0,0.0,11.35,13.06,61.59
2018-04-01 22:00:56,0.0,0.0,0.0,0.0,17.63,19.32,55.93
2018-04-01 23:00:56,0.0,0.0,0.0,0.0,18.03,19.59,53.93
2018-04-02 00:00:56,0.0,0.0,0.0,0.0,13.92,15.33,55.26
2018-04-02 01:00:56,0.0,0.0,0.0,0.0,15.03,16.34,53.13
2018-04-02 02:00:56,0.0,0.0,0.0,0.0,17.81,19.08,55.12
2018-04-02 03:00:56,0.0,0.0,0.0,0.0,12.34,13.01,57.69
2018-04-02 04:00:56,0.0,0.0,0.0,0.0,7.2,7.72,66.04
2018-04-02 05:00:56,0.0,0.0,0.0,0.0,4.07,4.47,69.28
2018-04-02 06:00:56,0.0,0.0,0.0,0.0,4.66,5.17,66.73
2018-04-02 07:00:56,0.0,0.0,0.0,0.0,4.24,4.73,65.03
2018-04-02 08:00:56,0.0,0.0,0.0,0.0,13.98,15.2,55.86
2018-04-02 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0,35.49
2018-04-02 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0,50.12
2018-04-02 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0,58.21
2018-04-02 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0,60.91
2018-04-02 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0,67.34
2018-04-02 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0,69.69
2018-04-02 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0,65.54
2018-04-02 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0,65.21
2018-04-02 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0,68.17
2018-04-02 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0,66.67
2018-04-02 19:00:56,0.0,0.0,0.0,0.0,0.0,0.0,65.74
2018-04-02 20:00:56,0.0,0.0,0.0,0.0,0.0,0.0,61.42
2018-04-02 21:00:56,0.0,0.0,0.0,0.0,0.0,0.0,52.26
2018-04-02 22:00:56,0.0,0.0,0.0,0.0,29.09,30.89,48.29
2018-04-02 23:00:56,0.0,0.0,0.0,0.0,0.0,0.0,25.07
2018-04-03 00:00:56,0.0,0.0,0.0,0.0,20.45,21.14,50.61
