Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2018-03-29 00:00:56,37.38,0.0,11.05,0.0,0.0,0.0
2018-03-29 01:00:56,33.16,0.0,10.12,0.0,0.0,0.0
2018-03-29 02:00:56,50.3,0.0,9.24,0.0,0.0,0.0
2018-03-29 03:00:56,28.53,0.0,9.47,0.0,0.0,0.0
2018-03-29 04:00:56,18.7,0.0,10.89,0.0,0.0,0.0
2018-03-29 05:00:56,23.47,0.0,10.08,0.0,0.0,0.0
2018-03-29 06:00:56,10.42,0.0,10.38,0.0,0.0,0.0
2018-03-29 07:00:56,7.89,0.0,9.53,0.0,0.0,0.0
2018-03-29 08:00:56,12.89,0.0,9.12,0.0,0.0,0.0
2018-03-29 09:00:56,9.62,0.0,8.84,0.0,0.0,0.0
2018-03-29 10:00:56,7.58,0.0,8.71,0.0,0.0,0.0
2018-03-29 11:00:56,12.73,0.0,8.85,0.0,0.0,0.0
2018-03-29 12:00:56,11.22,0.0,8.14,0.0,0.0,0.0
2018-03-29 13:00:56,9.15,0.0,8.2,0.0,0.0,0.0
2018-03-29 14:00:56,9.98,0.0,7.77,0.0,0.0,0.0
2018-03-29 15:00:56,5.5,0.0,7.49,0.0,0.0,0.0
2018-03-29 16:00:56,9.01,0.0,6.85,0.0,0.0,0.0
2018-03-29 17:00:56,11.69,0.0,7.07,0.0,0.0,0.0
2018-03-29 18:00:56,9.98,0.0,7.07,0.0,0.0,0.0
2018-03-29 19:00:56,14.19,0.0,7.6,0.0,0.0,0.0
2018-03-29 20:00:56,28.86,0.0,7.69,0.0,0.0,0.0
2018-03-29 21:00:56,30.92,0.0,7.28,0.0,0.0,0.0
2018-03-29 22:00:56,24.77,0.0,7.35,0.0,0.0,0.0
2018-03-29 23:00:56,22.53,0.0,7.22,0.0,0.0,0.0
2018-03-30 00:00:56,33.55,0.0,7.05,0.0,0.0,0.0
2018-03-30 01:00:56,11.26,0.0,6.94,0.0,0.0,0.0
2018-03-30 02:00:56,26.11,0.0,6.09,0.0,0.0,0.0
2018-03-30 03:00:56,9.05,0.0,7.03,0.0,0.0,0.0
2018-03-30 04:00:56,29.32,0.0,10.71,0.0,0.0,0.0
2018-03-30 05:00:56,30.8,0.0,10.68,0.0,0.0,0.0
2018-03-30 06:00:56,26.77,0.0,10.74,0.0,0.0,0.0
2018-03-30 07:00:56,48.26,0.0,11.17,0.0,0.0,0.0
2018-03-30 08:00:56,45.37,0.0,11.59,0.0,0.0,0.0
2018-03-30 09:00:56,43.56,0.0,12.48,0.0,0.0,0.0
2018-03-30 10:00:56,43.39,0.0,13.53,0.0,0.0,0.0
2018-03-30 11:00:56,63.2,0.0,13.84,0.0,0.0,0.0
2018-03-30 12:00:56,35.15,0.0,14.47,0.0,0.0,0.0
2018-03-30 13:00:56,39.94,0.0,14.3,0.0,0.0,0.0
2018-03-30 14:00:56,21.44,0.0,13.74,0.0,0.0,0.0
2018-03-30 15:00:56,31.48,0.0,13.72,0.0,0.0,0.0
2018-03-30 16:00:56,21.02,0.0,14.54,0.0,0.0,0.0
2018-03-30 17:00:56,23.29,0.0,18.23,0.0,0.0,0.0
2018-03-30 18:00:56,27.13,0.0,27.76,0.0,0.0,0.0
2018-03-30 19:00:56,38.18,0.0,21.86,0.0,0.0,0.0
