Date,PM10 ( µg/m3 ),SO2 ( µg/m3 )
2018-03-29 00:00:56,54.93,7.05
2018-03-29 01:00:56,57.95,6.8
2018-03-29 02:00:56,49.15,7.02
2018-03-29 03:00:56,42.12,7.39
2018-03-29 04:00:56,27.25,7.07
2018-03-29 05:00:56,25.03,7.33
2018-03-29 06:00:56,20.08,6.47
2018-03-29 07:00:56,16.07,7.22
2018-03-29 08:00:56,10.1,7.25
2018-03-29 09:00:56,10.0,7.05
2018-03-29 10:00:56,10.0,6.88
2018-03-29 11:00:56,6.06,6.6
2018-03-29 12:00:56,3.04,6.82
2018-03-29 13:00:56,5.96,6.0
2018-03-29 14:00:56,6.99,6.78
2018-03-29 15:00:56,7.99,6.76
2018-03-29 16:00:56,14.9,6.16
2018-03-29 17:00:56,13.03,6.32
2018-03-29 18:00:56,14.97,6.75
2018-03-29 19:00:56,22.89,6.95
2018-03-29 20:00:56,22.01,6.66
2018-03-29 21:00:56,15.1,6.73
2018-03-29 22:00:56,50.49,7.28
2018-03-29 23:00:56,54.94,7.23
2018-03-30 00:00:56,47.11,7.21
2018-03-30 01:00:56,35.17,6.84
2018-03-30 02:00:56,36.97,6.71
2018-03-30 03:00:56,29.11,7.16
2018-03-30 04:00:56,35.9,6.64
2018-03-30 05:00:56,36.99,6.42
2018-03-30 06:00:56,21.23,6.35
2018-03-30 07:00:56,37.76,6.76
2018-03-30 08:00:56,36.03,6.37
2018-03-30 09:00:56,37.97,6.7
2018-03-30 10:00:56,33.07,7.09
2018-03-30 11:00:56,39.9,6.32
2018-03-30 12:00:56,39.01,7.14
2018-03-30 13:00:56,33.08,6.71
2018-03-30 14:00:56,40.89,6.59
2018-03-30 15:00:56,29.17,6.3
2018-03-30 16:00:56,50.69,7.09
2018-03-30 17:00:56,56.92,6.62
2018-03-30 18:00:56,56.01,6.55
2018-03-30 19:00:56,41.21,6.78
2018-03-30 20:00:56,33.11,6.6
2018-03-30 21:00:56,42.86,6.48
2018-03-30 22:00:56,34.13,6.57
2018-03-30 23:00:56,105.97,7.6
2018-03-31 00:00:56,128.69,8.4
2018-03-31 01:00:56,74.78,9.51
2018-03-31 02:00:56,72.03,10.51
2018-03-31 03:00:56,94.67,11.63
2018-03-31 04:00:56,77.25,11.75
2018-03-31 05:00:56,52.35,11.1
2018-03-31 06:00:56,52.99,10.48
2018-03-31 07:00:56,65.82,10.39
2018-03-31 08:00:56,50.23,9.98
2018-03-31 09:00:56,41.13,9.54
2018-03-31 10:00:56,54.8,9.99
2018-03-31 11:00:56,58.94,10.23
2018-03-31 12:00:56,59.0,9.59
2018-03-31 13:00:56,66.89,10.03
2018-03-31 14:00:56,57.14,8.87
2018-03-31 15:00:56,54.04,7.54
2018-03-31 16:00:56,58.93,7.61
2018-03-31 17:00:56,45.2,7.11
2018-03-31 18:00:56,41.06,6.36
2018-03-31 19:00:56,30.16,6.76
2018-03-31 20:00:56,32.96,6.44
2018-03-31 21:00:56,33.99,6.39
2018-03-31 22:00:56,24.14,6.38
2018-03-31 23:00:56,39.77,6.46
2018-04-01 00:00:56,45.91,6.09
2018-04-01 01:00:56,48.96,4.8
2018-04-01 02:00:56,40.13,4.28
2018-04-01 03:00:56,34.09,4.66
2018-04-01 04:00:56,29.07,4.55
2018-04-01 05:00:56,32.94,4.74
2018-04-01 06:00:56,32.01,4.89
2018-04-01 07:00:56,24.11,4.5
2018-04-01 08:00:56,21.04,3.99
2018-04-01 09:00:56,19.03,4.25
2018-04-01 10:00:56,29.84,4.01
