Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2018-03-29 00:00:56,46.1,5.56,459.23,36.22,40.93
2018-03-29 01:00:56,48.56,5.49,459.15,32.2,36.92
2018-03-29 02:00:56,36.71,4.39,460.85,28.86,33.59
2018-03-29 03:00:56,28.82,4.29,446.28,26.58,31.34
2018-03-29 04:00:56,23.74,4.56,423.45,24.51,29.1
2018-03-29 05:00:56,16.71,5.15,433.43,22.83,27.44
2018-03-29 06:00:56,9.11,7.18,446.63,21.69,26.39
2018-03-29 07:00:56,12.0,8.09,423.24,21.4,25.99
2018-03-29 08:00:56,0.0,5.49,429.48,22.4,27.09
2018-03-29 09:00:56,0.0,4.77,429.88,24.05,28.9
2018-03-29 10:00:56,11.78,5.08,428.58,24.92,29.63
2018-03-29 11:00:56,43.38,4.77,438.59,34.78,39.85
2018-03-29 12:00:56,0.0,5.12,435.46,43.52,48.26
2018-03-29 13:00:56,3.15,4.97,438.2,33.48,38.23
2018-03-29 14:00:56,7.29,4.97,464.33,27.27,32.0
2018-03-29 15:00:56,14.76,4.92,474.89,25.36,30.26
2018-03-29 16:00:56,9.04,4.42,480.56,25.32,30.25
2018-03-29 17:00:56,10.24,5.05,497.26,24.73,29.52
2018-03-29 18:00:56,16.33,6.65,500.77,24.49,29.23
2018-03-29 19:00:56,24.96,6.4,501.47,25.03,29.87
2018-03-29 20:00:56,24.15,6.61,508.15,24.81,29.53
2018-03-29 21:00:56,28.04,12.24,501.16,24.14,28.86
2018-03-29 22:00:56,28.74,11.86,473.35,24.67,29.41
2018-03-29 23:00:56,22.18,6.5,467.84,24.97,29.65
2018-03-30 00:00:56,26.76,6.54,459.94,24.92,29.56
2018-03-30 01:00:56,20.0,5.41,437.08,23.77,28.49
2018-03-30 02:00:56,19.96,4.96,441.29,22.84,27.42
2018-03-30 03:00:56,19.22,5.75,436.76,21.11,25.65
2018-03-30 04:00:56,25.04,7.14,442.42,19.31,23.79
2018-03-30 05:00:56,26.07,4.22,445.46,20.26,25.03
2018-03-30 06:00:56,27.96,3.67,447.86,21.84,27.06
2018-03-30 07:00:56,26.82,6.29,441.87,21.44,26.26
2018-03-30 08:00:56,22.48,4.7,446.73,26.99,35.04
2018-03-30 09:00:56,35.07,7.3,458.22,31.5,43.56
2018-03-30 10:00:56,37.41,15.48,462.61,32.34,43.59
2018-03-30 11:00:56,47.59,9.38,479.53,32.29,41.01
2018-03-30 12:00:56,37.11,9.61,517.98,32.54,40.16
2018-03-30 13:00:56,39.85,8.16,540.59,32.27,38.99
2018-03-30 14:00:56,36.18,7.72,559.13,32.49,38.98
2018-03-30 15:00:56,40.45,7.01,576.51,31.95,38.13
2018-03-30 16:00:56,26.92,6.6,647.65,34.5,40.61
2018-03-30 17:00:56,50.6,2.83,695.89,39.83,45.5
2018-03-30 18:00:56,39.93,2.48,709.05,46.17,51.76
2018-03-30 19:00:56,38.04,3.42,716.85,53.06,58.62
2018-03-30 20:00:56,38.93,4.34,703.09,51.04,56.23
2018-03-30 21:00:56,37.48,4.81,612.08,49.31,55.5
2018-03-30 22:00:56,50.18,4.81,557.92,49.37,60.98
2018-03-30 23:00:56,54.96,4.75,558.78,54.38,77.45
2018-03-31 00:00:56,55.57,4.11,534.61,56.51,85.34
2018-03-31 01:00:56,99.23,4.97,519.66,55.29,99.17
