Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,22.15,0.0,9.3,0.0,0.0,0.0,53.73
2022-03-23 17:00:56,49.49,0.0,10.73,1203.87,0.0,0.0,52.38
2022-03-23 18:00:56,63.69,0.0,14.75,0.0,0.0,0.0,48.16
2022-03-23 19:00:56,57.66,0.0,13.45,0.0,0.0,0.0,45.56
2022-03-23 20:00:56,53.33,0.0,22.79,0.0,0.0,0.0,39.66
2022-03-23 21:00:56,84.43,0.0,28.02,0.0,110.88,177.21,28.73
2022-03-23 22:00:56,91.8,0.0,21.11,0.0,160.66,264.31,26.02
2022-03-23 23:00:56,87.0,0.0,21.24,0.0,115.01,161.97,36.35
2022-03-24 00:00:56,58.11,0.0,13.03,0.0,86.26,106.02,43.69
2022-03-24 01:00:56,42.08,0.0,12.07,0.0,77.55,89.73,38.37
2022-03-24 02:00:56,48.08,0.0,15.83,0.0,80.56,94.27,34.01
2022-03-24 03:00:56,44.74,0.0,12.14,1245.14,51.2,56.29,45.98
2022-03-24 04:00:56,30.76,0.0,8.86,0.0,38.26,42.26,47.34
2022-03-24 05:00:56,25.2,0.0,6.56,0.0,31.2,34.81,47.86
2022-03-24 06:00:56,24.46,0.0,6.7,0.0,31.13,34.6,45.49
2022-03-24 07:00:56,20.88,0.0,7.64,1129.43,33.44,36.84,43.34
2022-03-24 08:00:56,33.99,0.0,10.4,0.0,41.97,45.92,39.65
2022-03-24 09:00:56,38.44,0.0,12.87,1231.73,50.27,55.46,39.24
2022-03-24 10:00:56,40.34,0.0,9.21,1173.3,43.31,47.9,46.65
2022-03-24 11:00:56,38.09,0.0,9.52,0.0,29.7,34.06,47.76
2022-03-24 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
