Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,28.03,5.86,1138.0,21.44,25.94,74.15
2022-03-23 17:00:56,28.02,6.51,1154.12,25.06,29.24,69.5
2022-03-23 18:00:56,25.92,7.26,1169.36,29.53,33.84,59.33
2022-03-23 19:00:56,33.81,9.67,1184.84,31.19,34.86,55.73
2022-03-23 20:00:56,39.52,11.77,1238.63,37.76,41.22,47.6
2022-03-23 21:00:56,42.85,15.01,1279.56,39.18,42.27,46.74
2022-03-23 22:00:56,41.85,14.16,1252.74,37.33,40.48,45.97
2022-03-23 23:00:56,39.58,10.83,1209.53,31.05,35.02,50.96
2022-03-24 00:00:56,36.49,9.61,1186.85,26.18,28.96,55.51
2022-03-24 01:00:56,27.85,7.43,1176.61,27.28,30.15,51.0
2022-03-24 02:00:56,25.84,8.15,1177.9,29.45,32.21,47.42
2022-03-24 03:00:56,27.1,6.83,1141.4,21.35,24.02,53.78
2022-03-24 04:00:56,26.85,5.87,1127.98,19.52,22.17,53.41
2022-03-24 05:00:56,28.08,5.49,1126.42,21.02,23.76,51.35
2022-03-24 06:00:56,27.2,10.44,1173.15,26.36,29.17,41.95
2022-03-24 07:00:56,32.31,8.17,1137.92,33.29,37.33,37.2
2022-03-24 08:00:56,32.46,11.47,1177.77,35.55,39.45,37.93
2022-03-24 09:00:56,29.36,9.91,1164.29,31.67,36.42,45.98
2022-03-24 10:00:56,29.76,8.32,1161.8,32.47,38.5,48.46
2022-03-24 11:00:56,32.01,6.05,1123.34,24.16,29.5,57.85
2022-03-24 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0
