Date,PM10 ( µg/m3 ),SO2 ( µg/m3 )
2018-03-29 00:00:56,21.49,11.41
2018-03-29 01:00:56,26.48,11.92
2018-03-29 02:00:56,26.92,11.35
2018-03-29 03:00:56,24.24,11.74
2018-03-29 04:00:56,24.0,11.23
2018-03-29 05:00:56,20.43,9.98
2018-03-29 06:00:56,20.12,10.14
2018-03-29 07:00:56,11.55,16.49
2018-03-29 08:00:56,10.77,17.84
2018-03-29 09:00:56,10.87,16.97
2018-03-29 10:00:56,10.88,19.58
2018-03-29 11:00:56,6.87,17.95
2018-03-29 12:00:56,6.5,18.08
2018-03-29 13:00:56,4.58,17.03
2018-03-29 14:00:56,4.41,17.29
2018-03-29 15:00:56,3.28,16.2
2018-03-29 16:00:56,3.18,16.52
2018-03-29 17:00:56,2.68,14.11
2018-03-29 18:00:56,2.64,14.87
2018-03-29 19:00:56,2.54,13.62
2018-03-29 20:00:56,2.53,13.69
2018-03-29 21:00:56,18.57,12.46
2018-03-29 22:00:56,19.97,20.86
2018-03-29 23:00:56,21.81,18.93
2018-03-30 00:00:56,21.97,20.25
2018-03-30 01:00:56,14.77,16.68
2018-03-30 02:00:56,14.14,16.1
2018-03-30 03:00:56,18.39,16.81
2018-03-30 04:00:56,18.76,16.52
2018-03-30 05:00:56,13.07,15.45
2018-03-30 06:00:56,12.57,14.02
2018-03-30 07:00:56,17.77,14.68
2018-03-30 08:00:56,18.23,15.14
2018-03-30 09:00:56,11.48,14.24
2018-03-30 10:00:56,10.89,10.0
2018-03-30 11:00:56,19.22,9.13
2018-03-30 12:00:56,19.95,8.43
2018-03-30 13:00:56,15.35,20.99
2018-03-30 14:00:56,14.95,21.12
2018-03-30 15:00:56,15.23,21.08
2018-03-30 16:00:56,15.25,14.79
2018-03-30 17:00:56,14.8,13.81
2018-03-30 18:00:56,14.76,14.48
2018-03-30 19:00:56,8.78,15.13
2018-03-30 20:00:56,8.26,15.32
2018-03-30 21:00:56,15.0,14.93
2018-03-30 22:00:56,15.59,13.07
2018-03-30 23:00:56,24.14,12.84
2018-03-31 00:00:56,24.89,12.82
2018-03-31 01:00:56,50.82,16.18
2018-03-31 02:00:56,53.09,15.77
2018-03-31 03:00:56,71.58,16.19
2018-03-31 04:00:56,73.2,11.48
2018-03-31 05:00:56,72.49,10.97
2018-03-31 06:00:56,72.43,12.51
2018-03-31 07:00:56,48.95,16.14
2018-03-31 08:00:56,46.89,17.34
2018-03-31 09:00:56,39.37,16.32
2018-03-31 10:00:56,38.71,15.62
2018-03-31 11:00:56,31.34,15.39
2018-03-31 12:00:56,30.69,17.57
2018-03-31 13:00:56,39.94,16.53
2018-03-31 14:00:56,40.75,16.11
2018-03-31 15:00:56,31.64,14.91
2018-03-31 16:00:56,30.84,18.91
2018-03-31 17:00:56,24.3,17.48
2018-03-31 18:00:56,23.73,17.51
2018-03-31 19:00:56,13.38,14.24
2018-03-31 20:00:56,12.47,14.85
2018-03-31 21:00:56,15.95,14.66
2018-03-31 22:00:56,16.25,15.68
2018-03-31 23:00:56,18.08,15.83
2018-04-01 00:00:56,18.24,15.96
2018-04-01 01:00:56,17.72,12.93
2018-04-01 02:00:56,17.67,13.74
2018-04-01 03:00:56,16.95,13.23
2018-04-01 04:00:56,16.89,14.41
2018-04-01 05:00:56,18.02,13.66
2018-04-01 06:00:56,18.12,13.78
2018-04-01 07:00:56,19.28,13.71
2018-04-01 08:00:56,19.38,13.79
2018-04-01 09:00:56,15.87,12.83
2018-04-01 10:00:56,15.56,13.89
2018-04-01 11:00:56,9.56,13.82
2018-04-01 12:00:56,9.03,14.63
2018-04-01 13:00:56,5.75,17.15
2018-04-01 14:00:56,5.46,18.7
2018-04-01 15:00:56,4.68,16.39
2018-04-01 16:00:56,4.61,16.8
2018-04-01 17:00:56,14.45,15.3
2018-04-01 18:00:56,15.31,16.09
2018-04-01 19:00:56,9.21,12.65
2018-04-01 20:00:56,8.68,13.57
2018-04-01 21:00:56,16.07,13.87
2018-04-01 22:00:56,16.72,12.84
2018-04-01 23:00:56,13.71,11.79
2018-04-02 00:00:56,13.45,13.01
2018-04-02 01:00:56,13.75,15.72
2018-04-02 02:00:56,13.78,16.21
2018-04-02 03:00:56,8.57,16.16
2018-04-02 04:00:56,8.11,19.77
2018-04-02 05:00:56,6.41,19.26
2018-04-02 06:00:56,6.27,19.79
2018-04-02 07:00:56,4.0,15.79
2018-04-02 08:00:56,3.8,17.29
2018-04-02 09:00:56,3.88,15.7
2018-04-02 10:00:56,3.89,11.15
2018-04-02 11:00:56,2.66,11.12
2018-04-02 12:00:56,2.55,12.39
2018-04-02 13:00:56,4.19,16.01
2018-04-02 14:00:56,4.33,17.31
2018-04-02 15:00:56,3.27,17.51
2018-04-02 16:00:56,3.18,8.92
2018-04-02 17:00:56,2.84,8.21
2018-04-02 18:00:56,2.81,7.28
2018-04-02 19:00:56,2.35,14.31
2018-04-02 20:00:56,2.31,14.35
2018-04-02 21:00:56,9.74,15.11
2018-04-02 22:00:56,10.37,18.33
2018-04-02 23:00:56,7.01,18.39
2018-04-03 00:00:56,6.72,19.09
2018-04-03 01:00:56,7.77,10.91
2018-04-03 02:00:56,7.86,10.51
2018-04-03 03:00:56,9.73,10.34
2018-04-03 04:00:56,9.89,13.31
2018-04-03 05:00:56,6.91,12.46
2018-04-03 06:00:56,6.65,11.96
2018-04-03 07:00:56,21.2,14.34
2018-04-03 08:00:56,22.43,14.65
2018-04-03 09:00:56,19.17,13.23
2018-04-03 10:00:56,18.9,18.98
2018-04-03 11:00:56,21.32,19.22
2018-04-03 12:00:56,21.52,20.14
2018-04-03 13:00:56,16.0,19.27
2018-04-03 14:00:56,15.53,19.64
2018-04-03 15:00:56,11.76,19.05
2018-04-03 16:00:56,11.44,15.73
2018-04-03 17:00:56,9.9,12.75
2018-04-03 18:00:56,9.77,12.24
