Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,24.09,6.53,970.86,39.43,0.0,39.23
2022-03-23 17:00:56,23.69,6.4,968.66,40.76,0.0,40.66
2022-03-23 18:00:56,25.1,4.33,973.4,36.46,39.28,40.08
2022-03-23 19:00:56,23.78,1.33,967.65,33.1,35.73,40.76
2022-03-23 20:00:56,20.96,1.77,970.3,37.27,0.0,38.37
2022-03-23 21:00:56,21.49,3.73,964.95,43.79,46.4,40.88
2022-03-23 22:00:56,20.69,4.82,961.31,37.14,39.69,39.53
2022-03-23 23:00:56,18.76,6.0,962.8,36.56,0.0,37.54
2022-03-24 00:00:56,21.64,5.95,964.04,42.18,44.79,35.13
2022-03-24 01:00:56,21.63,6.09,975.98,49.04,51.69,35.65
2022-03-24 02:00:56,17.45,6.25,964.46,43.36,45.93,34.35
2022-03-24 03:00:56,18.0,4.02,969.57,40.59,0.0,32.19
2022-03-24 04:00:56,18.89,3.96,964.81,40.72,43.26,32.06
2022-03-24 05:00:56,19.52,6.81,956.63,37.76,40.3,34.72
2022-03-24 06:00:56,22.44,6.96,951.28,44.76,47.31,38.08
2022-03-24 07:00:56,24.01,5.05,956.65,47.26,49.86,36.52
2022-03-24 08:00:56,20.64,3.4,958.88,51.73,54.38,35.65
2022-03-24 09:00:56,21.09,4.77,968.99,58.39,61.18,32.1
2022-03-24 10:00:56,25.01,8.63,969.16,54.59,57.51,32.25
2022-03-24 11:00:56,27.15,9.5,976.26,45.86,48.7,34.37
2022-03-24 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0
