Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2018-03-29 00:00:56,36.44,3.52,7.87,416.48,34.09,37.62
2018-03-29 01:00:56,30.51,3.42,6.95,405.24,32.08,35.51
2018-03-29 02:00:56,33.01,3.34,7.56,401.25,30.78,34.12
2018-03-29 03:00:56,35.72,3.35,7.76,392.53,31.51,34.86
2018-03-29 04:00:56,30.97,3.39,5.62,387.26,30.67,34.06
2018-03-29 05:00:56,29.72,3.47,5.56,381.96,28.95,32.42
2018-03-29 06:00:56,19.24,3.28,5.91,382.86,27.64,30.93
2018-03-29 07:00:56,9.97,3.14,4.53,383.04,25.35,28.49
2018-03-29 08:00:56,7.28,3.05,3.31,391.18,23.81,26.86
2018-03-29 09:00:56,6.28,2.92,3.42,405.69,23.56,26.49
2018-03-29 10:00:56,3.13,2.8,4.17,417.22,23.97,26.76
2018-03-29 11:00:56,0.57,2.85,4.38,429.38,23.78,26.63
2018-03-29 12:00:56,2.87,2.9,3.56,445.68,23.33,26.22
2018-03-29 13:00:56,6.87,2.9,3.65,454.97,24.72,27.62
2018-03-29 14:00:56,7.28,2.86,4.67,451.84,25.27,28.14
2018-03-29 15:00:56,7.0,3.02,5.5,457.47,25.51,28.53
2018-03-29 16:00:56,4.85,3.38,7.16,457.43,27.93,31.31
2018-03-29 17:00:56,6.15,3.44,7.4,453.25,30.6,34.03
2018-03-29 18:00:56,5.56,3.76,7.19,448.0,32.62,36.38
2018-03-29 19:00:56,11.46,3.72,8.52,446.25,34.26,37.97
2018-03-29 20:00:56,14.72,3.45,9.27,450.59,34.3,37.76
2018-03-29 21:00:56,20.03,3.17,10.59,465.75,33.46,36.63
2018-03-29 22:00:56,24.15,2.92,11.53,480.85,31.21,34.13
2018-03-29 23:00:56,25.72,2.84,13.82,483.39,28.99,31.83
2018-03-30 00:00:56,31.75,2.85,16.52,485.54,31.13,33.98
2018-03-30 01:00:56,33.28,2.85,10.03,478.79,31.54,34.4
2018-03-30 02:00:56,28.7,2.88,8.04,464.86,29.23,32.11
2018-03-30 03:00:56,24.85,2.78,8.1,458.8,28.0,30.78
2018-03-30 04:00:56,20.41,2.82,7.08,448.96,25.3,28.12
2018-03-30 05:00:56,17.57,2.78,6.28,443.39,23.17,25.95
2018-03-30 06:00:56,17.0,2.74,5.89,447.22,21.54,24.27
2018-03-30 07:00:56,14.85,2.81,5.83,452.24,21.01,23.82
2018-03-30 08:00:56,14.72,2.69,5.29,460.8,20.71,23.4
2018-03-30 09:00:56,9.97,3.03,5.7,469.67,22.27,25.3
2018-03-30 10:00:56,16.62,8.9,7.24,482.52,31.21,40.08
2018-03-30 11:00:56,43.65,15.55,12.58,478.85,40.49,56.02
2018-03-30 12:00:56,45.12,17.58,12.73,484.25,46.14,63.71
2018-03-30 13:00:56,36.97,14.11,13.18,476.48,48.57,62.68
2018-03-30 14:00:56,35.72,11.75,15.41,454.84,51.2,62.95
2018-03-30 15:00:56,44.62,12.56,15.06,416.27,53.65,66.2
2018-03-30 16:00:56,41.54,13.58,11.9,395.69,53.91,67.49
2018-03-30 17:00:56,35.42,12.85,10.71,380.43,54.12,66.97
2018-03-30 18:00:56,20.35,11.33,9.26,369.53,51.3,62.62
2018-03-30 19:00:56,22.18,11.01,10.06,369.11,50.52,61.53
2018-03-30 20:00:56,29.31,7.69,10.13,378.44,49.24,56.94
2018-03-30 21:00:56,28.14,5.74,8.46,404.69,47.53,53.28
2018-03-30 22:00:56,30.58,4.42,7.35,445.54,44.86,49.29
2018-03-30 23:00:56,21.98,3.61,5.59,448.44,40.38,44.0
2018-03-31 00:00:56,27.3,3.32,5.74,445.19,36.7,40.03
2018-03-31 01:00:56,25.97,3.13,5.45,441.89,34.23,37.36
2018-03-31 02:00:56,26.87,3.17,4.71,433.45,32.53,35.71
2018-03-31 03:00:56,25.13,3.23,3.37,425.52,33.21,36.44
