Date,PM10 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2022-03-23 16:00:56,13.32,9.66,882.55,10.52,12.84,37.22
2022-03-23 17:00:56,44.04,9.03,886.57,11.16,13.32,36.28
2022-03-23 18:00:56,40.39,8.61,950.46,13.03,15.16,35.2
2022-03-23 19:00:56,58.84,12.38,977.82,14.2,16.31,33.73
2022-03-23 20:00:56,67.98,23.67,1028.86,15.36,17.39,33.46
2022-03-23 21:00:56,70.46,63.45,1798.04,24.19,26.71,36.89
2022-03-23 22:00:56,77.18,36.9,1278.71,18.98,20.67,33.84
2022-03-23 23:00:56,40.98,27.84,1210.71,20.08,22.6,30.48
2022-03-24 00:00:56,56.38,43.73,2165.43,54.6,58.88,19.94
2022-03-24 01:00:56,71.4,36.94,1682.08,23.45,25.08,29.36
2022-03-24 02:00:56,42.18,23.61,1094.6,11.63,12.87,31.43
2022-03-24 03:00:56,40.79,28.37,1615.38,32.07,34.13,21.47
2022-03-24 04:00:56,54.8,17.74,1467.34,19.98,21.37,22.3
2022-03-24 05:00:56,46.54,19.33,1335.86,26.7,28.25,21.44
2022-03-24 06:00:56,32.33,16.55,1130.44,24.45,26.74,21.33
2022-03-24 07:00:56,34.5,15.04,1186.1,25.93,27.99,20.49
2022-03-24 08:00:56,53.78,31.39,1970.96,78.82,108.11,16.08
2022-03-24 09:00:56,111.12,42.74,1649.46,60.89,84.52,20.67
2022-03-24 10:00:56,79.94,28.78,1231.09,26.52,34.33,29.79
2022-03-24 11:00:56,85.14,30.03,1341.52,20.05,25.38,37.83
2022-03-24 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0
