Date,PM10 ( µg/m3 ),SO2 ( µg/m3 )
2022-03-23 16:00:56,89.89,135.13
2022-03-23 17:00:56,68.14,134.71
2022-03-23 18:00:56,52.66,133.31
2022-03-23 19:00:56,64.54,130.33
2022-03-23 20:00:56,55.85,127.1
2022-03-23 21:00:56,51.78,125.67
2022-03-23 22:00:56,28.75,126.81
2022-03-23 23:00:56,24.1,130.74
2022-03-24 00:00:56,25.86,130.26
2022-03-24 01:00:56,23.61,129.15
2022-03-24 02:00:56,34.54,129.66
2022-03-24 03:00:56,25.74,129.67
2022-03-24 04:00:56,20.74,129.34
2022-03-24 05:00:56,16.0,130.5
2022-03-24 06:00:56,16.92,128.67
2022-03-24 07:00:56,35.23,127.76
2022-03-24 08:00:56,56.77,129.09
2022-03-24 09:00:56,35.48,129.5
2022-03-24 10:00:56,62.03,131.33
2022-03-24 11:00:56,44.51,128.88
2022-03-24 12:00:56,53.23,129.5
2022-03-24 13:00:56,0.0,0.0
