Tarih,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2019-03-06 00:00:56,"91,66","39,84","10,97","95,65","220,21","3,61"
2019-03-06 01:00:56,"78,49","34,34","10,17","97,89","297,32","4,70"
2019-03-06 02:00:56,"96,30","45,47","9,99","85,77","159,53","3,26"
2019-03-06 03:00:56,"70,25","27,48","12,49","94,68","285,33","3,59"
2019-03-06 04:00:56,"79,64","43,52","8,50","78,15","173,01","2,22"
2019-03-06 05:00:56,"64,83","27,03","6,69","73,85","137,49","2,86"
2019-03-06 06:00:56,"57,93","28,09","6,68","72,56","148,85","2,28"
2019-03-06 07:00:56,"55,31","31,03","6,14","74,11","133,21","2,26"
2019-03-06 08:00:56,"68,43","32,18","8,05","79,70","246,05","2,89"
2019-03-06 09:00:56,"86,00","38,78","15,01","113,57","634,01","3,48"
2019-03-06 10:00:56,"163,93","63,94","16,71","109,92","512,41","3,69"
2019-03-06 11:00:56,"162,12","62,45","37,44","122,23","502,90","4,72"
2019-03-06 12:00:56,"194,71","77,44","33,18","135,44","452,47","5,94"
2019-03-06 13:00:56,"184,86","92,32","27,41","131,56","418,11","3,57"
2019-03-06 14:00:56,"153,28","69,93","17,63","140,10","470,24","3,97"
2019-03-06 15:00:56,"220,02","101,68","25,90","137,21","404,15","5,26"
2019-03-06 16:00:56,"193,85","89,63","27,42",-,-,"4,39"
2019-03-06 17:00:56,"213,46","75,36","19,88","95,87","180,71","13,13"
2019-03-06 18:00:56,"112,55","52,24","23,86","101,83","202,10","7,93"
2019-03-06 19:00:56,"130,28","61,27","22,17","121,69","335,01","2,96"
2019-03-06 20:00:56,"168,50","71,00","17,35","118,01","256,10","6,22"
2019-03-06 21:00:56,"60,00",-,"9,55","127,14","291,24","3,12"
2019-03-06 22:00:56,"59,56",-,"7,85","82,02","155,13","25,30"
2019-03-06 23:00:56,"46,31",-,"5,58","104,12","189,71","2,58"
2019-03-07 00:00:56,"56,48","27,43","4,70","99,51","181,14","2,31"
2019-03-07 01:00:56,"71,07","41,60","2,72","76,06","132,53","4,02"
