Tarih,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2019-03-06 00:00:56,"84,19","46,17","14,18",-,"87,36","140,99","2,45"
2019-03-06 01:00:56,"97,34","61,42","11,60",-,"88,53","210,25","0,79"
2019-03-06 02:00:56,"103,23","54,10","13,18",-,"88,09","259,84","1,20"
2019-03-06 03:00:56,"121,79","63,14","10,29",-,"78,05","210,84","0,67"
2019-03-06 04:00:56,"88,49","46,82","10,72",-,"73,03","174,86","0,54"
2019-03-06 05:00:56,"81,09","42,67","9,51",-,"67,24","146,82","0,33"
2019-03-06 06:00:56,"70,53","44,75","12,77",-,"70,70","192,24","0,42"
2019-03-06 07:00:56,"97,51","59,16","16,64",-,"67,16","199,17","0,29"
2019-03-06 08:00:56,"97,69","63,35","12,60",-,"61,22","150,66","0,40"
2019-03-06 09:00:56,"79,29","41,30","10,73",-,"60,54","163,38","0,26"
2019-03-06 10:00:56,"98,98","45,25","10,94",-,"62,64","175,64","0,67"
2019-03-06 11:00:56,"99,64","50,94","11,17",-,"65,00","182,34","0,66"
2019-03-06 12:00:56,"96,22","59,75","14,87",-,"74,15","200,90","1,59"
2019-03-06 13:00:56,"107,52","66,24","22,30",-,"80,61","222,48","2,13"
2019-03-06 14:00:56,"140,76","74,31","30,54",-,"88,30",-,"3,20"
2019-03-06 15:00:56,"139,69","65,24","24,95",-,"84,06","179,33","8,18"
2019-03-06 16:00:56,"105,87","58,65","21,35",-,"68,04","94,44","17,44"
2019-03-06 17:00:56,"98,77","43,00","33,31",-,"67,40","88,02","20,47"
2019-03-06 18:00:56,"71,90","35,83","40,37",-,"71,22","93,99","19,19"
2019-03-06 19:00:56,"79,35","37,03","24,24",-,"80,74","125,64","7,10"
2019-03-06 20:00:56,"88,49","48,19","22,44",-,"84,61","149,14","2,19"
2019-03-06 21:00:56,"129,85","73,63","20,11",-,"88,27","193,86","0,86"
2019-03-06 22:00:56,"162,23","85,91","26,23",-,"95,66","231,32","1,60"
2019-03-06 23:00:56,"163,82","97,10","15,71",-,"82,53","157,85","14,02"
2019-03-07 00:00:56,"97,87","62,96","11,92",-,"59,25","74,52","19,14"
2019-03-07 01:00:56,"50,30","35,64","9,36",-,"82,57","171,70","0,76"
2019-03-07 02:00:56,"64,72","48,04","5,86",-,"68,10","106,32","0,50"
2019-03-07 03:00:56,"50,43","37,14","4,68",-,"65,27","120,69","2,63"
2019-03-07 04:00:56,"45,69","30,18","3,82",-,"57,30","66,23","4,85"
2019-03-07 05:00:56,"30,70","19,46","1,90",-,"42,16","46,95","11,60"
2019-03-07 06:00:56,"28,76","12,91","0,95",-,"44,96","53,14","4,65"
2019-03-07 07:00:56,"39,08","19,45","0,61",-,"48,86","55,38","5,07"
2019-03-07 08:00:56,"28,19","14,59","0,96",-,"46,29","52,71","5,52"
2019-03-07 09:00:56,"31,99","14,26","0,25",-,"60,70","116,29","0,85"
2019-03-07 10:00:56,"33,70","19,76","2,86",-,"54,67","123,50","4,08"
2019-03-07 11:00:56,"41,03","25,08","6,52",-,"56,37","148,62","7,60"
2019-03-07 12:00:56,"55,92","41,96","10,97",-,"61,43","121,95","17,06"
2019-03-07 13:00:56,"67,55","48,28","11,43",-,"50,98","88,20","31,77"
2019-03-07 14:00:56,"52,02","33,26","13,71",-,"38,74","58,30","51,99"
2019-03-07 15:00:56,"48,92","23,84","6,71",-,"26,58",-,"72,60"
2019-03-07 16:00:56,"34,93","17,23","3,61",-,"9,62","11,89","94,55"
2019-03-07 17:00:56,"16,18","3,70","0,54",-,"22,17","27,02","86,68"
2019-03-07 18:00:56,"26,63","8,95","0,45",-,"25,95","29,64","81,58"
2019-03-07 19:00:56,"25,64","7,04","1,05",-,"29,10","32,06","80,90"
2019-03-07 20:00:56,"40,63","7,89","1,83",-,"55,28","67,94","48,84"
