Tarih,PM10 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2019-03-06 00:00:56,"148,79","47,63","2.887,90","78,62","130,24",-
2019-03-06 01:00:56,"164,50","42,96","1.812,44","71,42",-,-
2019-03-06 02:00:56,"143,17","28,43","2.110,83","70,14",-,-
2019-03-06 03:00:56,"127,49","18,94","1.557,81","49,96","52,89",-
2019-03-06 04:00:56,"100,78","16,71","1.028,13","32,12",-,-
2019-03-06 05:00:56,"85,07","16,24","762,16","8,30",-,-
2019-03-06 06:00:56,"64,77","13,84","847,45","11,20",-,-
2019-03-06 07:00:56,"72,16","12,27","1.185,76","29,78",-,-
2019-03-06 08:00:56,"67,33","16,08","1.324,80","51,88",-,-
2019-03-06 09:00:56,"88,27","16,22","1.192,09","50,89","107,86",-
2019-03-06 10:00:56,"88,28","15,76","647,40","30,17",-,-
2019-03-06 11:00:56,"111,72","18,29","676,98","50,72","55,75",-
2019-03-06 12:00:56,"99,79","20,33","927,11","70,36","100,20",-
2019-03-06 13:00:56,"112,15","16,87","1.080,12","75,16","107,85",-
2019-03-06 14:00:56,"111,63","21,92","830,96","49,55","54,23",-
2019-03-06 15:00:56,"86,99","23,17","486,05","50,69","53,11",-
2019-03-06 16:00:56,"75,05","30,36","386,44","30,51","31,00",-
2019-03-06 17:00:56,"65,76","28,89","532,92","25,89","26,53",-
2019-03-06 18:00:56,"56,30","29,79","455,13","40,28","40,93",-
2019-03-06 19:00:56,"51,49","32,21","523,52","51,86","55,66",-
2019-03-06 20:00:56,"60,58","40,90","1.255,41","88,54","128,63",-
2019-03-06 21:00:56,"87,98","43,18","1.897,61","81,38","137,67",-
2019-03-06 22:00:56,"119,73","19,97","1.219,61","41,64","43,19",-
2019-03-06 23:00:56,"102,95","20,75","920,08","48,71","56,91",-
2019-03-07 00:00:56,"98,59","16,36","1.087,92","50,31","68,77",-
2019-03-07 01:00:56,"94,60","12,18","1.178,71","33,52","34,52",-
2019-03-07 02:00:56,"91,64","12,13","792,53",-,"2,89",-
2019-03-07 03:00:56,"62,40","8,72","850,74","8,05","8,61",-
2019-03-07 04:00:56,"41,58","5,68","906,84","11,54",-,-
2019-03-07 05:00:56,"41,35","5,72","818,45","20,95",-,-
2019-03-07 06:00:56,"26,21","3,87","611,95","2,45","2,45",-
2019-03-07 07:00:56,"15,50","3,02","690,98","9,56",-,-
2019-03-07 08:00:56,"10,73","5,91","766,42","32,79","39,98",-
2019-03-07 09:00:56,"41,35","9,69","1.173,07","49,09",-,-
2019-03-07 10:00:56,"61,28","14,10","786,73","48,32","63,63",-
2019-03-07 11:00:56,"73,11","18,59","1.173,55","48,71","132,08",-
2019-03-07 12:00:56,"61,11","15,39","1.174,72","34,67","178,97",-
2019-03-07 13:00:56,"50,78","41,33","470,21","33,26","38,02",-
2019-03-07 14:00:56,"43,43","31,77","468,12","9,20","9,64",-
2019-03-07 15:00:56,"26,75","11,67","399,09","14,70","14,98",-
2019-03-07 16:00:56,"14,21","12,05","525,46","33,15",-,-
2019-03-07 17:00:56,"13,81","30,26","268,68","62,14",-,-
2019-03-07 18:00:56,"47,80","35,60","798,40","76,48",-,-
2019-03-07 19:00:56,"38,34","24,94","922,52","87,40","103,68",-
2019-03-07 20:00:56,"38,94","44,77","1.856,55","79,79","160,12",-
2019-03-07 21:00:56,"88,98","67,14","2.633,12","44,92","250,77",-
2019-03-07 22:00:56,"150,77","34,80","1.186,19","78,32","156,53",-
2019-03-07 23:00:56,"129,25","29,52","2.045,78","64,18","152,73",-
2019-03-08 00:00:56,"140,21","20,86","1.796,89","54,13",-,-
2019-03-08 01:00:56,"134,72","23,97","1.804,53","49,48","155,60",-
2019-03-08 02:00:56,"123,35","23,43","1.694,57","48,18",-,-
2019-03-08 03:00:56,"124,59","11,60","1.774,87","43,36",-,-
2019-03-08 04:00:56,"84,20","7,86","1.416,92","60,06",-,-
2019-03-08 05:00:56,"46,63","11,33","1.551,58","51,95",-,-
2019-03-08 06:00:56,"48,40","11,29","1.428,84","45,00",-,-
2019-03-08 07:00:56,"78,15","9,48","1.828,37","24,16",-,-
2019-03-08 08:00:56,"75,29","18,90","1.630,49","19,99","233,54",-
2019-03-08 09:00:56,"102,81","13,41","1.529,25","17,42",-,-
2019-03-08 10:00:56,"72,85","18,17","1.607,88","10,85","276,64",-
2019-03-08 11:00:56,"83,83","28,40","1.038,06","35,17","229,43",-
2019-03-08 12:00:56,"114,46","31,30","164,89","25,86","31,79",-
2019-03-08 13:00:56,"74,39","52,68","391,58","31,47","34,51",-
2019-03-08 14:00:56,"53,47","45,08","709,47","21,13",-,-
2019-03-08 15:00:56,"41,00","21,13","153,71","4,39","4,49",-
2019-03-08 16:00:56,"28,02","17,56","117,06","3,06","3,11",-
2019-03-08 17:00:56,"17,82","13,38","382,95","6,49",-,-
2019-03-08 18:00:56,"9,45","13,90","300,12","18,03","18,17",-
2019-03-08 19:00:56,"20,29","20,20","442,44","82,78","105,23",-
2019-03-08 20:00:56,"58,56","37,86","2.116,38","67,88","179,24",-
2019-03-08 21:00:56,"160,73","28,50","2.332,43","65,21",-,-
2019-03-08 22:00:56,"162,75","38,11","2.965,37","70,49","137,49",-
2019-03-08 23:00:56,"206,22","28,09","2.561,79","66,50","141,90",-
2019-03-09 00:00:56,"206,32","31,19","2.173,59","56,15","150,61",-
2019-03-09 01:00:56,"179,08","24,86","2.252,69","55,25","151,36",-
2019-03-09 02:00:56,"164,98","26,37","1.208,46","56,63","68,99",-
2019-03-09 03:00:56,"138,42","14,42","1.252,54","49,65",-,-
2019-03-09 04:00:56,"95,62","18,67","851,88","30,17","31,32",-
2019-03-09 05:00:56,"91,28","19,02","786,89","28,45",-,-
2019-03-09 06:00:56,"58,96","24,38","804,03","33,46","34,48",-
2019-03-09 07:00:56,"42,60","18,90","801,56","28,92",-,-
2019-03-09 08:00:56,"45,89","25,36","1.020,61","49,07",-,-
2019-03-09 09:00:56,"70,08","28,70","1.387,15","50,81",-,-
2019-03-09 10:00:56,"100,40","32,86","679,61","59,18","81,57",-
2019-03-09 11:00:56,"99,87","29,80","419,62","39,89","45,75",-
2019-03-09 12:00:56,"80,85","21,06","418,46","15,08","16,13",-
2019-03-09 13:00:56,"47,97","19,93","348,62","6,50","6,94",-
2019-03-09 14:00:56,"24,14","24,11","619,51","5,80",-,-
2019-03-09 15:00:56,"23,46","26,12","696,62","10,81",-,-
2019-03-09 16:00:56,"39,07","34,42","489,95","20,24","20,71",-
2019-03-09 17:00:56,"46,61","28,60","233,91","13,38","13,48",-
2019-03-09 18:00:56,"44,71","34,75","674,36","19,43",-,-
2019-03-09 19:00:56,"56,09","33,44","708,86","24,58","31,15",-
2019-03-09 20:00:56,"57,80","39,06","1.755,76","69,54","76,24",-
2019-03-09 21:00:56,"88,30","43,18","2.655,42","78,79",-,-
2019-03-09 22:00:56,"156,18","41,03","2.165,95","62,28","80,57",-
2019-03-09 23:00:56,"152,66","26,69","1.930,69","69,99","95,44",-
2019-03-10 00:00:56,"162,45","24,54","1.650,82","72,73",-,-
2019-03-10 01:00:56,"139,92","20,08","1.574,69","80,83",-,-
2019-03-10 02:00:56,"109,31","20,52","1.393,39","69,14",-,-
2019-03-10 03:00:56,"97,67","14,87","967,75","53,09",-,-
2019-03-10 04:00:56,"100,97","15,40","627,70","16,45",-,-
2019-03-10 05:00:56,"76,18","11,46","640,33","9,17",-,-
2019-03-10 06:00:56,"50,56","9,27","480,86","23,48",-,-
2019-03-10 07:00:56,"42,82","8,34","545,64","4,89",-,-
2019-03-10 08:00:56,"29,86","9,99","586,44","22,26",-,-
2019-03-10 09:00:56,"43,36","20,01","925,24","20,70",-,-
2019-03-10 10:00:56,"52,24","21,76","805,03","23,30","25,02",-
2019-03-10 11:00:56,"35,42","21,25","533,12","8,99","9,73",-
2019-03-10 12:00:56,"41,16","20,84","685,68","10,54","12,09",-
2019-03-10 13:00:56,"58,20","18,97","474,09","5,35",-,-
2019-03-10 14:00:56,"40,84","19,45","200,00","2,03","2,34",-
2019-03-10 15:00:56,"48,70","24,59","306,29","2,66","3,09",-
2019-03-10 16:00:56,"58,16","26,68","450,15","15,20","17,97",-
2019-03-10 17:00:56,"38,51","17,53","462,00","8,17","11,32",-
2019-03-10 18:00:56,"25,11","15,58","288,54","3,23","3,39",-
2019-03-10 19:00:56,"21,80","9,45","498,78","7,00",-,-
2019-03-10 20:00:56,"13,89","11,01","670,17","13,32","15,91",-
2019-03-10 21:00:56,"9,62","20,70","1.370,22","38,04",-,-
2019-03-10 22:00:56,"46,43","18,75","2.163,43","69,29",-,-
2019-03-10 23:00:56,"48,37","14,83","1.667,14","60,60","118,62",-
2019-03-11 00:00:56,"89,72","13,20","1.482,29","57,86","101,59",-
2019-03-11 01:00:56,"84,29","12,00","1.214,69","66,70",-,-
2019-03-11 02:00:56,"93,05","8,29","1.183,11","62,64",-,-
2019-03-11 03:00:56,"104,51","24,77","502,29","28,12",-,-
2019-03-11 04:00:56,"115,53","23,43","808,29","19,26",-,-
2019-03-11 05:00:56,"94,94","21,29","738,26","19,63",-,-
2019-03-11 06:00:56,"86,43","17,23","952,24","38,29",-,-
2019-03-11 07:00:56,"67,01","12,95","1.415,40","36,44",-,-
2019-03-11 08:00:56,"99,37","24,67","900,85","48,85",-,-
2019-03-11 09:00:56,"70,10","27,27","645,69","59,62",-,-
2019-03-11 10:00:56,"62,54","19,80","184,13","38,89","49,30",-
2019-03-11 11:00:56,"39,96","17,46","285,47","11,70","12,60",-
2019-03-11 12:00:56,"24,76","12,53","129,46","3,97","4,09",-
2019-03-11 13:00:56,"26,15","10,51","378,59","2,71","2,87",-
2019-03-11 14:00:56,"31,80","12,20","277,45","3,04","3,11",-
2019-03-11 15:00:56,"23,56","12,49","431,37","8,89","9,27",-
2019-03-11 16:00:56,"36,08","10,99","262,49","11,34","12,10",-
2019-03-11 17:00:56,"42,89","13,78","398,12","13,71","16,01",-
2019-03-11 18:00:56,"55,02","23,28","732,16","59,71",-,-
2019-03-11 19:00:56,"57,16","27,70","451,59","92,62","107,19",-
2019-03-11 20:00:56,"78,74","29,93","1.219,58","92,75",-,-
2019-03-11 21:00:56,"111,11","27,81","2.526,01","65,63",-,-
2019-03-11 22:00:56,"170,84","23,90","2.371,18","45,82",-,-
2019-03-11 23:00:56,"164,19","17,65","1.764,89","61,57",-,-
2019-03-12 00:00:56,"156,33","15,17","1.171,19","70,70",-,-
2019-03-12 01:00:56,"140,76","14,55","1.158,09","60,93",-,-
2019-03-12 02:00:56,"91,66","12,65","1.429,85","53,13",-,-
2019-03-12 03:00:56,"123,28","15,65","1.228,83","44,96",-,-
2019-03-12 04:00:56,"134,15","15,54","1.240,32","48,85",-,-
2019-03-12 05:00:56,"125,36","9,88","909,56","42,51",-,-
2019-03-12 06:00:56,"96,25","9,42","974,43","48,26",-,-
2019-03-12 07:00:56,"58,32","11,82","777,46","37,86",-,-
2019-03-12 08:00:56,"50,81","15,05","731,89","52,66","107,38",-
2019-03-12 09:00:56,"68,58","17,47","1.349,04","28,53",-,-
2019-03-12 10:00:56,"60,11","24,63","1.010,78","56,79",-,-
2019-03-12 11:00:56,"62,43","30,73","901,54","48,25","137,30",-
2019-03-12 12:00:56,"89,39","21,81","614,68","33,24","49,66",-
2019-03-12 13:00:56,"96,96","16,63","565,64","9,85",-,-
2019-03-12 14:00:56,"61,69","14,45","341,48","13,89",-,-
2019-03-12 15:00:56,"61,36","8,33","780,02","14,95",-,-
2019-03-12 16:00:56,"69,61","5,71","583,53","9,89",-,-
2019-03-12 17:00:56,"68,31","0,00","28,46",-,-,-
2019-03-12 18:00:56,"553,66","4,14","776,31","22,60",-,-
2019-03-12 19:00:56,"476,42","6,70","1.005,80","15,24",-,-
2019-03-12 20:00:56,"238,86","5,01","696,30","20,06",-,-
2019-03-12 21:00:56,"118,57","4,12","1.093,51","13,56",-,-
2019-03-12 22:00:56,"75,88","4,99","606,04","5,70","6,13",-
2019-03-12 23:00:56,"77,08","4,24","915,05","7,90",-,-
2019-03-13 00:00:56,"48,63","4,39","723,08","4,62",-,-
2019-03-13 01:00:56,"27,38","3,72","576,65","2,02",-,-
2019-03-13 02:00:56,"21,78","3,40","438,26","5,82",-,-
2019-03-13 03:00:56,-,"2,38","799,07","6,27",-,-
2019-03-13 04:00:56,-,"4,55","647,20","4,85",-,-
2019-03-13 05:00:56,-,"4,94","578,84","3,90",-,-
2019-03-13 06:00:56,-,"2,60","584,80",-,-,-
2019-03-13 07:00:56,-,"2,99","728,70","12,12",-,-
2019-03-13 08:00:56,-,"2,19","370,88","9,99","11,20",-
2019-03-13 09:00:56,-,"3,61","757,13","31,88",-,-
2019-03-13 10:00:56,-,"1,23","436,34","10,63","11,67",-
2019-03-13 11:00:56,-,"4,67","588,43","13,50",-,-
2019-03-13 12:00:56,-,"5,86","442,05","13,39","16,79",-
2019-03-13 13:00:56,-,"6,49","424,49","4,30","6,09",-
2019-03-13 14:00:56,-,"6,17","467,14","3,89","5,19",-
2019-03-13 15:00:56,-,"6,19","466,30","4,79","5,65",-
2019-03-13 16:00:56,-,"3,91","544,53","4,32","6,30",-
2019-03-13 17:00:56,-,"3,16","598,28","4,83",-,-
2019-03-13 18:00:56,-,"3,78","986,88","13,42",-,-
2019-03-13 19:00:56,-,"4,19","555,22","21,58","29,42",-
2019-03-13 20:00:56,-,"5,36","615,38","12,18","14,39",-
2019-03-13 21:00:56,-,"4,96","608,20","8,78","9,59",-
2019-03-13 22:00:56,-,"4,61","514,75","5,12","6,20",-
2019-03-13 23:00:56,-,"4,09","780,79","11,78",-,-
2019-03-14 00:00:56,-,"4,24","462,42","2,97","3,32",-
2019-03-14 01:00:56,-,"3,14","484,78","5,13","5,53",-
2019-03-14 02:00:56,-,"1,39","354,16","3,74","4,56",-
2019-03-14 03:00:56,-,"4,12","690,13","2,52","3,31",-
2019-03-14 04:00:56,-,"2,87","441,48","1,83",-,-
2019-03-14 05:00:56,-,"2,36","355,15","3,23","3,33",-
2019-03-14 06:00:56,-,"2,25","376,94","6,35",-,-
2019-03-14 07:00:56,-,"2,48","416,32","6,40","7,68",-
2019-03-14 08:00:56,-,"1,82","461,03","19,04","22,89",-
2019-03-14 09:00:56,-,"2,96","411,22","30,72","43,01",-
2019-03-14 10:00:56,-,"2,05","226,42","8,20","9,24",-
2019-03-14 11:00:56,-,"3,56","360,67","4,06","4,16",-
2019-03-14 12:00:56,-,"6,97","649,46","21,98","24,12",-
2019-03-14 13:00:56,-,"6,62","1.495,77","42,90","72,56",-
2019-03-14 14:00:56,-,"8,07","720,06","30,96","44,69",-
2019-03-14 15:00:56,-,"7,66","594,61","19,87","24,21",-
2019-03-14 16:00:56,-,"10,81","319,14","8,84","11,56",-
2019-03-14 17:00:56,-,"9,91","490,84","18,22","22,65",-
2019-03-14 18:00:56,"9,17","6,62","528,02","53,32","78,69",-
2019-03-14 19:00:56,"26,94","7,20","737,07","19,51","20,03",-
2019-03-14 20:00:56,"43,55","8,50","719,99","5,67","7,69",-
2019-03-14 21:00:56,"51,59","10,70","832,20","8,72","11,75",-
2019-03-14 22:00:56,"49,67","7,01","800,70","13,78","22,21",-
2019-03-14 23:00:56,"72,39","5,60","1.069,04","14,76",-,-
2019-03-15 00:00:56,"80,42","2,20","610,30","8,36","9,82",-
2019-03-15 01:00:56,"57,42","6,10","775,72","20,27","21,21",-
2019-03-15 02:00:56,"57,86","5,37","606,14","20,27","21,98",-
2019-03-15 03:00:56,"41,46","2,46","369,06","5,08","5,14",-
2019-03-15 04:00:56,"38,03","3,53","744,44","7,02","7,09",-
2019-03-15 05:00:56,"64,56","3,83","537,63","8,77",-,-
2019-03-15 06:00:56,"64,69","4,39","548,58","6,80","7,02",-
2019-03-15 07:00:56,"44,83","4,88","473,93","10,30","16,64",-
2019-03-15 08:00:56,"42,42","3,44","224,25","22,48","39,76",-
2019-03-15 09:00:56,"43,41","4,37","412,97","18,99","26,99",-
2019-03-15 10:00:56,"49,11","4,67","707,70","13,99","16,47",-
2019-03-15 11:00:56,"58,25","6,39","587,83","6,00","7,82",-
2019-03-15 12:00:56,"56,74","6,41","548,27","6,80","7,17",-
2019-03-15 13:00:56,"47,88","6,55","612,79","18,69","19,46",-
2019-03-15 14:00:56,"74,89","9,51","542,33","15,22","16,26",-
2019-03-15 15:00:56,"65,57","9,54","369,23","8,82","10,11",-
2019-03-15 16:00:56,"42,51","6,66","497,69","5,69","6,76",-
2019-03-15 17:00:56,"47,82","4,96","676,66","7,19","10,30",-
2019-03-15 18:00:56,"42,61","7,32","817,87","7,62","8,86",-
2019-03-15 19:00:56,"32,48","9,27","679,39","11,21","16,94",-
2019-03-15 20:00:56,"37,38","10,43","1.245,39","13,52","15,23",-
2019-03-15 21:00:56,"54,51","7,38","903,02","9,92","13,34",-
2019-03-15 22:00:56,"60,47","7,88","1.478,15","32,55","36,46",-
2019-03-15 23:00:56,"78,48","8,01","1.138,77","16,51","17,57",-
2019-03-16 00:00:56,"80,48","9,04","802,13","11,38","11,85",-
2019-03-16 01:00:56,"58,26","8,01","897,57","12,41",-,-
2019-03-16 02:00:56,"54,95","4,04","583,12","6,67","7,27",-
2019-03-16 03:00:56,"40,83","4,83","866,83","8,96",-,-
2019-03-16 04:00:56,"41,38","4,06","559,30","3,04","3,06",-
2019-03-16 05:00:56,"47,38","2,13","429,01","1,21","1,24",-
2019-03-16 06:00:56,"36,75","2,72","850,75","15,24",-,-
2019-03-16 07:00:56,"39,24","3,07","926,01","32,82",-,-
2019-03-16 08:00:56,"48,47","2,67","1.089,68","22,71",-,-
2019-03-16 09:00:56,"143,41","3,65","1.148,15","29,88",-,-
2019-03-16 10:00:56,"86,12","12,47","1.137,05","34,14",-,-
2019-03-16 11:00:56,"116,39","11,36","605,23","11,35",-,-
2019-03-16 12:00:56,"82,00","11,84","435,06","16,14","17,71",-
2019-03-16 13:00:56,"55,78","14,38","398,49","6,01",-,-
2019-03-16 14:00:56,"50,30","12,23","331,41","4,89","5,11",-
2019-03-16 15:00:56,"47,27","11,56","674,79","9,43",-,-
2019-03-16 16:00:56,"39,27","11,65","420,27","5,74","6,26",-
