Tarih,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2019-03-06 00:00:56,"83,21",-,-,"1.706,94","89,16","218,65",-
2019-03-06 01:00:56,"91,99",-,-,"2.462,71","83,50","291,59",-
2019-03-06 02:00:56,"106,73",-,-,"2.509,08","79,76","303,29",-
2019-03-06 03:00:56,"120,63",-,-,"2.642,56","72,67","329,83",-
2019-03-06 04:00:56,"112,04",-,-,"3.781,54","73,01","280,76",-
2019-03-06 05:00:56,"112,07",-,-,"2.075,67","70,86","308,91",-
2019-03-06 06:00:56,"93,82",-,-,"1.512,33","58,87","207,28",-
2019-03-06 07:00:56,"76,62",-,-,"1.795,77","59,37","225,64",-
2019-03-06 08:00:56,"67,38",-,-,"1.565,35","62,86","232,01",-
2019-03-06 09:00:56,"67,17",-,-,"2.130,88","83,71","529,15",-
2019-03-06 10:00:56,"123,67",-,-,"2.983,63","110,28","737,79",-
2019-03-06 11:00:56,"178,34",-,-,"3.238,97","96,10","621,56",-
2019-03-06 12:00:56,"202,52",-,-,"2.766,65","90,45","518,60",-
2019-03-06 13:00:56,"207,02",-,-,"2.817,77","115,02",-,-
2019-03-06 14:00:56,"174,99",-,-,"2.107,37","97,30","379,23",-
2019-03-06 15:00:56,"148,08",-,-,"2.917,26","107,16","470,77",-
2019-03-06 16:00:56,"211,94",-,-,"2.702,97","115,24","429,14",-
2019-03-06 17:00:56,"230,70",-,-,"2.161,22","117,48","391,99",-
2019-03-06 18:00:56,"207,44",-,-,"1.624,94","85,34","241,64",-
2019-03-06 19:00:56,"134,13",-,-,"1.768,17","80,80","245,90",-
2019-03-06 20:00:56,"144,44",-,-,"2.199,49","84,43","260,63",-
2019-03-06 21:00:56,"175,45",-,-,"2.341,35","77,60","218,24",-
2019-03-06 22:00:56,"125,70",-,-,"1.961,96","82,33","185,43",-
2019-03-06 23:00:56,"73,19",-,-,"1.430,87","64,65","128,42",-
2019-03-07 00:00:56,"48,05",-,-,"1.748,49","74,46","151,63",-
2019-03-07 01:00:56,"66,57",-,-,"2.409,68","74,68","209,97",-
2019-03-07 02:00:56,"82,39",-,-,"2.182,81","67,03","229,17",-
2019-03-07 03:00:56,"59,06",-,-,"2.571,47","65,60","235,44",-
2019-03-07 04:00:56,"68,49",-,-,"2.079,49","57,59","216,23",-
2019-03-07 05:00:56,"59,08",-,-,"1.936,54","54,74","236,87",-
2019-03-07 06:00:56,"46,39",-,-,"1.239,81","47,39","132,44",-
2019-03-07 07:00:56,"40,80",-,-,"1.335,21","46,96","164,40",-
2019-03-07 08:00:56,"34,73",-,-,"1.464,77","53,59","217,09",-
2019-03-07 09:00:56,"33,06",-,-,"1.728,53","75,24","420,10",-
2019-03-07 10:00:56,"45,85",-,-,"1.894,99","80,88","383,83",-
2019-03-07 11:00:56,"49,86",-,-,"1.692,45","79,87","320,61",-
2019-03-07 12:00:56,"131,44",-,-,"1.152,89","55,99","157,83",-
2019-03-07 13:00:56,"97,65",-,-,"977,14","56,68","133,90",-
2019-03-07 14:00:56,"88,27",-,-,"818,88","45,14","105,27",-
2019-03-07 15:00:56,"69,17",-,-,"794,01","48,51","108,30",-
2019-03-07 16:00:56,"46,13",-,-,"811,77","45,72","111,19",-
2019-03-07 17:00:56,"31,84",-,-,"811,23","55,48","120,47",-
2019-03-07 18:00:56,"49,43",-,-,"847,03","66,98","140,16",-
2019-03-07 19:00:56,"51,16",-,-,"803,85","65,93","139,66",-
2019-03-07 20:00:56,"58,74",-,-,"1.655,91","89,73","198,21",-
2019-03-07 21:00:56,"113,11",-,-,"2.564,74","89,73","225,31",-
2019-03-07 22:00:56,"138,87",-,-,"2.109,09","86,05","252,76",-
2019-03-07 23:00:56,"126,40",-,-,"2.783,13","86,02","364,11",-
2019-03-08 00:00:56,"121,93",-,-,"2.970,37","82,33","362,96",-
2019-03-08 01:00:56,"133,36",-,-,"2.178,25","80,50","273,96",-
2019-03-08 02:00:56,"108,02",-,-,"1.735,45","71,85","209,96",-
2019-03-08 03:00:56,"78,82",-,-,"1.569,26","57,20","264,40",-
2019-03-08 04:00:56,"72,06",-,-,"1.134,70","51,47","172,02",-
2019-03-08 05:00:56,"52,59",-,-,"976,04","53,80","106,66",-
2019-03-08 06:00:56,"41,74",-,-,"883,47","59,57","164,57",-
2019-03-08 07:00:56,"27,19",-,-,"917,91","59,28","215,90",-
2019-03-08 08:00:56,"32,18",-,-,"1.458,29","58,73","164,16",-
2019-03-08 09:00:56,"34,15",-,-,"1.787,11","88,09","424,35",-
2019-03-08 10:00:56,"97,81",-,-,"3.126,41","105,64","671,50",-
2019-03-08 11:00:56,"164,57",-,-,"2.941,51","101,26","563,29",-
2019-03-08 12:00:56,"179,30",-,-,"1.865,39","77,76","273,40",-
2019-03-08 13:00:56,"116,71",-,-,"995,10","53,36","108,06",-
2019-03-08 14:00:56,"55,80",-,-,"953,83","48,00","93,08",-
2019-03-08 15:00:56,"42,85",-,-,"801,58","32,04","75,78",-
2019-03-08 16:00:56,"33,69",-,-,"866,03",-,-,-
2019-03-08 17:00:56,"37,52",-,-,"943,37","45,48","108,35",-
2019-03-08 18:00:56,"35,74",-,-,"1.060,43","58,45","130,30",-
2019-03-08 19:00:56,"35,89",-,-,"1.132,59","73,00","150,58",-
2019-03-08 20:00:56,"49,43",-,-,"2.752,63","101,65","205,34",-
2019-03-08 21:00:56,"136,06",-,-,"3.866,47","119,70","478,05",-
2019-03-08 22:00:56,"215,92",-,-,"6.223,97","107,03","508,91",-
2019-03-08 23:00:56,"347,46",-,-,"6.490,19","100,64","554,93",-
2019-03-09 00:00:56,"302,51",-,-,"5.757,93","97,23","560,53",-
2019-03-09 01:00:56,"236,91",-,-,"4.788,97","102,54","666,19",-
2019-03-09 02:00:56,"198,50",-,-,"4.333,05","89,38","578,58",-
2019-03-09 03:00:56,"179,85",-,-,"3.992,20","85,62","508,59",-
2019-03-09 04:00:56,"144,61",-,-,"3.082,27","71,68","373,84",-
2019-03-09 05:00:56,"112,02",-,-,"2.140,78","60,04","289,28",-
2019-03-09 06:00:56,"97,54",-,-,"2.158,13","58,49","299,14",-
2019-03-09 07:00:56,"101,47",-,-,"2.439,12","56,20","298,46",-
2019-03-09 08:00:56,"85,85",-,-,"1.792,69","49,24","194,87",-
2019-03-09 09:00:56,"57,14",-,-,"2.633,46","79,21","429,32",-
2019-03-09 10:00:56,"94,25",-,-,"2.523,03","82,97","536,43",-
2019-03-09 11:00:56,"116,12",-,-,"2.607,77","93,21","562,11",-
2019-03-09 12:00:56,"151,35",-,-,"2.208,43","101,73","395,89",-
2019-03-09 13:00:56,"117,97",-,-,"1.854,46","92,26","303,97",-
2019-03-09 14:00:56,"116,71",-,-,"1.407,83","94,04","211,09",-
