Tarih,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2019-03-06 00:00:56,-,"33,90","21,17",-,"22,81","24,25","75,41"
2019-03-06 01:00:56,-,"33,76","13,49",-,"19,45","20,73","63,32"
2019-03-06 02:00:56,-,"28,09","12,88",-,"17,68","18,44","68,11"
2019-03-06 03:00:56,-,"28,62","15,47",-,"15,63","16,33","75,24"
2019-03-06 04:00:56,-,"27,41","14,90",-,"19,27","20,52","68,72"
2019-03-06 05:00:56,-,"30,56","13,28",-,"65,16","72,27","29,96"
2019-03-06 06:00:56,-,"34,53","13,08",-,"37,57","41,86","46,56"
2019-03-06 07:00:56,-,"30,66","9,77",-,"54,18","71,25","21,49"
2019-03-06 08:00:56,-,"39,67","12,48",-,"64,71","88,26","7,93"
2019-03-06 09:00:56,-,"38,49","11,23",-,"87,29","171,42","4,16"
2019-03-06 10:00:56,-,"34,46","10,44",-,"88,95","240,36","5,19"
2019-03-06 11:00:56,-,"51,63","13,55",-,"95,90",-,"4,50"
2019-03-06 12:00:56,-,"56,78","19,32",-,"99,75","235,61","7,62"
2019-03-06 13:00:56,-,"54,90","18,93",-,"99,63","167,73","16,39"
2019-03-06 14:00:56,-,"40,99","15,93",-,"62,75","73,64","46,38"
2019-03-06 15:00:56,-,"33,20","17,96",-,"57,92","72,26","49,92"
2019-03-06 16:00:56,-,"23,99","16,05",-,"61,72","72,62","49,51"
2019-03-06 17:00:56,-,"24,50","22,31",-,"77,64","100,11","39,04"
2019-03-06 18:00:56,-,"29,14","23,32",-,"47,78","58,00","67,71"
2019-03-06 19:00:56,-,"25,23","24,06",-,"45,85","51,39","69,64"
2019-03-06 20:00:56,-,"29,90","21,82",-,"81,80","93,83","38,55"
2019-03-06 21:00:56,-,"36,11","18,26",-,"92,86","116,05","21,83"
2019-03-06 22:00:56,-,"53,03","14,30",-,"109,89","177,58","5,67"
