Tarih,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2019-03-06 00:00:56,"84,85",-,"3,01",-,"51,17","61,95","16,85"
2019-03-06 01:00:56,"69,40",-,"2,40",-,"57,80","75,71","14,94"
2019-03-06 02:00:56,"62,10",-,"2,47",-,"43,86","68,86","23,33"
2019-03-06 03:00:56,"48,83",-,"2,39",-,"42,45","48,29","18,98"
2019-03-06 04:00:56,"44,81",-,"1,60",-,"50,55","59,72","12,13"
2019-03-06 05:00:56,"48,30",-,"2,31",-,"61,81","106,11","2,54"
2019-03-06 06:00:56,"60,36",-,"3,43",-,"60,43","96,44","6,03"
2019-03-06 07:00:56,"58,27",-,"2,95",-,"57,64","75,61","5,70"
2019-03-06 08:00:56,"52,62",-,"2,66",-,"53,13","67,96","8,70"
2019-03-06 09:00:56,"49,78",-,"3,53",-,"70,77","189,85","2,79"
2019-03-06 10:00:56,"100,68",-,"5,50",-,"73,10","222,99","2,69"
2019-03-06 11:00:56,"115,06",-,"6,04",-,"79,31","238,94","3,68"
2019-03-06 12:00:56,"131,17",-,"4,81",-,"80,02","264,45","4,21"
2019-03-06 13:00:56,"161,13",-,"9,37",-,"96,95","330,40","4,73"
2019-03-06 14:00:56,"238,69",-,"19,05",-,"104,18","329,41","3,94"
2019-03-06 15:00:56,"193,75",-,"19,19",-,"98,51","256,72","3,81"
2019-03-06 16:00:56,"135,87",-,"19,91",-,"89,29","160,23","10,14"
2019-03-06 17:00:56,"93,79",-,"19,85",-,"86,31","179,85","13,83"
2019-03-06 18:00:56,"101,21",-,"16,04",-,"109,53","311,36","4,58"
2019-03-06 19:00:56,"173,41",-,"15,05",-,"104,28","245,47","5,06"
2019-03-06 20:00:56,"160,34",-,"12,03",-,"108,39","333,95","3,16"
2019-03-06 21:00:56,"192,68",-,"10,44",-,"102,04","284,89","2,59"
2019-03-06 22:00:56,"178,40",-,"11,03",-,"92,25","152,33","3,15"
2019-03-06 23:00:56,"94,52",-,"7,85",-,"87,44","160,37","4,40"
2019-03-07 00:00:56,"94,90",-,"6,27",-,"87,71","165,58","2,54"
2019-03-07 01:00:56,"68,27",-,"4,41",-,"76,69","131,61","6,58"
2019-03-07 02:00:56,"48,49",-,"2,70",-,"77,69","133,91","1,72"
2019-03-07 03:00:56,"45,19",-,"1,82",-,"60,51","101,32","3,47"
2019-03-07 04:00:56,"43,27",-,"1,07",-,"55,31","133,44","3,11"
2019-03-07 05:00:56,"39,50",-,"0,40",-,"50,36","76,74","4,87"
2019-03-07 06:00:56,"31,62",-,"0,40",-,"42,06","55,32","9,11"
2019-03-07 07:00:56,"28,60",-,-,-,"33,95","39,95","12,37"
2019-03-07 08:00:56,"25,81",-,-,-,"37,26","66,25","7,36"
2019-03-07 09:00:56,"24,72",-,-,-,"48,59","129,37","2,68"
2019-03-07 10:00:56,"28,14",-,"0,74",-,"50,53","143,21","7,38"
2019-03-07 11:00:56,"35,51",-,"7,16",-,"62,36","232,73","8,52"
2019-03-07 12:00:56,"88,45",-,"9,12",-,"62,35","124,87","22,96"
2019-03-07 13:00:56,"88,46",-,"7,51",-,"54,67","96,81","37,79"
2019-03-07 14:00:56,"81,87",-,"3,15",-,"28,35","41,85","72,19"
2019-03-07 15:00:56,"48,60",-,"1,11",-,"22,65","32,20","79,70"
2019-03-07 16:00:56,"31,81",-,"0,54",-,"19,54","26,99","86,54"
2019-03-07 17:00:56,"15,33",-,"0,51",-,"19,13","24,82","93,41"
2019-03-07 18:00:56,"22,60",-,"0,44",-,"20,47","24,31","96,33"
2019-03-07 19:00:56,"31,84",-,"0,55",-,"40,64","50,52","75,72"
2019-03-07 20:00:56,"45,58",-,"1,11",-,"72,76","104,29","38,74"
2019-03-07 21:00:56,"64,60",-,"1,18",-,"58,53","78,01","34,86"
2019-03-07 22:00:56,"73,84",-,"0,59",-,"58,29","68,14","23,03"
2019-03-07 23:00:56,"64,55",-,"0,44",-,"52,38","66,91","19,73"
2019-03-08 00:00:56,"70,26",-,"0,26",-,"63,72","97,66","5,89"
2019-03-08 01:00:56,"80,88",-,"0,32",-,"55,37","80,46","9,78"
2019-03-08 02:00:56,"61,96",-,"0,09",-,"51,52","67,69","9,25"
